county,year,internet_type,pct_households,lat,lon,internet_category
Guilford County,2021,total households,1.0,36.08075443459913,-79.78823235399412,total households
Jackson County,2020,with an internet subscription - satellite internet service,1.0,35.28759449222261,-83.14085400351321,satellite
Clay County,2017,estimate - total - no internet access,1.0,35.057187056417966,-83.75017871743319,estimate - total - no internet access
Jackson County,2017,estimate - total - with an internet subscription - cellular data plan,1.0,35.28759449222261,-83.14085400351321,estimate - total - with an internet subscription - cellular data plan
Chatham County,2017,estimate - total,1.0,35.70262627748115,-79.2554015212105,estimate - total
Mcdowell County,2017,estimate - total - no internet access,1.0,35.681643343083735,-82.04932060905985,estimate - total - no internet access
Transylvania County,2017,estimate - total - with an internet subscription,1.0,35.20218449044758,-82.79830428770484,estimate - total - with an internet subscription
Beaufort County,2017,estimate - total - with an internet subscription - broadband of any type,1.0,35.48688258260614,-76.84505336233535,estimate - total - with an internet subscription - broadband of any type
Onslow County,2017,"estimate - total - with an internet subscription - broadband such as cable, fiber optic or dsl",1.0,34.730596145351825,-77.42738408968984,fiber
Surry County,2017,estimate - total - with an internet subscription - broadband of any type,1.0,36.41483540775082,-80.68804954639532,estimate - total - with an internet subscription - broadband of any type
Burke County,2017,estimate - total,1.0,35.7496512088578,-81.70485353540755,estimate - total
Burke County,2017,estimate - total - with an internet subscription,1.0,35.7496512088578,-81.70485353540755,estimate - total - with an internet subscription
Duplin County,2017,estimate - total - no internet access,1.0,34.93654168662893,-77.9330278458104,estimate - total - no internet access
Durham County,2017,estimate - total - with an internet subscription - cellular data plan,1.0,36.03603588748117,-78.87659439820085,estimate - total - with an internet subscription - cellular data plan
Wayne County,2017,estimate - total,1.0,35.36396757993098,-78.00399613059446,estimate - total
Wayne County,2017,estimate - total - with an internet subscription - broadband of any type,1.0,35.36396757993098,-78.00399613059446,estimate - total - with an internet subscription - broadband of any type
Scotland County,2017,estimate - total - with an internet subscription - broadband of any type,1.0,34.840893407900495,-79.48043375103512,estimate - total - with an internet subscription - broadband of any type
