agency_id,route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order,min_headway_minutes,eligibility_restricted,continuous_pickup,continuous_drop_off,tts_route_short_name,tts_route_long_name
190,1136,S2,South 2,ART Station - Tunnel - Kenilworth - Biltmore Ave,3,https://drive.google.com/file/d/1Qlfdy96pkUyVRrRLgIGPGXJskwdIVfx4/view,f99d1c,1c2634,10,60,0,1,1,,
190,1137,S3,South 3,ART Station - Mission Hospital (McDowell St.) - Asheville High School - Biltmore Village - Hendersonville Rd. - Airport,3,https://drive.google.com/file/d/1vJsIEZvo_QsMBPrLUVt61yENzFfUsAfj/view,80c342,1c2634,11,90,0,1,1,,
190,1138,S4,South 4,ART Station - Asheville Middle School - River Arts District (Depot St.) - Livingston Heights - AB Tech - Asheville High School,3,https://drive.google.com/file/d/1gi5gaqF9ior97XQaBpEpV3ueL4667NUr/view,ec008c,000000,12,30,0,1,1,,
190,1507,S5,South 5,ART Station - Mission Hospital (Biltmore Ave.) - Biltmore Village - Fairview Road - Bleachery Blvd.,3,https://drive.google.com/file/d/15zTAPq3l6RItNL2GAGgNh5GPgiPr8kMt/view,92278f,ffffff,13,60,0,1,1,,
190,5338,S6,South 6,ART Station - Mission Hospital (McDowell St.) - Biltmore Village - MAHEC - Hendersonville Rd. - Biltmore Park,3,https://drive.google.com/file/d/12_lUCekc8V_tLJJV8fj7lb6SWAVoaQCW/view,00639a,ffffff,14,90,0,1,1,,
190,1139,W1,West 1,ART Station - River Arts District (Roberts St) - Haywood Rd - Deaverview Rd - Canterbury Apartments,3,https://drive.google.com/file/d/1BWI-mqexklAh89HX5NVY0nsxOGlMoJQa/view,f99d1c,1c2634,15,60,0,1,1,,
190,1140,W2,West 2,ART Station - River Arts District (Roberts St) - Haywood Rd - Brevard Rd - Asheville Outlets Park-n-Ride,3,https://drive.google.com/file/d/15fvKMUinEZpqJpuzkJoJh5syH1YVyLpN/view,00723f,ffffff,16,60,0,1,1,,
190,1508,W5,West 5,ART Center - North Louisiana - Emma Road,3,https://drive.google.com/file/d/1gL9lrPwIfNjixcVltdlxo-HVu_FCMB40/view,f99d1c,1c2634,19,60,0,1,1,,
190,15146,W6,West 6,ART Station - River Arts District (Roberts St) - Haywood Rd - Pisgah View Apartments,3,https://drive.google.com/file/d/1ptKZGm8KfAXQbSTTWgIkO4x7vw90ANaA/view?usp=drive_link,d71920,ffffff,20,60,0,1,1,,
190,15144,WE1,West East 1,New Leicester - ART Station - Asheville Mall - VA Hospital,3,https://drive.google.com/file/d/1hEoqOPr8pZm4k2gC1zFDvK9eaMwe5sol/view,00aeef,1c2634,21,60,0,1,1,,
190,15145,WE2,West East 2,Goodwill Park-n-Ride - ART Station - Social Security Administration - ABCCM,3,https://drive.google.com/file/d/1mNjd1KzoLaJmSEZ9GvtYvunUKhaL0mAW/view,80c342,1c2634,22,60,0,1,1,,
190,1134,170,,Asheville - Swannanoa - Black Mountain,3,https://drive.google.com/file/d/1i78IkAOqJVokbVg2kaixJhEjuLi5ItbA/view,a1490c,ffffff,24,60,0,1,1,,
190,1131,N1,North 1,ART Center - Merrimon - UNCA - Lakeshore,3,https://drive.google.com/file/d/1FdoH64P2jtso7bPJFjLLms8xdLvEIxWv/view,00639a,ffffff,4,60,0,1,1,,
190,1132,N2,North 2,ART Center - Merrimon - UNCA - Beaverdam,3,https://drive.google.com/file/d/1FCnvx0WmRDjuCxdTeQ1xd0vApmgOutTC/view,d71920,ffffff,5,180,0,1,1,,
190,1133,N3,North 3,ART Center - Chamber - Hillcrest,3,https://drive.google.com/file/d/14cide-cAAjv1sqB3U085lIUmlctA7D1o/view,00723f,ffffff,6,60,0,1,1,,
190,15110,N4,North 4,ART Station - Montford - Klondyke Apartments,3,https://drive.google.com/file/d/1McwV9SwnQdi5cu2vJn-kssY_T18uiUGV/view,92278f,ffffff,7,60,0,1,1,,
190,15111,N5,North 5,ART Station - Charlotte Street - Grove Park Inn,3,https://drive.google.com/file/d/1U4VlbUt_Pn9qhv7O7v-y8JJ76FsAleCr/view?usp=sharing,00723f,ffffff,8,60,0,1,1,,
190,1135,S1,South 1,ART Station - Mission Hospital (Biltmore Ave.) - Biltmore Village - Shiloh - Medical Park,3,https://drive.google.com/file/d/16C3XHDVDeDFN83JU6Hh8tveP_bxYoMYx/view,d71920,ffffff,9,60,0,1,1,,
