runs_id,service_id,block_id,run_number,piece_number,start_trip_id,start_stop_id,end_trip_id,end_stop_id
100000,c_71430_b_85184_d_31,1356,1,1,t_6076152_b_85184_tn_0,760026,t_6076293_b_85184_tn_14,2615585
1000000,c_71430_b_85184_d_31,1373,10,1,t_6076275_b_85184_tn_1,2615589,t_6076341_b_85184_tn_7,2615565
1100000,c_71430_b_85184_d_31,1376,11,1,t_6076134_b_85184_tn_1,2615587,t_6076136_b_85184_tn_16,2615589
1200000,c_71430_b_85184_d_31,1378,12,1,t_6076245_b_85184_tn_1,2615582,t_6076334_b_85184_tn_2,2615582
1300000,c_71430_b_85184_d_31,1386,13,1,t_6076138_b_85184_tn_1,2615586,t_6076139_b_85184_tn_15,2615586
1400000,c_71430_b_85184_d_31,1388,14,1,t_6076219_b_85184_tn_1,2615586,t_6076224_b_85184_tn_0,2615586
1500000,c_71430_b_85184_d_31,1390,15,1,t_6076216_b_85184_tn_1,2615586,t_6076126_b_85184_tn_18,2615586
1600000,c_71430_b_85184_d_31,1391,16,1,t_6076268_b_85184_tn_1,2615565,t_6076270_b_85184_tn_8,2615565
1700000,c_71430_b_85184_d_31,1395,17,1,t_6076187_b_85184_tn_1,2615585,t_6076365_b_85184_tn_3,2615585
1800000,c_71430_b_85184_d_31,2296,18,1,t_6076250_b_85184_tn_1,2615584,t_6076249_b_85184_tn_5,2615584
1900000,c_71430_b_85184_d_31,2298,19,1,t_6076239_b_85184_tn_1,2615588,t_6076201_b_85184_tn_15,2615588
200000,c_71430_b_85184_d_31,1358,2,1,t_6076354_b_85184_tn_0,2615584,t_6076352_b_85184_tn_5,2615584
2000000,c_71430_b_85184_d_32,1356,20,1,t_6076292_b_85184_tn_1,2615585,t_6076291_b_85184_tn_14,2615585
2100000,c_71430_b_85184_d_32,1358,21,1,t_6076357_b_85184_tn_1,2615584,t_6076310_b_85184_tn_5,2615584
2200000,c_71430_b_85184_d_32,1361,22,1,t_6076232_b_85184_tn_1,2615587,t_6076296_b_85184_tn_0,2615587
2300000,c_71430_b_85184_d_32,1362,23,1,t_6076236_b_85184_tn_1,2615586,t_6076151_b_85184_tn_16,2615586
2400000,c_71430_b_85184_d_32,1363,24,1,t_6076161_b_85184_tn_1,2615583,t_6076161_b_85184_tn_16,2615589
2500000,c_71430_b_85184_d_32,1365,25,1,t_6076347_b_85184_tn_1,2615565,t_6076348_b_85184_tn_18,2615565
2600000,c_71430_b_85184_d_32,1366,26,1,t_6076346_b_85184_tn_1,2615565,t_6076343_b_85184_tn_8,2615565
2700000,c_71430_b_85184_d_32,1369,27,1,t_6076313_b_85184_tn_1,2615583,t_6076149_b_85184_tn_0,2615583
2800000,c_71430_b_85184_d_32,1372,28,1,t_6076133_b_85184_tn_1,2615588,t_6076225_b_85184_tn_15,2615588
2900000,c_71430_b_85184_d_32,1373,29,1,t_6076345_b_85184_tn_1,2615565,t_6076338_b_85184_tn_7,2615565
300000,c_71430_b_85184_d_31,1361,3,1,t_6076320_b_85184_tn_1,2615583,t_6076318_b_85184_tn_2,2615587
3000000,c_71430_b_85184_d_32,1376,30,1,t_6076135_b_85184_tn_1,2615587,t_6076194_b_85184_tn_16,2615589
3100000,c_71430_b_85184_d_32,1378,31,1,t_6076173_b_85184_tn_1,2615582,t_6076330_b_85184_tn_3,2615582
3200000,c_71430_b_85184_d_32,1386,32,1,t_6076140_b_85184_tn_1,2615586,t_6076137_b_85184_tn_14,2615586
3300000,c_71430_b_85184_d_32,1388,33,1,t_6076217_b_85184_tn_1,2615586,t_6076218_b_85184_tn_17,2615586
3400000,c_71430_b_85184_d_32,1390,34,1,t_6076195_b_85184_tn_1,2615586,t_6076215_b_85184_tn_17,2615586
3500000,c_71430_b_85184_d_32,1391,35,1,t_6076264_b_85184_tn_1,2615565,t_6076273_b_85184_tn_5,2615565
3600000,c_71430_b_85184_d_32,1395,36,1,t_6076185_b_85184_tn_1,2615585,t_6076186_b_85184_tn_11,2615585
3700000,c_71430_b_85184_d_32,2296,37,1,t_6076182_b_85184_tn_1,2615584,t_6076179_b_85184_tn_5,2615584
3800000,c_71430_b_85184_d_32,2298,38,1,t_6076288_b_85184_tn_1,2615588,t_6076119_b_85184_tn_15,2615588
3900000,c_71430_b_85184_d_64,1356,39,1,t_6076153_b_85184_tn_1,2615585,t_6076290_b_85184_tn_10,2615585
400000,c_71430_b_85184_d_31,1362,4,1,t_6076235_b_85184_tn_1,759933,t_6076235_b_85184_tn_18,2615586
4000000,c_71430_b_85184_d_64,1358,40,1,t_6076359_b_85184_tn_1,2615584,t_6076356_b_85184_tn_4,2615584
4100000,c_71430_b_85184_d_64,1361,41,1,t_6076257_b_85184_tn_1,2615583,t_6076297_b_85184_tn_3,2615583
4200000,c_71430_b_85184_d_64,1362,42,1,t_6076157_b_85184_tn_1,2615586,t_6076158_b_85184_tn_10,2615586
4300000,c_71430_b_85184_d_64,1363,43,1,t_6076277_b_85184_tn_1,2615589,t_6076160_b_85184_tn_10,2615589
4400000,c_71430_b_85184_d_64,1365,44,1,t_6076335_b_85184_tn_1,2615565,t_6076340_b_85184_tn_10,2615565
4500000,c_71430_b_85184_d_64,1366,45,1,t_6076336_b_85184_tn_1,2615565,t_6076202_b_85184_tn_5,2615565
4600000,c_71430_b_85184_d_64,1369,46,1,t_6076125_b_85184_tn_1,2615587,t_6076124_b_85184_tn_5,2615587
4700000,c_71430_b_85184_d_64,1372,47,1,t_6076168_b_85184_tn_1,2615588,t_6076169_b_85184_tn_10,2615588
4800000,c_71430_b_85184_d_64,1373,48,1,t_6076263_b_85184_tn_1,2615589,t_6076337_b_85184_tn_5,2615565
4900000,c_71430_b_85184_d_64,1376,49,1,t_6076193_b_85184_tn_1,2615587,t_6076281_b_85184_tn_10,2615584
500000,c_71430_b_85184_d_31,1363,5,1,t_6076162_b_85184_tn_0,2615589,t_6076159_b_85184_tn_16,2615589
5000000,c_71430_b_85184_d_64,1378,50,1,t_6076325_b_85184_tn_0,2319894,t_6076244_b_85184_tn_0,2319894
5100000,c_71430_b_85184_d_64,1386,51,1,t_6076172_b_85184_tn_1,2615586,t_6076142_b_85184_tn_10,2615586
5200000,c_71430_b_85184_d_64,1388,52,1,t_6076120_b_85184_tn_1,2615586,t_6076118_b_85184_tn_10,2615586
5300000,c_71430_b_85184_d_64,1390,53,1,t_6076141_b_85184_tn_1,2615582,t_6076197_b_85184_tn_10,2615586
5400000,c_71430_b_85184_d_64,1391,54,1,t_6076267_b_85184_tn_1,2615565,t_6076269_b_85184_tn_3,2615565
5500000,c_71430_b_85184_d_64,1395,55,1,t_6076189_b_85184_tn_1,2615585,t_6076184_b_85184_tn_7,2615585
5600000,c_71430_b_85184_d_64,2296,56,1,t_6076251_b_85184_tn_1,2615584,t_6076253_b_85184_tn_4,2615584
5700000,c_71430_b_85184_d_64,2298,57,1,t_6076287_b_85184_tn_1,2615588,t_6076274_b_85184_tn_10,2615588
600000,c_71430_b_85184_d_31,1365,6,1,t_6076305_b_85184_tn_1,2615565,t_6076339_b_85184_tn_18,2615565
700000,c_71430_b_85184_d_31,1366,7,1,t_6076307_b_85184_tn_1,2615565,t_6076342_b_85184_tn_8,2615565
800000,c_71430_b_85184_d_31,1369,8,1,t_6076241_b_85184_tn_0,2615587,t_6076242_b_85184_tn_7,2615583
900000,c_71430_b_85184_d_31,1372,9,1,t_6076144_b_85184_tn_1,2615588,t_6076145_b_85184_tn_16,2615588
