route_id,service_id,trip_id,trip_short_name,trip_headsign,direction_id,block_id,shape_id,bikes_allowed,wheelchair_accessible,trip_type,drt_max_travel_time,drt_avg_travel_time,drt_advance_book_min,drt_pickup_message,drt_drop_off_message,continuous_pickup_message,continuous_drop_off_message,tts_trip_headsign,tts_trip_short_name
1131,c_71430_b_85184_d_31,t_6076246_b_85184_tn_2,,Elkwood Ave./ Merrimon Ave.,0,1358,p_1440379,,1,,,,,,,,,,
1131,c_71430_b_85184_d_31,t_6076246_b_85184_tn_3,,Elkwood Ave./ Merrimon Ave.,0,1358,p_1440379,,1,,,,,,,,,,
1131,c_71430_b_85184_d_31,t_6076246_b_85184_tn_5,,Elkwood Ave./ Merrimon Ave.,0,1358,p_1440379,,1,,,,,,,,,,
1131,c_71430_b_85184_d_31,t_6076246_b_85184_tn_4,,Elkwood Ave./ Merrimon Ave.,0,1358,p_1440379,,1,,,,,,,,,,
1131,c_71430_b_85184_d_31,t_6076354_b_85184_tn_0,,Elkwood Ave./ Merrimon Ave.,0,1358,p_1440379,,1,,,,,,,,,,
1131,c_71430_b_85184_d_31,t_6076350_b_85184_tn_1,,Elkwood Ave./ Merrimon Ave.,0,1358,p_1440379,,1,,,,,,,,,,
1131,c_71430_b_85184_d_31,t_6076350_b_85184_tn_2,,Elkwood Ave./ Merrimon Ave.,0,1358,p_1440379,,1,,,,,,,,,,
1131,c_71430_b_85184_d_31,t_6076350_b_85184_tn_3,,Elkwood Ave./ Merrimon Ave.,0,1358,p_1440379,,1,,,,,,,,,,
1131,c_71430_b_85184_d_31,t_6076350_b_85184_tn_4,,Elkwood Ave./ Merrimon Ave.,0,1358,p_1440379,,1,,,,,,,,,,
1131,c_71430_b_85184_d_31,t_6076350_b_85184_tn_5,,Elkwood Ave./ Merrimon Ave.,0,1358,p_1440379,,1,,,,,,,,,,
1131,c_71430_b_85184_d_31,t_6076176_b_85184_tn_2,,Elkwood Ave./ Merrimon Ave.,0,1358,p_1440379,,1,,,,,,,,,,
1131,c_71430_b_85184_d_31,t_6076176_b_85184_tn_1,,Elkwood Ave./ Merrimon Ave.,0,1358,p_1440379,,1,,,,,,,,,,
1131,c_71430_b_85184_d_31,t_6076176_b_85184_tn_3,,Elkwood Ave./ Merrimon Ave.,0,1358,p_1440379,,1,,,,,,,,,,
1131,c_71430_b_85184_d_31,t_6076176_b_85184_tn_4,,Elkwood Ave./ Merrimon Ave.,0,1358,p_1440379,,1,,,,,,,,,,
1131,c_71430_b_85184_d_31,t_6076246_b_85184_tn_1,,Elkwood Ave./ Merrimon Ave.,0,1358,p_1440379,,1,,,,,,,,,,
1131,c_71430_b_85184_d_31,t_6076351_b_85184_tn_5,,ART Station,1,1358,p_1440378,,1,,,,,,,,,,
1131,c_71430_b_85184_d_31,t_6076352_b_85184_tn_2,,ART Station,1,1358,p_1440378,,1,,,,,,,,,,
1131,c_71430_b_85184_d_31,t_6076352_b_85184_tn_3,,ART Station,1,1358,p_1440378,,1,,,,,,,,,,
1131,c_71430_b_85184_d_31,t_6076331_b_85184_tn_1,,ART Station,1,1358,p_1440378,,1,,,,,,,,,,
1131,c_71430_b_85184_d_31,t_6076352_b_85184_tn_4,,ART Station,1,1358,p_1440378,,1,,,,,,,,,,
1131,c_71430_b_85184_d_31,t_6076352_b_85184_tn_5,,ART Station,1,1358,p_1440378,,1,,,,,,,,,,
1131,c_71430_b_85184_d_31,t_6076355_b_85184_tn_0,,ART Station,1,1358,p_1440378,,1,,,,,,,,,,
1131,c_71430_b_85184_d_31,t_6076331_b_85184_tn_2,,ART Station,1,1358,p_1440378,,1,,,,,,,,,,
1131,c_71430_b_85184_d_31,t_6076331_b_85184_tn_3,,ART Station,1,1358,p_1440378,,1,,,,,,,,,,
1131,c_71430_b_85184_d_31,t_6076331_b_85184_tn_4,,ART Station,1,1358,p_1440378,,1,,,,,,,,,,
1131,c_71430_b_85184_d_31,t_6076351_b_85184_tn_1,,ART Station,1,1358,p_1440378,,1,,,,,,,,,,
1131,c_71430_b_85184_d_31,t_6076351_b_85184_tn_2,,ART Station,1,1358,p_1440378,,1,,,,,,,,,,
1131,c_71430_b_85184_d_31,t_6076351_b_85184_tn_3,,ART Station,1,1358,p_1440378,,1,,,,,,,,,,
1131,c_71430_b_85184_d_31,t_6076351_b_85184_tn_4,,ART Station,1,1358,p_1440378,,1,,,,,,,,,,
1131,c_71430_b_85184_d_31,t_6076352_b_85184_tn_1,,ART Station,1,1358,p_1440378,,1,,,,,,,,,,
1131,c_71430_b_85184_d_32,t_6076353_b_85184_tn_2,,Elkwood Ave./ Merrimon Ave.,0,1358,p_1440379,,1,,,,,,,,,,
1131,c_71430_b_85184_d_32,t_6076353_b_85184_tn_1,,Elkwood Ave./ Merrimon Ave.,0,1358,p_1440379,,1,,,,,,,,,,
1131,c_71430_b_85184_d_32,t_6076353_b_85184_tn_3,,Elkwood Ave./ Merrimon Ave.,0,1358,p_1440379,,1,,,,,,,,,,
1131,c_71430_b_85184_d_32,t_6076353_b_85184_tn_4,,Elkwood Ave./ Merrimon Ave.,0,1358,p_1440379,,1,,,,,,,,,,
1131,c_71430_b_85184_d_32,t_6076353_b_85184_tn_5,,Elkwood Ave./ Merrimon Ave.,0,1358,p_1440379,,1,,,,,,,,,,
1131,c_71430_b_85184_d_32,t_6076357_b_85184_tn_1,,Elkwood Ave./ Merrimon Ave.,0,1358,p_1440379,,1,,,,,,,,,,
1131,c_71430_b_85184_d_32,t_6076357_b_85184_tn_2,,Elkwood Ave./ Merrimon Ave.,0,1358,p_1440379,,1,,,,,,,,,,
1131,c_71430_b_85184_d_32,t_6076177_b_85184_tn_4,,Elkwood Ave./ Merrimon Ave.,0,1358,p_1440379,,1,,,,,,,,,,
1131,c_71430_b_85184_d_32,t_6076357_b_85184_tn_3,,Elkwood Ave./ Merrimon Ave.,0,1358,p_1440379,,1,,,,,,,,,,
1131,c_71430_b_85184_d_32,t_6076357_b_85184_tn_4,,Elkwood Ave./ Merrimon Ave.,0,1358,p_1440379,,1,,,,,,,,,,
1131,c_71430_b_85184_d_32,t_6076357_b_85184_tn_5,,Elkwood Ave./ Merrimon Ave.,0,1358,p_1440379,,1,,,,,,,,,,
1131,c_71430_b_85184_d_32,t_6076177_b_85184_tn_3,,Elkwood Ave./ Merrimon Ave.,0,1358,p_1440379,,1,,,,,,,,,,
1131,c_71430_b_85184_d_32,t_6076177_b_85184_tn_2,,Elkwood Ave./ Merrimon Ave.,0,1358,p_1440379,,1,,,,,,,,,,
1131,c_71430_b_85184_d_32,t_6076177_b_85184_tn_1,,Elkwood Ave./ Merrimon Ave.,0,1358,p_1440379,,1,,,,,,,,,,
1131,c_71430_b_85184_d_32,t_6076349_b_85184_tn_4,,ART Station,1,1358,p_1440378,,1,,,,,,,,,,
1131,c_71430_b_85184_d_32,t_6076310_b_85184_tn_1,,ART Station,1,1358,p_1440378,,1,,,,,,,,,,
1131,c_71430_b_85184_d_32,t_6076358_b_85184_tn_1,,ART Station,1,1358,p_1440378,,1,,,,,,,,,,
1131,c_71430_b_85184_d_32,t_6076310_b_85184_tn_3,,ART Station,1,1358,p_1440378,,1,,,,,,,,,,
1131,c_71430_b_85184_d_32,t_6076310_b_85184_tn_2,,ART Station,1,1358,p_1440378,,1,,,,,,,,,,
1131,c_71430_b_85184_d_32,t_6076358_b_85184_tn_2,,ART Station,1,1358,p_1440378,,1,,,,,,,,,,
1131,c_71430_b_85184_d_32,t_6076358_b_85184_tn_4,,ART Station,1,1358,p_1440378,,1,,,,,,,,,,
1131,c_71430_b_85184_d_32,t_6076358_b_85184_tn_3,,ART Station,1,1358,p_1440378,,1,,,,,,,,,,
1131,c_71430_b_85184_d_32,t_6076358_b_85184_tn_5,,ART Station,1,1358,p_1440378,,1,,,,,,,,,,
1131,c_71430_b_85184_d_32,t_6076310_b_85184_tn_4,,ART Station,1,1358,p_1440378,,1,,,,,,,,,,
1131,c_71430_b_85184_d_32,t_6076310_b_85184_tn_5,,ART Station,1,1358,p_1440378,,1,,,,,,,,,,
1131,c_71430_b_85184_d_32,t_6076349_b_85184_tn_1,,ART Station,1,1358,p_1440378,,1,,,,,,,,,,
1131,c_71430_b_85184_d_32,t_6076349_b_85184_tn_2,,ART Station,1,1358,p_1440378,,1,,,,,,,,,,
1131,c_71430_b_85184_d_32,t_6076349_b_85184_tn_3,,ART Station,1,1358,p_1440378,,1,,,,,,,,,,
1131,c_71430_b_85184_d_64,t_6076308_b_85184_tn_2,,Elkwood Ave./ Merrimon Ave.,0,1358,p_1440379,,1,,,,,,,,,,
1131,c_71430_b_85184_d_64,t_6076359_b_85184_tn_1,,Elkwood Ave./ Merrimon Ave.,0,1358,p_1440379,,1,,,,,,,,,,
1131,c_71430_b_85184_d_64,t_6076359_b_85184_tn_2,,Elkwood Ave./ Merrimon Ave.,0,1358,p_1440379,,1,,,,,,,,,,
1131,c_71430_b_85184_d_64,t_6076359_b_85184_tn_3,,Elkwood Ave./ Merrimon Ave.,0,1358,p_1440379,,1,,,,,,,,,,
1131,c_71430_b_85184_d_64,t_6076359_b_85184_tn_4,,Elkwood Ave./ Merrimon Ave.,0,1358,p_1440379,,1,,,,,,,,,,
1131,c_71430_b_85184_d_64,t_6076360_b_85184_tn_1,,Elkwood Ave./ Merrimon Ave.,0,1358,p_1440379,,1,,,,,,,,,,
1131,c_71430_b_85184_d_64,t_6076360_b_85184_tn_2,,Elkwood Ave./ Merrimon Ave.,0,1358,p_1440379,,1,,,,,,,,,,
1131,c_71430_b_85184_d_64,t_6076360_b_85184_tn_3,,Elkwood Ave./ Merrimon Ave.,0,1358,p_1440379,,1,,,,,,,,,,
1131,c_71430_b_85184_d_64,t_6076308_b_85184_tn_1,,Elkwood Ave./ Merrimon Ave.,0,1358,p_1440379,,1,,,,,,,,,,
1131,c_71430_b_85184_d_64,t_6076308_b_85184_tn_3,,Elkwood Ave./ Merrimon Ave.,0,1358,p_1440379,,1,,,,,,,,,,
1131,c_71430_b_85184_d_64,t_6076361_b_85184_tn_1,,ART Station,1,1358,p_1440378,,1,,,,,,,,,,
1131,c_71430_b_85184_d_64,t_6076356_b_85184_tn_4,,ART Station,1,1358,p_1440378,,1,,,,,,,,,,
1131,c_71430_b_85184_d_64,t_6076356_b_85184_tn_3,,ART Station,1,1358,p_1440378,,1,,,,,,,,,,
1131,c_71430_b_85184_d_64,t_6076356_b_85184_tn_2,,ART Station,1,1358,p_1440378,,1,,,,,,,,,,
1131,c_71430_b_85184_d_64,t_6076356_b_85184_tn_1,,ART Station,1,1358,p_1440378,,1,,,,,,,,,,
1131,c_71430_b_85184_d_64,t_6076309_b_85184_tn_3,,ART Station,1,1358,p_1440378,,1,,,,,,,,,,
1131,c_71430_b_85184_d_64,t_6076309_b_85184_tn_2,,ART Station,1,1358,p_1440378,,1,,,,,,,,,,
1131,c_71430_b_85184_d_64,t_6076309_b_85184_tn_1,,ART Station,1,1358,p_1440378,,1,,,,,,,,,,
1131,c_71430_b_85184_d_64,t_6076361_b_85184_tn_3,,ART Station,1,1358,p_1440378,,1,,,,,,,,,,
1131,c_71430_b_85184_d_64,t_6076361_b_85184_tn_2,,ART Station,1,1358,p_1440378,,1,,,,,,,,,,
1132,c_71430_b_85184_d_31,t_6076252_b_85184_tn_5,,Valley Rd./Complete Care,0,2296,p_1440381,,1,,,,,,,,,,
1132,c_71430_b_85184_d_31,t_6076362_b_85184_tn_1,,Valley Rd./Complete Care,0,2296,p_1440381,,1,,,,,,,,,,
1132,c_71430_b_85184_d_31,t_6076362_b_85184_tn_2,,Valley Rd./Complete Care,0,2296,p_1440381,,1,,,,,,,,,,
1132,c_71430_b_85184_d_31,t_6076362_b_85184_tn_3,,Valley Rd./Complete Care,0,2296,p_1440381,,1,,,,,,,,,,
1132,c_71430_b_85184_d_31,t_6076362_b_85184_tn_4,,Valley Rd./Complete Care,0,2296,p_1440381,,1,,,,,,,,,,
1132,c_71430_b_85184_d_31,t_6076362_b_85184_tn_5,,Valley Rd./Complete Care,0,2296,p_1440381,,1,,,,,,,,,,
1132,c_71430_b_85184_d_31,t_6076250_b_85184_tn_1,,Valley Rd./Complete Care,0,2296,p_1440381,,1,,,,,,,,,,
1132,c_71430_b_85184_d_31,t_6076250_b_85184_tn_2,,Valley Rd./Complete Care,0,2296,p_1440381,,1,,,,,,,,,,
1132,c_71430_b_85184_d_31,t_6076250_b_85184_tn_3,,Valley Rd./Complete Care,0,2296,p_1440381,,1,,,,,,,,,,
1132,c_71430_b_85184_d_31,t_6076250_b_85184_tn_4,,Valley Rd./Complete Care,0,2296,p_1440381,,1,,,,,,,,,,
1132,c_71430_b_85184_d_31,t_6076250_b_85184_tn_5,,Valley Rd./Complete Care,0,2296,p_1440381,,1,,,,,,,,,,
1132,c_71430_b_85184_d_31,t_6076252_b_85184_tn_1,,Valley Rd./Complete Care,0,2296,p_1440381,,1,,,,,,,,,,
1132,c_71430_b_85184_d_31,t_6076252_b_85184_tn_2,,Valley Rd./Complete Care,0,2296,p_1440381,,1,,,,,,,,,,
1132,c_71430_b_85184_d_31,t_6076252_b_85184_tn_3,,Valley Rd./Complete Care,0,2296,p_1440381,,1,,,,,,,,,,
1132,c_71430_b_85184_d_31,t_6076252_b_85184_tn_4,,Valley Rd./Complete Care,0,2296,p_1440381,,1,,,,,,,,,,
1132,c_71430_b_85184_d_31,t_6076249_b_85184_tn_5,,ART Station,1,2296,p_1440380,,1,,,,,,,,,,
1132,c_71430_b_85184_d_31,t_6076249_b_85184_tn_4,,ART Station,1,2296,p_1440380,,1,,,,,,,,,,
1132,c_71430_b_85184_d_31,t_6076249_b_85184_tn_3,,ART Station,1,2296,p_1440380,,1,,,,,,,,,,
1132,c_71430_b_85184_d_31,t_6076249_b_85184_tn_2,,ART Station,1,2296,p_1440380,,1,,,,,,,,,,
1132,c_71430_b_85184_d_31,t_6076249_b_85184_tn_1,,ART Station,1,2296,p_1440380,,1,,,,,,,,,,
1132,c_71430_b_85184_d_31,t_6076248_b_85184_tn_5,,ART Station,1,2296,p_1440380,,1,,,,,,,,,,
1132,c_71430_b_85184_d_31,t_6076248_b_85184_tn_4,,ART Station,1,2296,p_1440380,,1,,,,,,,,,,
1132,c_71430_b_85184_d_31,t_6076248_b_85184_tn_3,,ART Station,1,2296,p_1440380,,1,,,,,,,,,,
1132,c_71430_b_85184_d_31,t_6076248_b_85184_tn_2,,ART Station,1,2296,p_1440380,,1,,,,,,,,,,
1132,c_71430_b_85184_d_31,t_6076248_b_85184_tn_1,,ART Station,1,2296,p_1440380,,1,,,,,,,,,,
1132,c_71430_b_85184_d_31,t_6076181_b_85184_tn_5,,ART Station,1,2296,p_1440380,,1,,,,,,,,,,
1132,c_71430_b_85184_d_31,t_6076181_b_85184_tn_4,,ART Station,1,2296,p_1440380,,1,,,,,,,,,,
1132,c_71430_b_85184_d_31,t_6076181_b_85184_tn_3,,ART Station,1,2296,p_1440380,,1,,,,,,,,,,
1132,c_71430_b_85184_d_31,t_6076181_b_85184_tn_2,,ART Station,1,2296,p_1440380,,1,,,,,,,,,,
1132,c_71430_b_85184_d_31,t_6076181_b_85184_tn_1,,ART Station,1,2296,p_1440380,,1,,,,,,,,,,
1132,c_71430_b_85184_d_32,t_6076182_b_85184_tn_5,,Valley Rd./Complete Care,0,2296,p_1440381,,1,,,,,,,,,,
1132,c_71430_b_85184_d_32,t_6076123_b_85184_tn_4,,Valley Rd./Complete Care,0,2296,p_1440381,,1,,,,,,,,,,
1132,c_71430_b_85184_d_32,t_6076178_b_85184_tn_1,,Valley Rd./Complete Care,0,2296,p_1440381,,1,,,,,,,,,,
1132,c_71430_b_85184_d_32,t_6076178_b_85184_tn_2,,Valley Rd./Complete Care,0,2296,p_1440381,,1,,,,,,,,,,
1132,c_71430_b_85184_d_32,t_6076178_b_85184_tn_3,,Valley Rd./Complete Care,0,2296,p_1440381,,1,,,,,,,,,,
1132,c_71430_b_85184_d_32,t_6076178_b_85184_tn_4,,Valley Rd./Complete Care,0,2296,p_1440381,,1,,,,,,,,,,
1132,c_71430_b_85184_d_32,t_6076178_b_85184_tn_5,,Valley Rd./Complete Care,0,2296,p_1440381,,1,,,,,,,,,,
1132,c_71430_b_85184_d_32,t_6076123_b_85184_tn_3,,Valley Rd./Complete Care,0,2296,p_1440381,,1,,,,,,,,,,
1132,c_71430_b_85184_d_32,t_6076123_b_85184_tn_2,,Valley Rd./Complete Care,0,2296,p_1440381,,1,,,,,,,,,,
1132,c_71430_b_85184_d_32,t_6076123_b_85184_tn_1,,Valley Rd./Complete Care,0,2296,p_1440381,,1,,,,,,,,,,
1132,c_71430_b_85184_d_32,t_6076182_b_85184_tn_1,,Valley Rd./Complete Care,0,2296,p_1440381,,1,,,,,,,,,,
1132,c_71430_b_85184_d_32,t_6076182_b_85184_tn_2,,Valley Rd./Complete Care,0,2296,p_1440381,,1,,,,,,,,,,
1132,c_71430_b_85184_d_32,t_6076182_b_85184_tn_3,,Valley Rd./Complete Care,0,2296,p_1440381,,1,,,,,,,,,,
1132,c_71430_b_85184_d_32,t_6076182_b_85184_tn_4,,Valley Rd./Complete Care,0,2296,p_1440381,,1,,,,,,,,,,
1132,c_71430_b_85184_d_32,t_6076247_b_85184_tn_2,,ART Station,1,2296,p_1440380,,1,,,,,,,,,,
1132,c_71430_b_85184_d_32,t_6076247_b_85184_tn_1,,ART Station,1,2296,p_1440380,,1,,,,,,,,,,
1132,c_71430_b_85184_d_32,t_6076180_b_85184_tn_3,,ART Station,1,2296,p_1440380,,1,,,,,,,,,,
1132,c_71430_b_85184_d_32,t_6076179_b_85184_tn_2,,ART Station,1,2296,p_1440380,,1,,,,,,,,,,
1132,c_71430_b_85184_d_32,t_6076179_b_85184_tn_3,,ART Station,1,2296,p_1440380,,1,,,,,,,,,,
1132,c_71430_b_85184_d_32,t_6076179_b_85184_tn_4,,ART Station,1,2296,p_1440380,,1,,,,,,,,,,
1132,c_71430_b_85184_d_32,t_6076179_b_85184_tn_5,,ART Station,1,2296,p_1440380,,1,,,,,,,,,,
1132,c_71430_b_85184_d_32,t_6076180_b_85184_tn_1,,ART Station,1,2296,p_1440380,,1,,,,,,,,,,
1132,c_71430_b_85184_d_32,t_6076180_b_85184_tn_2,,ART Station,1,2296,p_1440380,,1,,,,,,,,,,
1132,c_71430_b_85184_d_32,t_6076180_b_85184_tn_4,,ART Station,1,2296,p_1440380,,1,,,,,,,,,,
1132,c_71430_b_85184_d_32,t_6076179_b_85184_tn_1,,ART Station,1,2296,p_1440380,,1,,,,,,,,,,
1132,c_71430_b_85184_d_32,t_6076180_b_85184_tn_5,,ART Station,1,2296,p_1440380,,1,,,,,,,,,,
1132,c_71430_b_85184_d_32,t_6076247_b_85184_tn_4,,ART Station,1,2296,p_1440380,,1,,,,,,,,,,
1132,c_71430_b_85184_d_32,t_6076247_b_85184_tn_3,,ART Station,1,2296,p_1440380,,1,,,,,,,,,,
1132,c_71430_b_85184_d_64,t_6076311_b_85184_tn_3,,Valley Rd./Complete Care,0,2296,p_1440381,,1,,,,,,,,,,
