service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date,service_name
"151",1,1,1,1,1,1,1,"20240918","20270615",
"150",1,1,1,1,1,1,1,"20240918","20270918",
"147",1,1,1,1,1,1,1,"20240819","20270819",
"145",1,1,1,1,1,0,0,"20240701","20270615",
"144",1,1,1,1,1,0,0,"20240701","20270701",
"143",1,0,0,0,0,0,1,"20240701","20270615",
"142",0,0,0,0,0,1,0,"20240701","20270615",
"124",1,1,1,1,1,0,0,"20240701","20270601",
"111",1,1,1,1,1,0,0,"20260310","20270615",
"110",1,1,1,1,1,0,0,"20230925","20270615",
"62",1,1,1,1,1,1,1,"20230901","20270615",
"59",1,1,1,1,1,1,1,"20230901","20250901",
"57",1,1,1,1,1,0,0,"20230710","20270615",
"36",1,0,0,0,0,0,1,"20230710","20270615",
"35",0,0,0,0,0,1,0,"20230710","20270615",
"21",1,1,1,1,1,0,0,"20230707","20270615",
