route_id,service_id,trip_id,shape_id,trip_headsign,trip_short_name,direction_id,block_id,wheelchair_accessible,bikes_allowed,block_service_id,block_name
"29","145","255","Teal Break - Last Trip","Inbound","19:39:00-130","0","121",,,"1253","Break - Teal"
"29","143","56891753802468765","Teal Sunday - Last Trip","Inbound","19:39:00-133","0","118",,,"1256","Sun - Teal"
"29","145","69671753802468829","1 Teal Weekday (Before 6)","Inbound","17:10:00-119","0","115",,,"1251","Teal 1"
"29","145","69681753802468829","1 Teal Weekday (Before 6)","Inbound","16:30:00-119","0","115",,,"1251","Teal 1"
"29","145","69691753802468829","1 Teal Weekday (Before 6)","Inbound","15:50:00-119","0","115",,,"1251","Teal 1"
"29","145","69701753802468829","1 Teal Weekday (Before 6)","Inbound","15:10:00-119","0","115",,,"1251","Teal 1"
"29","145","313","Teal ASU 105 Lots","Inbound","18:59:00-131","0","121",,,"1253","Break - Teal"
"29","142","289","Teal ASU 105 Lots","Inbound","14:19:00-131","0","117",,,"1254","Sat - Teal"
"29","142","38","Teal Weekend First Trip","Inbound","08:36:00-132","0","117",,,"1254","Sat - Teal"
"29","143","39","Teal Weekend First Trip","Inbound","11:56:00-132","0","118",,,"1256","Sun - Teal"
"29","145","307","Teal ASU 105 Lots","Inbound","14:59:00-131","0","121",,,"1253","Break - Teal"
"29","145","308","Teal ASU 105 Lots","Inbound","15:39:00-131","0","121",,,"1253","Break - Teal"
"29","145","309","Teal ASU 105 Lots","Inbound","16:19:00-131","0","121",,,"1253","Break - Teal"
"29","145","310","Teal ASU 105 Lots","Inbound","16:59:00-131","0","121",,,"1253","Break - Teal"
"29","145","311","Teal ASU 105 Lots","Inbound","17:39:00-131","0","121",,,"1253","Break - Teal"
"29","145","312","Teal ASU 105 Lots","Inbound","18:19:00-131","0","121",,,"1253","Break - Teal"
"29","145","281","Teal ASU 105 Lots","Inbound","10:59:00-131","0","121",,,"1253","Break - Teal"
"29","145","282","Teal ASU 105 Lots","Inbound","11:39:00-131","0","121",,,"1253","Break - Teal"
"29","145","283","Teal ASU 105 Lots","Inbound","12:19:00-131","0","121",,,"1253","Break - Teal"
"29","145","284","Teal ASU 105 Lots","Inbound","12:59:00-131","0","121",,,"1253","Break - Teal"
"29","145","285","Teal ASU 105 Lots","Inbound","13:39:00-131","0","121",,,"1253","Break - Teal"
"29","145","286","Teal ASU 105 Lots","Inbound","14:19:00-131","0","121",,,"1253","Break - Teal"
"29","145","267","Teal ASU 105 Lots","Inbound","06:59:00-131","0","121",,,"1253","Break - Teal"
"29","145","268","Teal ASU 105 Lots","Inbound","07:39:00-131","0","121",,,"1253","Break - Teal"
"29","145","277","Teal ASU 105 Lots","Inbound","08:19:00-131","0","121",,,"1253","Break - Teal"
"29","145","278","Teal ASU 105 Lots","Inbound","08:59:00-131","0","121",,,"1253","Break - Teal"
"29","145","279","Teal ASU 105 Lots","Inbound","09:39:00-131","0","121",,,"1253","Break - Teal"
"29","145","280","Teal ASU 105 Lots","Inbound","10:19:00-131","0","121",,,"1253","Break - Teal"
"29","143","260","Teal ASU 105 Lots","Inbound","15:39:00-131","0","118",,,"1256","Sun - Teal"
"29","143","261","Teal ASU 105 Lots","Inbound","16:19:00-131","0","118",,,"1256","Sun - Teal"
"29","143","262","Teal ASU 105 Lots","Inbound","16:59:00-131","0","118",,,"1256","Sun - Teal"
"29","143","263","Teal ASU 105 Lots","Inbound","17:39:00-131","0","118",,,"1256","Sun - Teal"
"29","143","264","Teal ASU 105 Lots","Inbound","18:19:00-131","0","118",,,"1256","Sun - Teal"
"29","143","265","Teal ASU 105 Lots","Inbound","18:59:00-131","0","118",,,"1256","Sun - Teal"
"29","142","49","Teal ASU 105 Lots","Inbound","16:59:00-131","0","117",,,"1254","Sat - Teal"
"29","143","50","Teal ASU 105 Lots","Inbound","12:19:00-131","0","118",,,"1256","Sun - Teal"
"29","143","256","Teal ASU 105 Lots","Inbound","12:59:00-131","0","118",,,"1256","Sun - Teal"
"29","143","257","Teal ASU 105 Lots","Inbound","13:39:00-131","0","118",,,"1256","Sun - Teal"
"29","143","258","Teal ASU 105 Lots","Inbound","14:19:00-131","0","118",,,"1256","Sun - Teal"
"29","143","259","Teal ASU 105 Lots","Inbound","14:59:00-131","0","118",,,"1256","Sun - Teal"
"29","142","42","Teal ASU 105 Lots","Inbound","12:19:00-131","0","117",,,"1254","Sat - Teal"
"29","142","43","Teal ASU 105 Lots","Inbound","12:59:00-131","0","117",,,"1254","Sat - Teal"
"29","142","44","Teal ASU 105 Lots","Inbound","13:39:00-131","0","117",,,"1254","Sat - Teal"
"29","142","46","Teal ASU 105 Lots","Inbound","14:59:00-131","0","117",,,"1254","Sat - Teal"
"29","142","47","Teal ASU 105 Lots","Inbound","15:39:00-131","0","117",,,"1254","Sat - Teal"
"29","142","48","Teal ASU 105 Lots","Inbound","16:19:00-131","0","117",,,"1254","Sat - Teal"
"29","145","56761753802468765","Teal ASU 105 Lots","Inbound","21:50:00-131","0","115",,,"1251","Teal 1"
"29","142","29","Teal ASU 105 Lots","Inbound","08:59:00-131","0","117",,,"1254","Sat - Teal"
"29","142","30","Teal ASU 105 Lots","Inbound","09:39:00-131","0","117",,,"1254","Sat - Teal"
"29","142","35","Teal ASU 105 Lots","Inbound","10:19:00-131","0","117",,,"1254","Sat - Teal"
"29","142","40","Teal ASU 105 Lots","Inbound","10:59:00-131","0","117",,,"1254","Sat - Teal"
"29","142","41","Teal ASU 105 Lots","Inbound","11:39:00-131","0","117",,,"1254","Sat - Teal"
"29","145","56701753802468765","Teal ASU 105 Lots","Inbound","17:50:00-131","0","115",,,"1251","Teal 1"
"29","145","56711753802468765","Teal ASU 105 Lots","Inbound","18:30:00-131","0","115",,,"1251","Teal 1"
"29","145","56721753802468765","Teal ASU 105 Lots","Inbound","19:10:00-131","0","115",,,"1251","Teal 1"
"29","145","56731753802468765","Teal ASU 105 Lots","Inbound","19:50:00-131","0","115",,,"1251","Teal 1"
"29","145","56741753802468765","Teal ASU 105 Lots","Inbound","20:30:00-131","0","115",,,"1251","Teal 1"
"29","145","56751753802468765","Teal ASU 105 Lots","Inbound","21:10:00-131","0","115",,,"1251","Teal 1"
"29","145","303","1 Teal Weekday (Before 6)","Inbound","16:10:00-119","0","116",,,"1252","Teal 2"
"29","145","304","1 Teal Weekday (Before 6)","Inbound","16:50:00-119","0","116",,,"1252","Teal 2"
"29","145","305","1 Teal Weekday (Before 6)","Inbound","17:30:00-119","0","116",,,"1252","Teal 2"
"29","150","533","Teal Game Day","Inbound","07:50:00-139","0","134",,,"1261","Game day - Teal"
"29","145","36","Teal First Trip","Inbound","07:27:00-129","0","115",,,"1251","Teal 1"
"29","145","37","Teal First Trip","Inbound","07:07:00-129","0","116",,,"1252","Teal 2"
"29","145","297","1 Teal Weekday (Before 6)","Inbound","12:10:00-119","0","116",,,"1252","Teal 2"
"29","145","298","1 Teal Weekday (Before 6)","Inbound","12:50:00-119","0","116",,,"1252","Teal 2"
"29","145","299","1 Teal Weekday (Before 6)","Inbound","13:30:00-119","0","116",,,"1252","Teal 2"
"29","145","300","1 Teal Weekday (Before 6)","Inbound","14:10:00-119","0","116",,,"1252","Teal 2"
"29","145","301","1 Teal Weekday (Before 6)","Inbound","14:50:00-119","0","116",,,"1252","Teal 2"
"29","145","302","1 Teal Weekday (Before 6)","Inbound","15:30:00-119","0","116",,,"1252","Teal 2"
"29","145","291","1 Teal Weekday (Before 6)","Inbound","08:10:00-119","0","116",,,"1252","Teal 2"
"29","145","292","1 Teal Weekday (Before 6)","Inbound","08:50:00-119","0","116",,,"1252","Teal 2"
"29","145","293","1 Teal Weekday (Before 6)","Inbound","09:30:00-119","0","116",,,"1252","Teal 2"
"29","145","294","1 Teal Weekday (Before 6)","Inbound","10:10:00-119","0","116",,,"1252","Teal 2"
"29","145","295","1 Teal Weekday (Before 6)","Inbound","10:50:00-119","0","116",,,"1252","Teal 2"
"29","145","296","1 Teal Weekday (Before 6)","Inbound","11:30:00-119","0","116",,,"1252","Teal 2"
"29","145","69771753802468829","1 Teal Weekday (Before 6)","Inbound","10:30:00-119","0","115",,,"1251","Teal 1"
"29","145","69781753802468829","1 Teal Weekday (Before 6)","Inbound","09:50:00-119","0","115",,,"1251","Teal 1"
"29","145","69791753802468829","1 Teal Weekday (Before 6)","Inbound","09:10:00-119","0","115",,,"1251","Teal 1"
"29","145","69801753802468829","1 Teal Weekday (Before 6)","Inbound","08:30:00-119","0","115",,,"1251","Teal 1"
"29","145","69811753802468829","1 Teal Weekday (Before 6)","Inbound","07:50:00-119","0","115",,,"1251","Teal 1"
"29","145","290","1 Teal Weekday (Before 6)","Inbound","07:30:00-119","0","116",,,"1252","Teal 2"
"29","145","69711753802468829","1 Teal Weekday (Before 6)","Inbound","14:30:00-119","0","115",,,"1251","Teal 1"
"29","145","69721753802468829","1 Teal Weekday (Before 6)","Inbound","13:50:00-119","0","115",,,"1251","Teal 1"
"29","145","69731753802468829","1 Teal Weekday (Before 6)","Inbound","13:10:00-119","0","115",,,"1251","Teal 1"
"29","145","69741753802468829","1 Teal Weekday (Before 6)","Inbound","12:30:00-119","0","115",,,"1251","Teal 1"
"29","145","69751753802468829","1 Teal Weekday (Before 6)","Inbound","11:50:00-119","0","115",,,"1251","Teal 1"
"29","145","69761753802468829","1 Teal Weekday (Before 6)","Inbound","11:10:00-119","0","115",,,"1251","Teal 1"
"14","21","1931","Gray","Inbound","17:38:00-15","0","26",,,"1400","Gray"
"14","21","1932","Gray","Inbound","17:08:00-15","0","26",,,"1400","Gray"
"14","21","1933","Gray","Inbound","16:38:00-15","0","26",,,"1400","Gray"
"14","21","1934","Gray","Inbound","16:08:00-15","0","26",,,"1400","Gray"
"14","21","1935","Gray","Inbound","15:38:00-15","0","26",,,"1400","Gray"
"14","21","1936","Gray","Inbound","15:08:00-15","0","26",,,"1400","Gray"
"14","111","51841753802468724","Break - Gray","Inbound","11:35:00-105","0","95",,,"1402","Break - Gray"
"14","111","51851753802468724","Break - Gray","Inbound","11:05:00-105","0","95",,,"1402","Break - Gray"
"14","111","24","Break - Gray","Inbound","18:05:00-105","0","95",,,"1402","Break - Gray"
"14","111","51781753802468724","Break - Gray","Inbound","14:35:00-105","0","95",,,"1402","Break - Gray"
"14","111","51791753802468724","Break - Gray","Inbound","14:05:00-105","0","95",,,"1402","Break - Gray"
"14","111","51801753802468724","Break - Gray","Inbound","08:35:00-105","0","95",,,"1402","Break - Gray"
"14","111","51811753802468724","Break - Gray","Inbound","08:05:00-105","0","95",,,"1402","Break - Gray"
"14","111","51821753802468724","Break - Gray","Inbound","07:35:00-105","0","95",,,"1402","Break - Gray"
"14","111","51831753802468724","Break - Gray","Inbound","07:05:00-105","0","95",,,"1402","Break - Gray"
"14","111","51721753802468724","Break - Gray","Inbound","12:35:00-105","0","95",,,"1402","Break - Gray"
"14","111","51731753802468724","Break - Gray","Inbound","12:05:00-105","0","95",,,"1402","Break - Gray"
"14","111","51741753802468724","Break - Gray","Inbound","10:35:00-105","0","95",,,"1402","Break - Gray"
"14","111","51751753802468724","Break - Gray","Inbound","10:05:00-105","0","95",,,"1402","Break - Gray"
"14","111","51761753802468724","Break - Gray","Inbound","09:35:00-105","0","95",,,"1402","Break - Gray"
"14","111","51771753802468724","Break - Gray","Inbound","09:05:00-105","0","95",,,"1402","Break - Gray"
"14","111","51661753802468724","Break - Gray","Inbound","16:35:00-105","0","95",,,"1402","Break - Gray"
"14","111","51671753802468724","Break - Gray","Inbound","16:05:00-105","0","95",,,"1402","Break - Gray"
"14","111","51681753802468724","Break - Gray","Inbound","15:35:00-105","0","95",,,"1402","Break - Gray"
"14","111","51691753802468724","Break - Gray","Inbound","15:05:00-105","0","95",,,"1402","Break - Gray"
