trip_id,arrival_time,departure_time,stop_id,location_id,stop_sequence,start_pickup_drop_off_window,end_pickup_drop_off_window,stop_headsign,pickup_type,drop_off_type,timepoint,shape_dist_traveled
592875,05:55:00,05:55:00,153909,,1,,,,,,1,0
592875,05:56:00,05:56:00,154004,,2,,,,,,1,717.34
592875,05:56:00,05:56:00,154003,,3,,,,,,1,1008.38
592875,05:57:00,05:57:00,154177,,4,,,,,,1,1541.73
592875,05:57:00,05:57:00,154176,,5,,,,,,1,1958.79
592875,05:58:00,05:58:00,154182,,6,,,,,,1,2751.56
592875,05:59:00,05:59:00,154180,,7,,,,,,1,3482.33
592875,05:59:00,05:59:00,154183,,8,,,,,,1,3847.57
592875,06:00:00,06:00:00,154181,,9,,,,,,1,4232.88
592875,06:01:00,06:01:00,154060,,10,,,,,,1,4688.58
592875,06:02:00,06:02:00,154184,,11,,,,,,1,5055.09
592875,06:03:00,06:03:00,154047,,12,,,,,,1,5579.05
592875,06:03:00,06:03:00,154045,,13,,,,,,1,6093.18
592875,06:04:00,06:04:00,154046,,14,,,,,,1,6651.06
592875,06:05:00,06:05:00,154017,,15,,,,,,1,7041.76
592875,06:06:00,06:06:00,154015,,16,,,,,,1,7482.71
592875,06:06:00,06:06:00,154016,,17,,,,,,1,7787.28
592875,06:07:00,06:07:00,154121,,18,,,,,,1,8134.56
592875,06:08:00,06:08:00,154128,,19,,,,,,1,8830.36
592875,06:08:00,06:08:00,154131,,20,,,,,,1,9619.63
592875,06:09:00,06:09:00,154122,,21,,,,,,1,9998.7
592875,06:09:00,06:09:00,154123,,22,,,,,,1,10422.77
592875,06:10:00,06:10:00,154124,,23,,,,,,1,10696.62
592875,06:12:00,06:12:00,154134,,24,,,,,,1,11640.61
592875,06:13:00,06:13:00,154117,,25,,,,,,1,12040.27
592875,06:14:00,06:14:00,154125,,26,,,,,,1,12627.78
592875,06:15:00,06:15:00,154136,,27,,,,,,1,12960.96
592875,06:16:00,06:16:00,154127,,28,,,,,,1,13390.14
592875,06:22:00,06:22:00,154101,,29,,,,,,1,15287.57
594401,06:55:00,06:55:00,153909,,1,,,,,,1,0
594401,06:56:00,06:56:00,154004,,2,,,,,,1,717.34
594401,06:56:00,06:56:00,154003,,3,,,,,,1,1008.38
