stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,stop_timezone,wheelchair_boarding,platform_code,parent_station
153908,,A.L. Brown High School,,35.4962489,-80.6196932,,,,0,,
153909,,Airport Rd & Highland Ave,,35.5339389,-80.6187441,,,,0,,
153910,,Barr Rd & Amazon,,35.44058481,-80.68347261,,,,0,,
153911,,Bayfield Pkwy & Afton Ridge - Target,,35.4182016,-80.6759567,,,,0,,
153912,,Bethpage Rd & Aileen Ave,,35.4849342,-80.6284691,,,,0,,
153913,,Biotechnology Lane & Laureate Way,,35.5024082,-80.626109,,,,0,,
153914,,Booker Dr & Logan Center,,35.3996564,-80.5797765,,,,0,,
153915,,Brantley Rd & Carsil Way,,35.4978267,-80.5911601,,,,0,,
153916,,Brantley Rd & Pearl Ave,,35.5015234,-80.6069192,,,,0,,
153926,,Cabarrus Ave (Inbound),,35.41203367,-80.57947538,,,,0,,
153927,,Cabarrus Ave (Outbound),,35.4119564,-80.57930035,,,,0,,
153917,,Cabarrus Ave & 4th St,,35.3966562,-80.6059475,,,,0,,
153918,,Cabarrus Ave & Gold St,,35.4040708,-80.5894352,,,,0,,
153919,,Cabarrus Ave & Lark Ct,,35.3964672,-80.6057764,,,,0,,
153920,,Cabarrus Ave & Old Charlotte Rd,,35.3998992,-80.5941074,,,,0,,
153921,,Cabarrus Ave & Triangle Dr (Inbound),,35.3960703,-80.6083344,,,,0,,
153922,,Cabarrus Ave & Triangle Dr (Outbound),,35.3962819,-80.6083973,,,,0,,
153923,,Cabarrus Ave & Valley St,,35.4048763,-80.5887452,,,,0,,
153924,,Cabarrus Ave & White St (Inbound),,35.3987703,-80.5977645,,,,0,,
153925,,Cabarrus Ave & White St (Outbound),,35.3984566,-80.5993073,,,,0,,
153928,,"Centergrove Rd & Dale Earnhardt Blvd, Qt Stn",,35.474178,-80.6000803,,,,0,,
153929,,Centergrove Rd & Duke Adam St,,35.4790131,-80.5919825,,,,0,,
153930,,Centergrove Rd & Edinburg Dr,,35.4823364,-80.5856741,,,,0,,
153931,,Centergrove Rd & Summit Ridge Rd,,35.4810038,-80.5898012,,,,0,,
153932,,Central Dr & Lake Dr,,35.419266,-80.6097157,,,,0,,
153933,,Central Dr & Violet Ter,,35.4181191,-80.6088976,,,,0,,
153934,,Charlotte Motor Speedway (Inbound),,35.35116413,-80.68907153,,,,0,,
153935,,Charlotte Motor Speedway (Outbound),,35.35137379,-80.68941629,,,,0,,
153936,,Church St & Carolina Ave (Inbound),,35.4231362,-80.5918704,,,,0,,
153937,,Church St & Carolina Ave (Outbound),,35.423066,-80.5920113,,,,0,,
153938,,Church St & Creswell Dr,,35.4129171,-80.5819842,,,,0,,
153939,,Church St & Davidson Dr,,35.43086652,-80.60149893,,,,0,,
153940,,Church St & Killarney Ave,,35.4124119,-80.5816029,,,,0,,
153941,,Church St & Lake Concord Rd,,35.4313045,-80.601467,,,,0,,
153942,,Church St & Locke Mill Plaza,,35.4193881,-80.5895072,,,,0,,
153943,,Church St & Marsh Ave,,35.4153275,-80.5849635,,,,0,,
