service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
TL-9,1,1,1,1,1,0,0,20250128,20301230
TL-10,0,0,0,0,0,1,0,20250128,20301230
TL-11,0,0,0,0,0,0,1,20250128,20301230
TL-12,1,1,1,1,1,0,0,20250128,20301230
TL-13,0,0,0,0,0,1,0,20250128,20301230
TL-14,0,0,0,0,0,0,1,20250128,20301230
TL-15,1,1,1,1,1,0,0,20250128,20301230
TL-16,0,0,0,0,0,1,0,20250128,20301230
TL-17,0,0,0,0,0,0,1,20250128,20301230
TL-18,1,1,1,1,1,0,0,20250128,20301230
TL-19,0,0,0,0,0,1,0,20250128,20301230
TL-30,1,1,1,1,1,0,0,20250130,20301230
TL-31,0,0,0,0,0,1,0,20250129,20301230
TL-32,0,0,0,0,0,0,1,20250130,20301230
TL-33,1,1,1,1,1,0,0,20250130,20301230
TL-37,1,1,1,1,1,0,0,20250130,20301230
TL-38,0,0,0,0,0,1,0,20250130,20301230
TL-39,0,0,0,0,0,0,1,20250130,20301230
TL-42,1,1,1,1,1,0,0,20250130,20300418
TL-43,0,0,0,0,0,1,0,20250130,20301230
TL-44,1,1,1,1,1,1,1,20250130,20301230
TL-45,1,1,1,1,1,0,0,20250813,20501230
TL-46,0,0,0,0,0,1,0,20250813,20501230
TL-47,0,0,0,0,0,0,1,20250813,20501230
