trip_id,start_time,end_time,headway_secs
TL-10,08:30:00,18:55:00,2337
TL-11,09:30:00,18:55:00,2337
TL-12,05:00:00,18:55:00,4885
TL-15,06:30:00,19:25:00,2766
TL-16,08:30:00,18:55:00,2766
TL-17,09:30:00,18:55:00,2766
TL-18,05:30:00,19:02:00,2275
TL-19,08:02:00,19:02:00,2275
TL-30,06:00:00,18:55:00,2819
TL-31,08:30:00,18:55:00,2819
TL-32,09:30:00,17:55:00,2819
TL-33,05:30:00,18:55:00,2167
TL-37,06:00:00,18:55:00,2910
TL-38,08:00:00,18:55:00,2910
TL-39,09:00:00,17:55:00,2910
TL-42,07:42:00,18:49:00,3020
TL-43,08:42:00,18:49:00,3020
TL-44,06:00:00,18:54:00,2999
TL-49,08:00:00,18:25:00,3216
TL-50,09:30:00,18:25:00,3216
TL-57,06:10:00,19:10:00,3193
TL-58,07:10:00,19:10:00,3193
TL-59,09:10:00,19:10:00,3193
TL-60,09:00:00,18:55:00,2064
TL-61,08:00:00,18:55:00,2064
TL-62,06:00:00,18:55:00,2064
TL-63,06:00:00,18:55:00,2705
TL-65,09:00:00,18:54:00,2968
TL-66,07:00:00,18:54:00,2968
TL-67,06:30:00,18:52:00,2212
TL-68,08:30:00,18:52:00,2212
TL-69,07:00:00,18:55:00,2674
TL-70,06:00:00,18:55:00,2674
TL-71,05:30:00,19:20:00,2586
TL-72,08:30:00,18:53:00,2586
TL-73,06:00:00,18:55:00,3022
TL-74,08:00:00,17:55:00,3022
TL-75,09:00:00,17:55:00,3022
TL-76,08:30:00,17:25:00,3150
TL-77,06:00:00,18:55:00,3150
TL-78,07:00:00,18:55:00,2778
TL-79,08:00:00,18:55:00,2778
TL-80,09:00:00,18:55:00,2778
TL-9,05:30:00,18:55:00,2337
