route_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_sort_order
TL-1,,3,,3,0A70BB,1
TL-2,,4,,3,FF00FF,20
TL-3,,5,,3,3CB371,30
TL-4,,6,,3,5F9EA0,40
TL-5,,7,,3,DB7093,50
TL-6,,8,,3,FF0000,60
TL-7,,9,,3,800080,70
TL-8,,10,,3,87CEFA,80
TL-9,,11,,3,DAA520,90
TL-10,,12,,3,FF4500,100
TL-11,,14,,3,ADFF2F,110
TL-12,,15,,3,556B2F,120
TL-13,,16,,3,8B008B,130
TL-14,,17,,3,4682B4,140
TL-15,,18,,3,DC143C,150
TL-16,,19,,3,BDB76B,160
TL-17,,31,,3,C0C000,170
TL-18,,West Fayetteville Express,,3,DC143C,180
TL-19,,14 WKE,,3,ADFF2F,115
TL-20,,17 WKE,,3,4682B4,145
TL-21,,7 WKE,,3,DB7093,55
TL-33,,17 -NEW,,3,4682B4,140
TL-34,,12 -NEW,,3,FF4500,100
TL-37,,11 -NEW,,3,DAA520,90
TL-38,,19 -NEW,,3,BDB76B,160
TL-39,,10 -NEW,,3,87CEFA,80
