trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,timepoint
TL-10,00:00:00,00:00:10,TL-179,1,,0,0,1
TL-10,00:05:38,00:05:48,TL-180,20,,0,0,1
TL-10,00:07:25,00:07:35,TL-181,30,,0,0,1
TL-10,00:08:18,00:08:28,TL-182,40,,0,0,1
TL-10,00:08:49,00:08:59,TL-183,50,,0,0,1
TL-10,00:09:22,00:09:32,TL-184,60,,0,0,1
TL-10,00:09:53,00:10:03,TL-185,70,,0,0,1
TL-10,00:10:32,00:10:42,TL-186,80,,0,0,1
TL-10,00:10:59,00:11:09,TL-187,90,,0,0,1
TL-10,00:11:47,00:11:57,TL-188,100,,0,0,1
TL-10,00:12:33,00:12:43,TL-189,110,,0,0,1
TL-10,00:13:24,00:13:34,TL-190,120,,0,0,1
TL-10,00:13:57,00:14:07,TL-191,130,,0,0,1
TL-10,00:14:22,00:14:32,TL-192,140,,0,0,1
TL-10,00:15:23,00:15:33,TL-193,150,,0,0,1
TL-10,00:17:16,00:17:26,TL-194,160,,0,0,1
TL-10,00:17:38,00:17:48,TL-195,170,,0,0,1
TL-10,00:18:12,00:18:22,TL-196,180,,0,0,1
TL-10,00:18:42,00:18:52,TL-197,190,,0,0,1
TL-10,00:19:32,00:19:42,TL-198,200,,0,0,1
TL-10,00:20:30,00:20:40,TL-199,210,,0,0,1
TL-10,00:20:51,00:21:01,TL-200,220,,0,0,1
TL-10,00:21:30,00:21:40,TL-201,230,,0,0,1
TL-10,00:21:54,00:22:04,TL-202,240,,0,0,1
TL-10,00:23:12,00:23:22,TL-203,250,,0,0,1
TL-10,00:23:38,00:23:48,TL-204,260,,0,0,1
TL-10,00:24:08,00:24:18,TL-205,270,,0,0,1
TL-10,00:25:02,00:25:12,TL-206,280,,0,0,1
TL-10,00:25:31,00:25:41,TL-207,290,,0,0,1
TL-10,00:28:55,00:29:05,TL-208,300,,0,0,1
TL-10,00:30:05,00:30:15,TL-209,310,,0,0,1
TL-10,00:30:38,00:30:48,TL-210,320,,0,0,1
TL-10,00:31:15,00:31:25,TL-211,330,,0,0,1
TL-10,00:31:45,00:31:55,TL-212,340,,0,0,1
TL-10,00:32:44,00:32:54,TL-213,350,,0,0,1
TL-11,00:00:00,00:00:10,TL-179,1,,0,0,1
TL-11,00:05:38,00:05:48,TL-180,20,,0,0,1
TL-11,00:07:25,00:07:35,TL-181,30,,0,0,1
TL-11,00:08:18,00:08:28,TL-182,40,,0,0,1
TL-11,00:08:49,00:08:59,TL-183,50,,0,0,1
TL-11,00:09:22,00:09:32,TL-184,60,,0,0,1
TL-11,00:09:53,00:10:03,TL-185,70,,0,0,1
TL-11,00:10:32,00:10:42,TL-186,80,,0,0,1
TL-11,00:10:59,00:11:09,TL-187,90,,0,0,1
TL-11,00:11:47,00:11:57,TL-188,100,,0,0,1
TL-11,00:12:33,00:12:43,TL-189,110,,0,0,1
TL-11,00:13:24,00:13:34,TL-190,120,,0,0,1
TL-11,00:13:57,00:14:07,TL-191,130,,0,0,1
TL-11,00:14:22,00:14:32,TL-192,140,,0,0,1
TL-11,00:15:23,00:15:33,TL-193,150,,0,0,1
TL-11,00:17:16,00:17:26,TL-194,160,,0,0,1
TL-11,00:17:38,00:17:48,TL-195,170,,0,0,1
TL-11,00:18:12,00:18:22,TL-196,180,,0,0,1
TL-11,00:18:42,00:18:52,TL-197,190,,0,0,1
TL-11,00:19:32,00:19:42,TL-198,200,,0,0,1
TL-11,00:20:30,00:20:40,TL-199,210,,0,0,1
TL-11,00:20:51,00:21:01,TL-200,220,,0,0,1
TL-11,00:21:30,00:21:40,TL-201,230,,0,0,1
