stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station
TL-1,,505 Franklin St,,35.0533048840,-78.8870347373,,0,
TL-2,,Franklin St/Winslow St,,35.0535932215,-78.8852497271,,0,
TL-3,,Franklin S/Ray Ave,,35.0528569551,-78.8831508984,,0,
TL-4,,Franklin St/Donaldson St,,35.0521770151,-78.8807771433,,0,
TL-5,,130 Gillespie St,,35.0511296124,-78.8787936496,,0,
TL-6,,E Russell St/Cross Creek St,,35.0496541800,-78.8768623300,,0,
TL-7,,W Russell St/ Alexander St,,35.0485710000,-78.8737660000,,0,
TL-9,,Azalea Manor,,35.0460696248,-78.8726795538,,0,
TL-10,,Dogwood Manor,,35.0435631003,-78.8758056686,,0,
TL-11,,Oak Run Apts,,35.0432130720,-78.8727895244,,0,
TL-12,,Beasley Broadcasting,,35.0491032034,-78.8696929139,,0,
TL-13,,B Street/Adam Street,,35.0508050651,-78.8687581640,,0,
TL-14,,B Street/Grove Street,,35.0531720000,-78.8675050000,,0,
TL-15,,Grove St/B St,,35.0535180281,-78.8664338952,,0,
TL-16,,Cape Fear Plaza,,35.0519879718,-78.8621688040,,0,
TL-17,,Person St/Broad St,,35.0475398255,-78.8618400346,,0,
TL-18,,Deep Creek Rd/Downing St,,35.0408364045,-78.8543744223,,0,
TL-19,,Deep Creek Rd/Clinton Rd,,35.0453811728,-78.8546726738,,0,
TL-20,,Deep Creek Rd/Ford Ln,,35.0345041139,-78.8541540820,,0,
TL-21,,Deep Creek Rd/Melvinville Ct,,35.0315539383,-78.8540262411,,0,
TL-22,,Deep Creek Rd/Cade Hill Ave,,35.0295331870,-78.8538859905,,0,
TL-23,,Cade Hill Ave/Jacob St,,35.0279845263,-78.8504789079,,0,
TL-24,,Little Ave/Oxford St,,35.0316101252,-78.8498796420,,0,
TL-25,,Cedar Creek Plaza Dollar General,,35.0337080000,-78.8455790000,,0,
TL-26,,Cedar Creek Rd/Troy Ave,,35.0326729177,-78.8451832522,,0,
TL-27,,Cedar Creek Rd/Cedar Creek Rd,,35.0248792259,-78.8423288680,,0,
TL-28,,1660 Cedar Creek Rd [Nc-210/Nc-53],,35.0168100000,-78.8384000000,,0,
TL-29,,Cedar Creek Rd/Fields Rd,,35.0137421599,-78.8367995968,,0,
TL-30,,Cedar Creek Rd/Bureau Dr,,35.0091026160,-78.8276439729,,0,
TL-31,,Cedar Creek Rd/Jim Johnson Rd,,35.0078425655,-78.8243925194,,0,
TL-32,,Deluxe Inn,,35.0068723943,-78.8173506864,,0,
TL-33,,Cedar Creek Rd/Cedar Creek Rd,,35.0294013063,-78.8440188108,,0,
TL-34,,Cedar Creek Rd/Jim Johnson Rd,,35.0082310000,-78.8249760000,,0,
TL-36,,Cedar Creek Rd/Decent Rd,,35.0091727488,-78.8271788409,,0,
TL-37,,1855 Cedar Creek Rd,,35.0102220000,-78.8296690000,,0,
TL-38,,Cedar Creek Rd/Locks Creek Rd,,35.0136999751,-78.8364242300,,0,
TL-39,,Sloan Ave/Cedar Creek Rd,,35.0345958896,-78.8451044326,,0,
TL-40,,Sloan Ave/Sapona Rd,,35.0355730885,-78.8405853378,,0,
TL-41,,Sapona Rd/Cedar St,,35.0374466986,-78.8419944360,,0,
TL-42,,Plymouth St/Clinton Rd,,35.0420740000,-78.8435960000,,0,
TL-43,,Plymouth St/Sapona Rd,,35.0397773376,-78.8443137153,,0,
TL-44,,Clinton Rd/Plymouth St,,35.0433017819,-78.8441986906,,0,
TL-45,,Clinton Rd/Lock Trl,,35.0454621044,-78.8511092276,,0,
TL-46,,Clinton Rd/Deep Creek Rd,,35.0467214016,-78.8541937682,,0,
TL-47,,Person St/Broad St,,35.0475710000,-78.8608910000,,0,
TL-48,,Azalea Manor,,35.0460696248,-78.8726795538,,0,
TL-49,,Dogwood Manor,,35.0435631003,-78.8758056686,,0,
TL-50,,Oak Run Apts,,35.0432130720,-78.8727895244,,0,
TL-51,,E Russell St/Dick St,,35.0500320000,-78.8772489945,,0,
TL-52,,W Russell St/Gillespie St,,35.0509190590,-78.8799107897,,0,
TL-53,,505 Franklin St,,35.0533048840,-78.8870347373,,0,
TL-54,,Franklin St/Winslow St,,35.0535932215,-78.8852497271,,0,
TL-55,,Franklin S/Ray Ave,,35.0528569551,-78.8831508984,,0,
TL-56,,Maiden Ln Library,,35.0544032487,-78.8820082773,,0,
TL-57,,Ray Ave/Rowan St,,35.0586813723,-78.8800516057,,0,
TL-58,,Ray Ave/Mason Ave,,35.0570814346,-78.8808830905,,0,
TL-59,,Moore St/Mechanic St,,35.0608351863,-78.8805598843,,0,
TL-60,,Moore St/Frink St,,35.0615540184,-78.8826935817,,0,
TL-61,,Hillsboro St/Chance St,,35.0640672483,-78.8840829661,,0,
TL-62,,Hillsboro St/Cumberland St,,35.0666207115,-78.8839421501,,0,
TL-63,,Hillsboro St/MLK,,35.0701719564,-78.8837275734,,0,
TL-64,,Social Services,,35.0716159600,-78.8827955300,,0,
TL-65,,Cumb Co Health Dept,,35.0737004026,-78.8826453020,,0,
TL-66,,Hillsboro St/Peace St,,35.0750348017,-78.8829738726,,0,
TL-67,,Hillsboro St/Ramsey St,,35.0771135138,-78.8820136417,,0,
TL-68,,Ramsey St/Kensington Cir,,35.0778618501,-78.8814275790,,0,
TL-69,,Rosehill Rd/Ramsey St,,35.0829526831,-78.8825178970,,0,
TL-70,,Rosehill Rd/Osceola Dr,,35.0849951854,-78.8830154468,,0,
TL-71,,Rosehill Rd/Seneca Dr,,35.0867882423,-78.8832219769,,0,
TL-72,,Rosehill Rd/Walstone Rd,,35.0908920223,-78.8856775394,,0,
TL-73,,Rosehill Rd/Walstone Rd,,35.0964911340,-78.8911666805,,0,
TL-74,,3104 Rosehill Rd,,35.0996641874,-78.8943558272,,0,
TL-75,,Hickory Hill 1,,35.1004272759,-78.8934478994,,0,
TL-76,,Hickory Hill 2,,35.1011124900,-78.8937413400,,0,
TL-77,,Hickory Hill 3,,35.1000536300,-78.8939196600,,0,
TL-78,,3290 Rosehill Rd,,35.1024241807,-78.8983496367,,0,
TL-79,,Country Club Dr/Gables Dr,,35.1041729810,-78.8895868593,,0,
TL-80,,Country Club Dr/Ramsey St,,35.1049789849,-78.8795205283,,0,
TL-81,,Ramsey St/Chloe Dr,,35.1039677920,-78.8783323096,,0,
TL-82,,Ramsey St/Plantation Rd,,35.1010830761,-78.8779407071,,0,
TL-83,,Ramsey St/Northwest Ave,,35.0965863524,-78.8772849069,,0,
TL-84,,Ramsey St/Circle Ct,,35.0941562709,-78.8773653732,,0,
TL-85,,Veterans Hospital,,35.0885720000,-78.8770590000,,0,
TL-86,,LaFayette Memorial Park,,35.0873300485,-78.8793998289,,0,
TL-87,,Ramsey St/Rosehill Rd,,35.0831525077,-78.8815469373,,0,
TL-88,,Ramsey St/Scott Ave,,35.0810349036,-78.8820994724,,0,
TL-89,,Ramsey St/Quincy St,,35.0794765401,-78.8818406392,,0,
TL-90,,Ramsey St/Hillsboro St,,35.0779476808,-78.8815013398,,0,
TL-91,,Hillsboro St/Central Dr,,35.0747546600,-78.8830961100,,0,
TL-92,,Hillsboro St/S Windsor Dr,,35.0719784243,-78.8835840752,,0,
TL-93,,Social Services,,35.0716159600,-78.8827955300,,0,
TL-94,,Cumb Co Health Dept,,35.0737004026,-78.8826453020,,0,
TL-95,,Hillsboro St/Windsor Dr,,35.0721702023,-78.8835022678,,0,
TL-96,,Hillsboro St/Boundary Ln,,35.0702014607,-78.8837865820,,0,
TL-97,,Hillsboro St/Edwards St,,35.0656028131,-78.8840735784,,0,
TL-98,,Hillsboro St/Moore St,,35.0632880666,-78.8841942778,,0,
TL-99,,Moore St/Frink St,,35.0616572834,-78.8832112481,,0,
