route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
TL-4,TL-10,TL-10,,,0,6 Sat_01,TL-4
TL-4,TL-11,TL-11,,,0,6 Sun_01,TL-4
TL-5,TL-12,TL-12,,,0,7 Mon-Fri_01,TL-5
TL-21,TL-13,TL-49,,,0,7 Sat_01,TL-21
TL-21,TL-14,TL-50,,,0,7 Sun_01,TL-21
TL-6,TL-15,TL-15,,,0,8 Mon-Fri_01,TL-6
TL-6,TL-16,TL-16,,,0,8 Sat_01,TL-6
TL-6,TL-17,TL-17,,,0,8 Sun_01,TL-6
TL-7,TL-18,TL-18,,,0,9 Mon-Fri_01,TL-7
TL-7,TL-19,TL-19,,,0,9 Sat_01,TL-7
TL-12,TL-30,TL-30,,,0,15 Mon-Fri_01,TL-12
TL-12,TL-31,TL-31,,,0,15 Sat_01,TL-12
TL-12,TL-32,TL-32,,,0,15 Sun_01,TL-12
TL-13,TL-33,TL-33,,,0,16 Mon-Fri_01,TL-13
TL-15,TL-37,TL-37,,,0,18 Mon-Fri_01,TL-15
TL-15,TL-38,TL-38,,,0,18 Sat_01,TL-15
TL-15,TL-39,TL-39,,,0,18 Sun_01,TL-15
TL-17,TL-42,TL-42,,,0,31 Mon-Fri_01,TL-17
TL-17,TL-43,TL-43,,,0,31 Sat_01,TL-17
TL-18,TL-44,TL-44,,,0,West Fayetteville Express_01,TL-18
TL-1,TL-45,TL-73,,,0,3 Mon-Fri_01,TL-1
TL-11,TL-45,TL-63,,,0,14 Mon-Fri_01,TL-11
TL-2,TL-45,TL-77,,,0,4 Mon-Fri_01,TL-2
TL-3,TL-45,TL-78,,,0,5 Mon-Fri_01,TL-3
TL-33,TL-45,TL-57,,,0,17 Mon-Fri_01,TL-33
TL-34,TL-45,TL-62,,,0,12 Mon-Fri_01,TL-34
TL-37,TL-45,TL-67,,,0,11 Mon-Fri_01,TL-37
TL-38,TL-45,TL-70,,,0,19 Mon-Fri_01,TL-38
TL-39,TL-45,TL-71,,,0,10 Mon-Fri_01,TL-39
TL-1,TL-46,TL-74,,,0,3 Sat_01,TL-1
TL-19,TL-46,TL-66,,,0,14 Sat_01,TL-19
TL-2,TL-46,TL-76,,,0,4 Sat_01,TL-2
TL-3,TL-46,TL-79,,,0,5 Sat_01,TL-3
TL-33,TL-46,TL-58,,,0,17 Sat_01,TL-33
TL-34,TL-46,TL-61,,,0,12 Sat_01,TL-34
TL-37,TL-46,TL-68,,,0,11 Sat_01,TL-37
TL-38,TL-46,TL-69,,,0,19 Sat_01,TL-38
TL-39,TL-46,TL-72,,,0,10 Sat_01,TL-39
TL-1,TL-47,TL-75,,,0,3 Sun_01,TL-1
TL-19,TL-47,TL-65,,,0,14 Sun_01,TL-19
TL-3,TL-47,TL-80,,,0,5 Sun_01,TL-3
TL-33,TL-47,TL-59,,,0,17 Sun_01,TL-33
TL-34,TL-47,TL-60,,,0,12 Sun_01,TL-34
TL-4,TL-9,TL-9,,,0,6 Mon-Fri_01,TL-4
