trip_id,stop_id,stop_sequence,arrival_time,departure_time,drop_off_type,shape_dist_traveled,timepoint,stop_headsign
"Route_1",71007,1,06:25:00,06:25:00,,0.0001,1,"Route 1"
"Route_1",71008,2,06:25:30,06:25:30,,0.2809,0,"Route 1"
"Route_1",31005,3,06:26:00,06:26:00,,0.4797,0,"Route 1"
"Route_1",31010,4,06:26:30,06:26:30,,0.7828,0,"Route 1"
"Route_1",31020,5,06:27:30,06:27:30,,1.0941,0,"Route 1"
"Route_1",31025,6,06:28:30,06:28:30,,1.2194,0,"Route 1"
"Route_1",31030,7,06:29:30,06:29:30,,1.3421,0,"Route 1"
"Route_1",31033,8,06:30:30,06:30:30,,1.5130,0,"Route 1"
"Route_1",31035,9,06:31:30,06:31:30,,1.6715,0,"Route 1"
"Route_1",31040,10,06:32:00,06:32:00,,1.7739,0,"Route 1"
"Route_1",31050,11,06:33:00,06:33:00,,2.0564,0,"Route 1"
"Route_1",31055,12,06:35:00,06:35:00,,2.5108,0,"Route 1"
"Route_1",31060,13,06:38:00,06:38:00,,3.0702,1,"Route 1"
"Route_1",31065,14,06:45:00,06:45:00,,3.6816,1,"Route 1"
"Route_1",31075,15,06:47:00,06:47:00,,3.9690,0,"Route 1"
"Route_1",31080,16,06:47:30,06:47:30,,4.0882,0,"Route 1"
"Route_1",31085,17,06:48:00,06:48:00,,4.2940,0,"Route 1"
"Route_1",31090,18,06:48:30,06:48:30,,4.5855,0,"Route 1"
"Route_1",31095,19,06:49:00,06:49:00,,4.7461,0,"Route 1"
"Route_1",31100,20,06:49:30,06:49:30,,5.1481,0,"Route 1"
"Route_1",31105,21,06:50:00,06:50:00,,5.3130,0,"Route 1"
"Route_1",31115,22,06:51:00,06:51:00,,5.5069,1,"Route 1"
"Route_1",71014,23,06:52:00,06:52:00,,5.6242,0,"Route 1"
"Route_1",31120,24,06:53:00,06:53:00,,5.8563,0,"Route 1"
"Route_1",31125,25,06:54:00,06:54:00,,6.0842,0,"Route 1"
"Route_1",31130,26,06:54:30,06:54:30,,6.3416,0,"Route 1"
"Route_1",31135,27,06:55:00,06:55:00,,6.5809,0,"Route 1"
"Route_1",31140,28,06:56:00,06:56:00,,6.7906,0,"Route 1"
"Route_1",31145,29,06:57:00,06:57:00,,6.9513,0,"Route 1"
"Route_1",31150,30,06:58:00,06:58:00,,7.1874,0,"Route 1"
"Route_1",31155,31,06:59:00,06:59:00,,7.3923,0,"Route 1"
"Route_1",31160,32,07:03:00,07:03:00,,7.6887,1,"Route 1"
"Route_1",32232,33,07:05:00,07:05:00,,8.1933,0,"Route 1"
"Route_1",32234,34,07:07:00,07:07:00,,8.5933,0,"Route 1"
"Route_1",31170,35,07:09:00,07:09:00,,8.9106,0,"Route 1"
"Route_1",31175,36,07:10:00,07:10:00,,9.6908,0,"Route 1"
"Route_1",31180,37,07:11:00,07:11:00,,9.9519,1,"Route 1"
"Route_1",31185,38,07:12:00,07:12:00,,10.2492,0,"Route 1"
"Route_1",31190,39,07:13:00,07:13:00,,10.5444,0,"Route 1"
"Route_1",60006,40,07:14:00,07:14:00,,10.7632,0,"Route 1"
"Route_1",71007,41,07:15:00,07:15:00,,11.0964,1,"Route 1"
"58",71007,1,19:25:00,19:25:00,,0.0001,1,"Route 1"
"58",71008,2,19:25:30,19:25:30,,0.2809,0,"Route 1"
"58",31005,3,19:26:00,19:26:00,,0.4797,0,"Route 1"
"58",31010,4,19:26:30,19:26:30,,0.7828,0,"Route 1"
"58",31020,5,19:27:30,19:27:30,,1.0941,0,"Route 1"
"58",31025,6,19:28:30,19:28:30,,1.2194,0,"Route 1"
"58",31030,7,19:29:30,19:29:30,,1.3421,0,"Route 1"
"58",31033,8,19:30:30,19:30:30,,1.5130,0,"Route 1"
"58",31035,9,19:31:30,19:31:30,,1.6715,0,"Route 1"
"58",31040,10,19:32:00,19:32:00,,1.7739,0,"Route 1"
"58",31050,11,19:33:00,19:33:00,,2.0564,0,"Route 1"
"58",31055,12,19:35:00,19:35:00,,2.5108,0,"Route 1"
"58",31060,13,19:38:00,19:38:00,,3.0702,1,"Route 1"
"58",31065,14,19:45:00,19:45:00,,3.6816,1,"Route 1"
"58",31075,15,19:47:00,19:47:00,,3.9690,0,"Route 1"
"58",31080,16,19:47:30,19:47:30,,4.0882,0,"Route 1"
"58",31085,17,19:48:00,19:48:00,,4.2940,0,"Route 1"
"58",31090,18,19:48:30,19:48:30,,4.5855,0,"Route 1"
"58",31095,19,19:49:00,19:49:00,,4.7461,0,"Route 1"
"58",31100,20,19:49:30,19:49:30,,5.1481,0,"Route 1"
"58",31105,21,19:50:00,19:50:00,,5.3130,0,"Route 1"
"58",31115,22,19:51:00,19:51:00,,5.5069,1,"Route 1"
"58",71014,23,19:52:00,19:52:00,,5.6242,0,"Route 1"
"58",31120,24,19:53:00,19:53:00,,5.8563,0,"Route 1"
"58",31125,25,19:54:00,19:54:00,,6.0842,0,"Route 1"
"58",31130,26,19:54:30,19:54:30,,6.3416,0,"Route 1"
"58",31135,27,19:55:00,19:55:00,,6.5809,0,"Route 1"
"58",31140,28,19:56:00,19:56:00,,6.7906,0,"Route 1"
"58",31145,29,19:57:00,19:57:00,,6.9513,0,"Route 1"
"58",31150,30,19:58:00,19:58:00,,7.1874,0,"Route 1"
"58",31155,31,19:59:00,19:59:00,,7.3923,0,"Route 1"
"58",31160,32,20:03:00,20:03:00,,7.6887,1,"Route 1"
"58",32232,33,20:05:00,20:05:00,,8.1933,0,"Route 1"
"58",32234,34,20:07:00,20:07:00,,8.5933,0,"Route 1"
"58",31170,35,20:09:00,20:09:00,,8.9106,0,"Route 1"
"58",31175,36,20:10:00,20:10:00,,9.6908,0,"Route 1"
"58",31180,37,20:11:00,20:11:00,,9.9519,1,"Route 1"
"58",31185,38,20:12:00,20:12:00,,10.2492,0,"Route 1"
"58",31190,39,20:13:00,20:13:00,,10.5444,0,"Route 1"
"58",60006,40,20:14:00,20:14:00,,10.7632,0,"Route 1"
"58",71007,41,20:15:00,20:15:00,,11.0964,1,"Route 1"
"57",71007,1,18:25:00,18:25:00,,0.0001,1,"Route 1"
"57",71008,2,18:25:30,18:25:30,,0.2809,0,"Route 1"
"57",31005,3,18:26:00,18:26:00,,0.4797,0,"Route 1"
"57",31010,4,18:26:30,18:26:30,,0.7828,0,"Route 1"
"57",31020,5,18:27:30,18:27:30,,1.0941,0,"Route 1"
"57",31025,6,18:28:30,18:28:30,,1.2194,0,"Route 1"
"57",31030,7,18:29:30,18:29:30,,1.3421,0,"Route 1"
"57",31033,8,18:30:30,18:30:30,,1.5130,0,"Route 1"
"57",31035,9,18:31:30,18:31:30,,1.6715,0,"Route 1"
"57",31040,10,18:32:00,18:32:00,,1.7739,0,"Route 1"
"57",31050,11,18:33:00,18:33:00,,2.0564,0,"Route 1"
"57",31055,12,18:35:00,18:35:00,,2.5108,0,"Route 1"
"57",31060,13,18:38:00,18:38:00,,3.0702,1,"Route 1"
"57",31065,14,18:45:00,18:45:00,,3.6816,1,"Route 1"
"57",31075,15,18:47:00,18:47:00,,3.9690,0,"Route 1"
"57",31080,16,18:47:30,18:47:30,,4.0882,0,"Route 1"
"57",31085,17,18:48:00,18:48:00,,4.2940,0,"Route 1"
"57",31090,18,18:48:30,18:48:30,,4.5855,0,"Route 1"
"57",31095,19,18:49:00,18:49:00,,4.7461,0,"Route 1"
"57",31100,20,18:49:30,18:49:30,,5.1481,0,"Route 1"
"57",31105,21,18:50:00,18:50:00,,5.3130,0,"Route 1"
"57",31115,22,18:51:00,18:51:00,,5.5069,1,"Route 1"
"57",71014,23,18:52:00,18:52:00,,5.6242,0,"Route 1"
"57",31120,24,18:53:00,18:53:00,,5.8563,0,"Route 1"
"57",31125,25,18:54:00,18:54:00,,6.0842,0,"Route 1"
"57",31130,26,18:54:30,18:54:30,,6.3416,0,"Route 1"
"57",31135,27,18:55:00,18:55:00,,6.5809,0,"Route 1"
