route_id,service_id,trip_id,shape_id,trip_headsign,trip_short_name,direction_id,block_id,wheelchair_accessible,bikes_allowed,block_service_id,block_name
"Rt1","6","Route_1","Route 1 2025","Route_1","06:25:00","0","5",,,"1001","Route 1"
"Rt1","6","58","Route 1 2025","Route_1","19:25:00-1","0","5",,,"1001","Route 1"
"Rt1","6","57","Route 1 2025","Route_1","18:25:00-1","0","5",,,"1001","Route 1"
"Rt1","6","56","Route 1 2025","Route_1","17:25:00-1","0","5",,,"1001","Route 1"
"Rt1","6","18","Route 1 2025","Route_1","16:25:00-1","0","5",,,"1001","Route 1"
"Rt1","6","17","Route 1 2025","Route_1","15:25:00-1","0","5",,,"1001","Route 1"
"Rt1","6","16","Route 1 2025","Route_1","14:25:00-1","0","5",,,"1001","Route 1"
"Rt1","6","15","Route 1 2025","Route_1","13:25:00-1","0","5",,,"1001","Route 1"
"Rt1","6","14","Route 1 2025","Route_1","12:25:00-1","0","5",,,"1001","Route 1"
"Rt1","6","13","Route 1 2025","Route_1","11:25:00-1","0","5",,,"1001","Route 1"
"Rt1","6","12","Route 1 2025","Route_1","10:25:00-1","0","5",,,"1001","Route 1"
"Rt1","6","11","Route 1 2025","Route_1","09:25:00-1","0","5",,,"1001","Route 1"
"Rt1","6","10","Route 1 2025","Route_1","08:25:00-1","0","5",,,"1001","Route 1"
"Rt1","6","2671746461673185","Route 1 2025","Route_1","07:25:00-1","0","5",,,"1001","Route 1"
"Rt1","22","80","Route 1 2025","Route_1","11:25:00-1","0","6",,,"1002","Route 1"
"Rt1","22","79","Route 1 2025","Route_1","10:25:00-1","0","6",,,"1002","Route 1"
"Rt1","22","3101746463982808","Route 1 2025","Route_1","09:25:00-1","0","6",,,"1002","Route 1"
"Rt1","22","84","Route 1 2025","Route_1","15:25:00-1","0","6",,,"1002","Route 1"
"Rt1","22","83","Route 1 2025","Route_1","14:25:00-1","0","6",,,"1002","Route 1"
"Rt1","22","82","Route 1 2025","Route_1","13:25:00-1","0","6",,,"1002","Route 1"
"Rt1","22","81","Route 1 2025","Route_1","12:25:00-1","0","6",,,"1002","Route 1"
"Rt3","6","66","Route 3 2025","Route_3","19:25:00-6","0","9",,,"3001","Route 3"
"Rt3","6","65","Route 3 2025","Route_3","18:25:00-6","0","9",,,"3001","Route 3"
"Rt3","6","64","Route 3 2025","Route_3","17:25:00-6","0","9",,,"3001","Route 3"
"Rt3","6","37","Route 3 2025","Route_3","16:25:00-6","0","9",,,"3001","Route 3"
