stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
8113392,4044,"Landmark Center Blvd/Garden Ridge","",36.052622,-79.899784,,,0,,,0,,
8113393,4045,"Landmark Center Blvd/Landmark Center Drive","",36.053424,-79.897855,,,0,,,0,,
8113394,4046,"Landmark Center Blvd/Lanada","",36.053211,-79.894109,,,0,,,0,,
8113395,4047,"Landmark Center Blvd@Social Security Bldg","",36.051718,-79.891926,,,0,,,0,,
8113396,4048,"Koger Blvd/Marithe Court","",36.051029,-79.883466,,,0,,,0,,
8113400,4052,"Wendover/Lanada","",36.055737,-79.894419,,,0,,,0,,
8113401,4053,"Wendover/Verizon Store","",36.057872,-79.887587,,,0,,,0,,
8113402,4054,"Wendover/Kendall Center","",36.05964,-79.880412,,,0,,,0,,
8113403,4055,"Wendover/Bulk Mail Center","",36.059938,-79.873622,,,0,,,0,,
8113404,4056,"Wendover/Norwalk (EB)","",36.060036,-79.871078,,,0,,,0,,
8113405,4057,"Hewitt/West Barton","",36.056461,-79.870155,,,0,,,0,,
8113406,4058,"Hewitt/E Barton (EB)","",36.056484,-79.867076,,,0,,,0,,
8113407,4059,"Hewitt/Pineland (EB)","",36.056751,-79.864018,,,0,,,0,,
8113408,4060,"Hewitt/Fir Place","",36.057462,-79.862203,,,0,,,0,,
8113409,4061,"Rucker/Clifton (IB)","",36.059884,-79.859831,,,0,,,0,,
8113410,4062,"Clifton/Watkins","",36.059959,-79.856758,,,0,,,0,,
8113411,4063,"Merritt/Spring Garden","",36.060429,-79.855172,,,0,,,0,,
8113513,4064,"Spring Garden/Gay (EB)","",36.060192,-79.84976,,,0,,,0,,
8113514,4065,"Spring Garden/Spring Garden Storage Bldg","",36.061096,-79.845891,,,0,,,0,,
8113515,4066,"Spring Garden/McManus","",36.062496,-79.842484,,,0,,,0,,
8113516,4067,"Spring Garden/Park Terrace","",36.063252,-79.840606,,,0,,,0,,
8113517,4068,"Spring Garden/Lindell","",36.064092,-79.837009,,,0,,,0,,
8113518,4069,"Spring Garden/Howard (EB)","",36.064014,-79.834041,,,0,,,0,,
8113519,4070,"Spring Garden/Scott (EB)","",36.063913,-79.830403,,,0,,,0,,
8113520,4071,"Spring Garden/Elam (EB)","",36.063851,-79.828303,,,0,,,0,,
8113521,4072,"Spring Garden/Bruce","",36.063831,-79.826703,,,0,,,0,,
8113522,4073,"Spring Garden/Chapman (EB)","",36.063745,-79.824135,,,0,,,0,,
8113523,4074,"Spring Garden/Time Warner","",36.063701,-79.821796,,,0,,,0,,
8113524,4075,"Spring Garden/Mayflower (EB)","",36.064228,-79.816875,,,0,,,0,,
8113525,5061,"Spring Garden/Kenilworth (EB)","",36.065488,-79.811942,,,0,,,0,,
8113526,6017,"Spring Garden/Highland","",36.066288,-79.806576,,,0,,,0,,
8113527,6018,"Spring Garden/Mendenhall (IB)","",36.066435,-79.80251,,,0,,,0,,
8113528,4163,"Spring Garden/Cedar (EB)","",36.067583,-79.798996,,,0,,,0,,
8113529,4164,"Spring Garden/Blandwood (EB)","",36.067867,-79.795387,,,0,,,0,,
8113530,6019,"Spring Garden/Smothers Pl (EB)","",36.067669,-79.792159,,,0,,,0,,
8113532,4043,"Bridford Place/Terry Labonte Chevy","",36.049995,-79.901703,,,0,,,0,,
8116058,4134,"Koury/Pinecroft","",36.040472,-79.841768,,,0,,,0,,
8116059,4135,"Meadowview/Meadowview Court","",36.045274,-79.836742,,,0,,,0,,
8116060,4136,"2603 Murray Hill","",36.044425,-79.835224,,,0,,,0,,
8116061,4137,"Murray Hill/Vanstory","",36.043933,-79.832123,,,0,,,0,,
8116062,4138,"Murray Hill/Hardie","",36.043572,-79.829201,,,0,,,0,,
8116063,4139,"Hardie/Bundy (IB)","",36.045527,-79.827471,,,0,,,0,,
8116064,4140,"Hardie/Ontario (IB)","",36.046929,-79.826309,,,0,,,0,,
8116065,4141,"Hardie/Bailif (IB)","",36.048817,-79.826199,,,0,,,0,,
8116066,4142,"Hardie/Phoebe (IB)","",36.049593,-79.826201,,,0,,,0,,
8116067,4143,"Hardie/Florida","",36.051987,-79.826065,,,0,,,0,,
8116068,4144,"Florida/Coliseum (IB)","",36.052196,-79.822799,,,0,,,0,,
8116069,4145,"Florida/Food Lion","",36.052208,-79.82182,,,0,,,0,,
8116070,4146,"Florida/Van Wert (IB)","",36.052212,-79.819206,,,0,,,0,,
8116071,4147,"Florida/Lovette","",36.052474,-79.815801,,,0,,,0,,
8116072,4148,"Florida/Willomore","",36.052453,-79.81375,,,0,,,0,,
8116073,4149,"Florida/McCormick (IB)","",36.05243,-79.812515,,,0,,,0,,
8116074,4150,"Florida/Glenwood","",36.052377,-79.811251,,,0,,,0,,
8116075,4151,"Glenwood/Grove (IB)","",36.053055,-79.810987,,,0,,,0,,
8116076,4152,"Glenwood/Oak (IB)","",36.055228,-79.810889,,,0,,,0,,
8116077,4153,"Glenwood/Hertford (IB)","",36.057144,-79.810773,,,0,,,0,,
8116078,4154,"Glenwood/Richardson (IB)","",36.058212,-79.810705,,,0,,,0,,
8116079,4155,"Glenwood/Haywood (IB)","",36.060671,-79.810546,,,0,,,0,,
8116080,4685,"W Gate City/Highland (IB)","",36.063249,-79.807415,,,0,,,0,,
8116081,4686,"W Gate City/Tate (IB)","",36.063484,-79.805122,,,0,,,0,,
8116082,4687,"W Gate City/Dick (IB)","",36.063854,-79.802079,,,0,,,0,,
8116083,4688,"W Gate City/Freeman Mill Rd","",36.064101,-79.79964,,,0,,,0,,
8116084,4689,"W Gate City/Urban Ministry","",36.064633,-79.795381,,,0,,,0,,
8116085,4165,"McGee/Federal","",36.068457,-79.792659,,,0,,,0,,
8116841,4653,"Meadowview/NCWorks","",36.047749,-79.840676,,,0,,,0,,
8117057,4084,"Federal Place/McGee","",36.068783,-79.793037,,,0,,,0,,
8117058,4725,"Eugene/W Gate City (OB)","",36.065032,-79.79308,,,0,,,0,,
8117059,4640,"W Gate City/Tipton","",36.064785,-79.795706,,,0,,,0,,
8117060,4641,"W Gate City/Fulton","",36.06428,-79.799765,,,0,,,0,,
8117061,4642,"W Gate City/Dick (OB)","",36.064024,-79.802354,,,0,,,0,,
8117062,4643,"W Gate City/Tate (OB)","",36.063752,-79.804467,,,0,,,0,,
8117063,4090,"W Gate City/Highland (OB)","",36.06347,-79.807061,,,0,,,0,,
8117064,4091,"Glenwood/W Gate City (OB)","",36.062254,-79.810598,,,0,,,0,,
8117065,4092,"Glenwood/Haywood (OB)","",36.061289,-79.810636,,,0,,,0,,
8117066,4093,"Glenwood/Richardson (OB)","",36.058988,-79.810777,,,0,,,0,,
8117067,4094,"Glenwood/Hertford (OB)","",36.057301,-79.810897,,,0,,,0,,
8117068,4095,"Glenwood/Oak (OB)","",36.055824,-79.810975,,,0,,,0,,
8117069,4096,"Glenwood/Grove (OB)","",36.053528,-79.811115,,,0,,,0,,
8117070,4097,"Glenwood/Florida","",36.052501,-79.811176,,,0,,,0,,
8117071,4098,"Florida/McCormick (OB)","",36.052514,-79.812299,,,0,,,0,,
8117072,4099,"Florida/Portland","",36.052573,-79.814507,,,0,,,0,,
8117073,4100,"Florida/Josephine Boyd","",36.052597,-79.815453,,,0,,,0,,
8117074,4101,"Florida/Van Wert (OB)","",36.052326,-79.818724,,,0,,,0,,
8117075,4102,"Florida/Coliseum (OB)","",36.052358,-79.821814,,,0,,,0,,
8117076,4103,"Hardie/Carpenter","",36.051136,-79.82629,,,0,,,0,,
8117077,4104,"Hardie/Phoebe (OB)","",36.049736,-79.826317,,,0,,,0,,
8117078,4105,"Hardie/Bailif (OB)","",36.048937,-79.826354,,,0,,,0,,
8117079,4106,"Hardie/Ontario (OB)","",36.047256,-79.826271,,,0,,,0,,
8117080,4107,"Hardie/Bundy (OB)","",36.04572,-79.827479,,,0,,,0,,
8117081,4108,"Hardie/Murray Hill","",36.043692,-79.828975,,,0,,,0,,
8117082,4110,"Vanstory/Emerald","",36.04349,-79.831923,,,0,,,0,,
8117083,4111,"Vanstory/Meadowview","",36.041664,-79.832368,,,0,,,0,,
8117084,4112,"Vanstory/Michelle Lane","",36.03961683113798,-79.83376588343239,,,0,,,0,,
8118928,4201,"Church/Wind","",36.132648,-79.789658,,,0,,,0,,
8118929,4202,"Church/Greenbriar","",36.128623,-79.789205,,,0,,,0,,
8118930,4203,"Church/Denny","",36.126468,-79.788526,,,0,,,0,,
8118931,4204,"Church/Berryman","",36.12499,-79.787706,,,0,,,0,,
8118932,4205,"Church/Broadview (IB)","",36.120947,-79.785318,,,0,,,0,,
8118933,4206,"Church/Bond","",36.118756,-79.783544,,,0,,,0,,
8118934,4207,"Church/Henry","",36.115239,-79.782038,,,0,,,0,,
8118935,4208,"Church St/Cone Blvd (IB)","",36.111841,-79.781183,,,0,,,0,,
8118936,4209,"Church/Sixteenth (IB)","",36.109154,-79.780752,,,0,,,0,,
8118937,4210,"Church/Hall Towers (IB)","",36.104563,-79.78114,,,0,,,0,,
8118938,4211,"Church/Cornwallis (IB)","",36.102219,-79.78122,,,0,,,0,,
8118939,4212,"Church/Golden Gate (IB)","",36.098494,-79.782188,,,0,,,0,,
8118940,4213,"Church/Moses Cone Hospital Entrance D","",36.093516,-79.783478,,,0,,,0,,
8118941,4214,"Church/Moses Cone Hospital Entrance A","",36.091602,-79.78388,,,0,,,0,,
8118942,4215,"Church/Northwood","",36.08968,-79.784242,,,0,,,0,,
8118943,4216,"Northwood/Moses Cone Hospital (IB)","",36.089754,-79.78567,,,0,,,0,,
8118944,4217,"N Elm/Wendover Bridge","",36.087777,-79.78919,,,0,,,0,,
8118945,4218,"N Elm/Bessemer (IB)","",36.086171,-79.789285,,,0,,,0,,
8118946,4219,"N Elm/Fisher Park Circle (IB)","",36.082984,-79.789546,,,0,,,0,,
8118947,4220,"N Elm/Fisher (IB)","",36.079969,-79.789815,,,0,,,0,,
8118948,6021,"N Eugene/Battleground","",36.079449,-79.793706,,,0,,,0,,
8118949,4224,"N Eugene/Grasshoppers Stadium","",36.074405,-79.794031,,,0,,,0,,
8118950,4225,"N Eugene/W Market St (IB)","",36.072862,-79.794085,,,0,,,0,,
8122206,5004,"Berryman/N Elm","",36.124999,-79.796274,,,0,,,0,,
8122207,4196,"N Elm/Spicewood","",36.126184,-79.796854,,,0,,,0,,
8122208,4197,"N Elm/Greenbriar","",36.127493,-79.797077,,,0,,,0,,
8122209,4198,"3500 North Elm St","",36.129105,-79.797318,,,0,,,0,,
8122210,4199,"N Elm/Pisgah Church Road","",36.131228,-79.797665,,,0,,,0,,
8122211,4200,"Pisgah Church/North Elm Village SC","",36.13252987400113,-79.79310186952401,,,0,,,0,,
8122585,4275,"E Florida/Hayes Taylor YMCA","",36.055753,-79.748599,,,0,,,0,,
8122586,4276,"E Gate City/Aster Drive","",36.057221,-79.747799,,,0,,,0,,
8122587,4277,"Moody/Pear","",36.058024,-79.754312,,,0,,,0,,
8122588,4278,"Pear/Ardmore","",36.057992,-79.755768,,,0,,,0,,
8122589,4279,"Pear/English","",36.058082,-79.75802,,,0,,,0,,
8122590,4280,"Pear/Ivy Heights","",36.058146,-79.759578,,,0,,,0,,
8122591,4281,"Pear/Willow","",36.058211,-79.761794,,,0,,,0,,
8122592,4166,"W Washington/S Eugene","",36.070483,-79.793507,,,0,,,0,,
8122593,6091,"N Eugene/W Friendly ","",36.073403,-79.793833,,,0,,,0,,
8122594,6020,"W Smith/Battleground","",36.078225,-79.792937,,,0,,,0,,
8122595,4168,"N Elm/E Fisher (OB)","",36.079682,-79.789616,,,0,,,0,,
8122596,4169,"N Elm/North Park (OB)","",36.082791,-79.789381,,,0,,,0,,
8122597,4170,"N Elm/E Bessemer (OB)","",36.085921,-79.789128,,,0,,,0,,
8122598,4171,"N Elm/Wendover Bridge (OB)","",36.088234,-79.788918,,,0,,,0,,
8122599,6072,"Northwood/Moses Cone Hospital (OB)","",36.089574,-79.787441,,,0,,,0,,
8122600,6073,"Church/Moses Cone Hospital Entrance A (OB)","",36.090932,-79.78382,,,0,,,0,,
8122601,6074,"Church/Tankersley","",36.0941,-79.783174,,,0,,,0,,
8122602,6084,"Church/Golden Gate (OB)","",36.098642,-79.781889,,,0,,,0,,
8122603,6075,"Church/Cornwallis (OB)","",36.101501,-79.781167,,,0,,,0,,
8122604,6076,"Church/Hall Towers (OB)","",36.10445,-79.780932,,,0,,,0,,
8122605,6077,"Church/14th","",36.107349,-79.780963,,,0,,,0,,
8122606,4181,"Church/Sixteenth (OB)","",36.108719,-79.780581,,,0,,,0,,
8122607,4182,"Church/Cone Blvd (OB)","",36.111245,-79.780793,,,0,,,0,,
8122608,4183,"Church/Executive Square SC","",36.113076,-79.781243,,,0,,,0,,
8122609,4184,"Church/New","",36.115909,-79.781997,,,0,,,0,,
8122610,4185,"Church/Broadview (OB)","",36.120996,-79.785147,,,0,,,0,,
8122611,4186,"3308 Church St","",36.122463,-79.786073,,,0,,,0,,
8122612,5002,"Berryman/Sherbourne","",36.124858,-79.790947,,,0,,,0,,
8122613,5003,"Berryman/Flint","",36.124901,-79.792966,,,0,,,0,,
8122614,4282,"Willow/Wythe","",36.05964,-79.761752,,,0,,,0,,
8122615,4283,"WIllow/Mcrae","",36.061051,-79.761645,,,0,,,0,,
8122616,4284,"Willow/E Gate City","",36.062018,-79.761596,,,0,,,0,,
8122617,4285,"E Gate City/Dunbar","",36.062937,-79.7626,,,0,,,0,,
8122618,4286,"E Gate City/Lincoln","",36.063078,-79.764907,,,0,,,0,,
8122619,4287,"S Benbow/Vance Chavis Library","",36.0638,-79.771226,,,0,,,0,,
8122650,4288,"S Benbow/Douglas","",36.061825,-79.77143,,,0,,,0,,
8122651,4289,"S Benbow/Julian","",36.059941,-79.771605,,,0,,,0,,
8122652,4290,"Julian/Logan","",36.059914,-79.772747,,,0,,,0,,
8122653,4291,"Julian/Burbank","",36.059953,-79.77387,,,0,,,0,,
8122654,4292,"Julian/Bennett","",36.060099,-79.777963,,,0,,,0,,
8122655,5024,"Tuscaloosa/S Benbow","",36.057601,-79.772525,,,0,,,0,,
8122656,4238,"S Benbow/Ross","",36.056498,-79.771952,,,0,,,0,,
8122657,4239,"S Benbow/Stephens","",36.055498,-79.772268,,,0,,,0,,
8122658,4240,"S Benbow/Chelsea","",36.053632,-79.773351,,,0,,,0,,
8122659,4241,"South Side/Benbow Park","",36.051947,-79.773681,,,0,,,0,,
8122660,4242,"South Side Belcrest","",36.050187,-79.772507,,,0,,,0,,
8122661,4243,"South Side/Britton","",36.04891,-79.771245,,,0,,,0,,
8122662,6030,"Bothwell/MLK","",36.046905,-79.774101,,,0,,,0,,
8122663,4848,"MLK/Pennsylvania (IB)","",36.047574,-79.774778,,,0,,,0,,
8122664,4849,"MLK/S Benbow","",36.048822,-79.775977,,,0,,,0,,
8122665,4850,"MLK/Cambridge (IB)","",36.049858,-79.777685,,,0,,,0,,
8122666,4851,"MLK/Oxford (IB)","",36.050949,-79.779446,,,0,,,0,,
8122667,4852,"MLK/E Florida (IB)","",36.052281,-79.781354,,,0,,,0,,
8122668,4853,"MLK/Mark","",36.053804,-79.782688,,,0,,,0,,
8122669,4854,"MLK/Dorothy Brown","",36.055566,-79.783963,,,0,,,0,,
8122670,4855,"MLK/Ross","",36.056906,-79.784682,,,0,,,0,,
8122671,4856,"MLK/Whittington (IB)","",36.058518,-79.784864,,,0,,,0,,
8122672,4295,"MLK/Julian","",36.060939,-79.785306,,,0,,,0,,
8122673,4296,"MLK/Douglas (IB)","",36.062285,-79.785516,,,0,,,0,,
8122674,4297,"MLK/E Bragg","",36.063138,-79.785953,,,0,,,0,,
8122675,5087,"MLK/Murray","",36.065325,-79.787118,,,0,,,0,,
8123049,6032,"MLK/Southside Square","",36.065555,-79.78743,,,0,,,0,,
8123050,4229,"MLK/Douglas (OB)","",36.062357,-79.78567,,,0,,,0,,
8123051,5097,"MLK/E McCulloch","",36.060403,-79.785294,,,0,,,0,,
8123052,6033,"MLK/Whittington (OB)","",36.058803,-79.785008,,,0,,,0,,
8123053,4826,"MLK/Andrew","",36.056532,-79.78475,,,0,,,0,,
8123054,4827,"MLK/Harrington","",36.054281,-79.783237,,,0,,,0,,
8123055,4828,"MLK/E Florida (OB)","",36.052199,-79.781464,,,0,,,0,,
8123056,4829,"MLK/Oxford (OB)","",36.050896,-79.77963,,,0,,,0,,
8123057,4830,"MLK/Cambridge (OB)","",36.04977,-79.777814,,,0,,,0,,
8123058,4831,"2008 MLK","",36.048365,-79.775522,,,0,,,0,,
8123059,4832,"MLK/Pennsylvania (OB)","",36.047164,-79.77489,,,0,,,0,,
8123060,5078,"MLK/Alamance Square","",36.04293,-79.773675,,,0,,,0,,
8123061,4833,"Alamance Church/Alamance Square","",36.041389,-79.771656,,,0,,,0,,
8123062,4261,"Alamance Church/Walmart","",36.039939,-79.769435,,,0,,,0,,
8123063,4262,"Alamance Church/Bristol","",36.038382,-79.768275,,,0,,,0,,
8123064,4263,"Alamance Church/Acorn","",36.037237,-79.765431,,,0,,,0,,
8123065,4835,"Acorn/Cauthen","",36.035773,-79.765331,,,0,,,0,,
8123066,4836,"Acorn/Fargo","",36.033875,-79.76527,,,0,,,0,,
8123067,4837,"Acorn/Madre","",36.032457,-79.764929,,,0,,,0,,
8123068,4843,"Ponderosa/Willow","",36.032889,-79.76402,,,0,,,0,,
8123069,4844,"Willow/Fargo","",36.034558,-79.763595,,,0,,,0,,
8123070,4845,"Willow/Cartwright","",36.035708,-79.763775,,,0,,,0,,
8123071,4846,"Willow/Alamance Church","",36.036756,-79.763449,,,0,,,0,,
8123072,4264,"Willow/Mt Zion Church","",36.037288,-79.763281,,,0,,,0,,
8123073,4265,"Willow/Rotherwood","",36.03892,-79.762674,,,0,,,0,,
