trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
1000,6084,4,Hopper Trolley,"",1,403636,24961,
1004,5918,2,To Downtown Depot,"",1,403620,21528,
1008,5913,1,To Downtown Depot,"",1,403582,21531,
1012,5934,2,Lawndale Dr. - Outbound to Cottage Pl,"",0,403629,21560,
1016,5910,1,To Downtown Depot,"",1,403577,21518,
1026,5936,1,To Downtown Depot,"",1,403601,21555,
1029,5936,1,Yanceyville St./Brightwood Sch Rd. - Outbound to Brightwood Sch Rd.,"",0,403602,21556,
1037,6349,2,EASTBOUND TO GTCC-GREENSBORO CAMPUS,"",0,403614,23842,
1038,5936,1,Yanceyville St./Brightwood Sch Rd. - Outbound to Brightwood Sch Rd.,"",0,403602,21556,
1046,5924,1,To Downtown Depot,"",1,403597,21547,
1047,5906,2,Four Seasons - Outbound to Four Seasons,"",0,403615,21520,
1052,5906,1,Four Seasons - Outbound to Four Seasons,"",0,403576,21520,
1054,6084,3,Hopper Trolley,"",1,403630,24961,
1070,5935,2,Bessemer/Phillips Ave. - Outbound to Woodbriar Ave.,"",0,403627,21554,
1071,5913,1,MLK Jr. Dr./Benbow/Willow Rd. - Outbound to Florida St/Gate City Blvd.,"",0,403580,21525,
1072,5934,1,Lawndale Dr. - Outbound to Cottage Pl,"",0,403603,21560,
1073,6349,2,EASTBOUND TO GTCC-GREENSBORO CAMPUS,"",0,403611,23842,
1076,6349,2,WESTBOUND TO SAPP ROAD,"",1,403613,23843,
1077,5916,2,Summit Ave. - Outbound to McKnight Mill Rd,"",0,403619,21529,
1088,5925,1,S. Elm-Eugene St. - Outbound to Elmsley Dr.,"",0,403596,21548,
1089,5906,2,Four Seasons - Outbound to Four Seasons,"",0,403615,21520,
1090,5919,1,8 Inbound To Depot,"",1,403583,24464,
1094,6349,1,EASTBOUND TO GTCC-GREENSBORO CAMPUS,"",0,403570,23841,
1106,5925,1,S. Elm-Eugene St. - Outbound to Elmsley Dr.,"",0,403598,21548,
1109,5910,2,To Downtown Depot,"",1,403616,21518,
1115,5927,2,Route 12A,"",0,403624,22077,
1122,5906,2,To Downtown Depot,"",1,403615,21517,
1123,5922,1,To Downtown Depot,"",1,403592,21544,
1124,6084,3,Hopper Trolley,"",0,403632,24960,
1139,5913,1,MLK Jr. Dr./Benbow/Willow Rd. - Outbound to Florida St/Gate City Blvd.,"",0,403580,21525,
1142,6084,4,Hopper Trolley,"",1,403636,24961,
1154,5935,1,Bessemer/Phillips Ave. - Outbound to Woodbriar Ave.,"",0,403600,21554,
