service_id,date,exception_type
47738,20170101,2
47738,20170116,2
47738,20170414,2
47738,20170529,2
47738,20170704,2
47738,20170904,2
47738,20171110,2
47738,20171123,2
47738,20171124,2
47738,20171224,2
47738,20171225,2
47738,20180101,2
47738,20180115,2
47738,20180330,2
47738,20180528,2
47738,20180704,2
47738,20180903,2
47738,20181112,2
47738,20181122,2
47738,20181123,2
47738,20181224,2
47738,20181225,2
47738,20190101,2
47738,20190121,2
47738,20190419,2
47738,20190527,2
47738,20190704,2
47738,20190902,2
47738,20191111,2
47738,20191128,2
47738,20191129,2
47738,20191224,2
47738,20191225,2
47732,20170101,1
47732,20170116,1
47732,20170414,1
47732,20170529,1
47732,20170704,1
47732,20170904,1
47732,20171110,1
47732,20171124,1
47732,20171224,1
47732,20180101,1
47732,20180115,1
47732,20180330,1
47732,20180528,1
47732,20180704,1
47732,20180903,1
47732,20181112,1
47732,20181123,1
47732,20181224,1
47732,20190101,1
47732,20190121,1
47732,20190419,1
47732,20190527,1
47732,20190704,1
47732,20190902,1
47732,20191111,1
47732,20191129,1
47732,20191224,1
47733,20170101,2
47733,20170116,2
47733,20170414,2
47733,20170529,2
47733,20170704,2
47733,20170904,2
47733,20171110,2
47733,20171123,2
47733,20171124,2
47733,20171224,2
47733,20171225,2
47733,20180101,2
47733,20180115,2
47733,20180330,2
47733,20180528,2
47733,20180704,2
47733,20180903,2
47733,20181112,2
47733,20181122,2
47733,20181123,2
47733,20181224,2
47733,20181225,2
47733,20190101,2
47733,20190121,2
47733,20190419,2
47733,20190527,2
47733,20190704,2
47733,20190902,2
47733,20191111,2
47733,20191128,2
47733,20191129,2
47733,20191224,2
47733,20191225,2
47734,20170101,1
47734,20170116,1
47734,20170414,1
47734,20170529,1
47734,20170704,1
47734,20170904,1
47734,20171110,1
47734,20171124,1
47734,20171224,1
47734,20180101,1
47734,20180115,1
47734,20180330,1
47734,20180528,1
47734,20180704,1
47734,20180903,1
47734,20181112,1
47734,20181123,1
47734,20181224,1
47734,20190101,1
47734,20190121,1
47734,20190419,1
47734,20190527,1
47734,20190704,1
47734,20190902,1
47734,20191111,1
47734,20191129,1
47734,20191224,1
47735,20170101,1
47735,20170116,1
47735,20170414,1
47735,20170529,1
47735,20170704,1
47735,20170904,1
47735,20171110,1
47735,20171124,1
47735,20171224,1
47735,20180101,1
47735,20180115,1
47735,20180330,1
47735,20180528,1
47735,20180704,1
47735,20180903,1
47735,20181112,1
47735,20181123,1
47735,20181224,1
47735,20190101,1
47735,20190121,1
47735,20190419,1
47735,20190527,1
47735,20190704,1
47735,20190902,1
47735,20191111,1
47735,20191129,1
47735,20191224,1
47739,20170101,2
47739,20170116,2
47739,20170414,2
47739,20170529,2
47739,20170704,2
47739,20170904,2
47739,20171110,2
47739,20171123,2
47739,20171124,2
47739,20171224,2
47739,20171225,2
47739,20180101,2
47739,20180115,2
47739,20180330,2
47739,20180528,2
47739,20180704,2
47739,20180903,2
47739,20181112,2
47739,20181122,2
47739,20181123,2
47739,20181224,2
47739,20181225,2
47739,20190101,2
47739,20190121,2
47739,20190419,2
47739,20190527,2
47739,20190704,2
47739,20190902,2
47739,20191111,2
47739,20191128,2
47739,20191129,2
47739,20191224,2
47739,20191225,2
47736,20170101,1
47736,20170116,1
47736,20170414,1
47736,20170529,1
47736,20170704,1
47736,20170904,1
47736,20171110,1
47736,20171124,1
47736,20171224,1
47736,20180101,1
47736,20180115,1
47736,20180330,1
47736,20180528,1
47736,20180704,1
47736,20180903,1
47736,20181112,1
47736,20181123,1
47736,20181224,1
47736,20190101,1
47736,20190121,1
47736,20190419,1
47736,20190527,1
47736,20190704,1
47736,20190902,1
47736,20191111,1
47736,20191129,1
47736,20191224,1
47740,20170101,2
47740,20170116,2
47740,20170414,2
47740,20170529,2
47740,20170704,2
47740,20170904,2
47740,20171110,2
47740,20171123,2
47740,20171124,2
47740,20171224,2
47740,20171225,2
47740,20180101,2
47740,20180115,2
47740,20180330,2
47740,20180528,2
47740,20180704,2
47740,20180903,2
47740,20181112,2
47740,20181122,2
47740,20181123,2
47740,20181224,2
47740,20181225,2
47740,20190101,2
47740,20190121,2
47740,20190419,2
47740,20190527,2
47740,20190704,2
47740,20190902,2
47740,20191111,2
47740,20191128,2
47740,20191129,2
47740,20191224,2
47740,20191225,2
47737,20170101,2
47737,20170116,2
47737,20170414,2
47737,20170529,2
47737,20170704,2
47737,20170904,2
47737,20171110,2
47737,20171123,2
47737,20171124,2
47737,20171224,2
47737,20171225,2
47737,20180101,2
47737,20180115,2
47737,20180330,2
47737,20180528,2
47737,20180704,2
47737,20180903,2
47737,20181112,2
47737,20181122,2
47737,20181123,2
47737,20181224,2
47737,20181225,2
47737,20190101,2
47737,20190121,2
47737,20190419,2
47737,20190527,2
47737,20190704,2
47737,20190902,2
47737,20191111,2
47737,20191128,2
47737,20191129,2
47737,20191224,2
47737,20191225,2
47741,20170101,1
47741,20170116,1
47741,20170414,1
47741,20170529,1
47741,20170704,1
47741,20170904,1
47741,20171110,1
47741,20171124,1
47741,20171224,1
47741,20180101,1
47741,20180115,1
47741,20180330,1
47741,20180528,1
47741,20180704,1
47741,20180903,1
47741,20181112,1
47741,20181123,1
47741,20181224,1
47741,20190101,1
47741,20190121,1
47741,20190419,1
47741,20190527,1
47741,20190704,1
47741,20190902,1
47741,20191111,1
47741,20191129,1
47741,20191224,1
