trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,shape_id,wheelchair_accessible,bikes_allowed,block_id,block_name
2563074,27162,47738,,,0,87071 92605,1,1,,
2830994,27162,47738,,,0,87071 92605,1,1,,
2830995,27162,47738,,,0,87071 92605,1,1,,
2830996,27162,47738,,,0,87071 92605,1,1,,
2830997,27162,47738,,,0,87071 92605,1,1,,
2830998,27162,47738,,,0,87071 92605,1,1,,
2830999,27162,47738,,,0,87071 92605,1,1,,
2831000,27162,47738,,,0,87071 92605,1,1,,
2831001,27162,47738,,,0,87071 92605,1,1,,
2831002,27162,47738,,,0,87071 92605,1,1,,
2831003,27162,47738,,,0,87071 92605,1,1,,
2831004,27162,47738,,,0,87071 92605,1,1,,
2831005,27162,47738,,,0,87071 92605,1,1,,
2563075,27162,47732,,,0,87071 92605,1,1,,
2831006,27162,47732,,,0,87071 92605,1,1,,
2831007,27162,47732,,,0,87071 92605,1,1,,
2831008,27162,47732,,,0,87071 92605,1,1,,
2831009,27162,47732,,,0,87071 92605,1,1,,
2831010,27162,47732,,,0,87071 92605,1,1,,
2831011,27162,47732,,,0,87071 92605,1,1,,
2831012,27162,47732,,,0,87071 92605,1,1,,
2831013,27162,47732,,,0,87071 92605,1,1,,
2563066,27163,47733,,,0,87072 92606,1,1,,
2831014,27163,47733,,,0,87072 92606,1,1,,
2831015,27163,47733,,,0,87072 92606,1,1,,
2831016,27163,47733,,,0,87072 92606,1,1,,
2831017,27163,47733,,,0,87072 92606,1,1,,
2831018,27163,47733,,,0,87072 92606,1,1,,
2831019,27163,47733,,,0,87072 92606,1,1,,
2831020,27163,47733,,,0,87072 92606,1,1,,
2831021,27163,47733,,,0,87072 92606,1,1,,
2831022,27163,47733,,,0,87072 92606,1,1,,
2831023,27163,47733,,,0,87072 92606,1,1,,
2831024,27163,47733,,,0,87072 92606,1,1,,
2831025,27163,47733,,,0,87072 92606,1,1,,
2831026,27163,47733,,,0,87072 92606,1,1,,
2563067,27163,47734,,,0,87072 92606,1,1,,
2831027,27163,47734,,,0,87072 92606,1,1,,
2831028,27163,47734,,,0,87072 92606,1,1,,
2831029,27163,47734,,,0,87072 92606,1,1,,
2831030,27163,47734,,,0,87072 92606,1,1,,
2831031,27163,47734,,,0,87072 92606,1,1,,
2831032,27163,47734,,,0,87072 92606,1,1,,
2831033,27163,47734,,,0,87072 92606,1,1,,
2831034,27163,47734,,,0,87072 92606,1,1,,
2831035,27163,47734,,,0,87072 92606,1,1,,
2563069,27164,47735,,,0,87073 92607,1,1,,
2831048,27164,47735,,,0,87073 92607,1,1,,
2831049,27164,47735,,,0,87073 92607,1,1,,
2831050,27164,47735,,,0,87073 92607,1,1,,
2831051,27164,47735,,,0,87073 92607,1,1,,
2831052,27164,47735,,,0,87073 92607,1,1,,
2831053,27164,47735,,,0,87073 92607,1,1,,
2831054,27164,47735,,,0,87073 92607,1,1,,
2831055,27164,47735,,,0,87073 92607,1,1,,
2563068,27164,47739,,,0,87073 92607,1,1,,
2831036,27164,47739,,,0,87073 92607,1,1,,
2831037,27164,47739,,,0,87073 92607,1,1,,
