stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
1234567,,285 2nd Av SW at Greenway Transit Center,,35.7303,-81.341541,,,,,,
10001,,2nd Av SW and 1st St SW,,35.729846,-81.339034,,,,,,
10002,,S Center St and Ridgeview Plaza,,35.728393,-81.3382,,,,,,
10003,,S Center St and 4th Ave SW,,35.726975,-81.338339,,,,,,
10004,,S Center St and 7th Ave SW,,35.723753,-81.338565,,,,,,
10005,,S Center St and 8th Ave SW,,35.722346,-81.338621,,,,,,
10006,,S Center St and 9th Av SE,,35.721108,-81.33863,,,,,,
10007,,S Center St and 11th Ave SW (outbound),,35.718253,-81.338293,,,,,,
10008,,4th St Dr SW - Across from Neigborhood Market,,35.718857,-81.346819,,,,,,
10009,,4th St Dr SW and 4th St SW,,35.720962,-81.345765,,,,,,
10010,,4th St SW and 7th Ave SW,,35.723345,-81.34511,,,,,,
10011,,4th St SW and 4th Ave SW,,35.726214,-81.344623,,,,,,
10012,,4th St SW and 2nd Ave SW,,35.729877,-81.344495,,,,,,
10013,,1st Ave SW and 9th St SW,,35.730996,-81.352311,,,,,,
10014,,1089 Main Av NW,,35.731819,-81.356728,,,,,,
10015,,1178 Main Av NW at W Hickory Baptist Church,,35.73251,-81.35889,,,,,,
10016,,1316 Main Av Dr NW,,35.732293,-81.36193,,,,,,
10017,,80 14th St NW at Westmont Center,,35.733031,-81.361991,,,,,,
10018,,1510 2nd Av NW at Hams Restaurant,,35.735097,-81.364757,,,,,,
10019,,1612 2nd Av NW at Sunhouse Gas,,35.735305,-81.366609,,,,,,
10020,,188 18th St NW at Hilltop Apartments,,35.734837,-81.370962,,,,,,
10021,,170 18th St NW at Hilltop Apartments,,35.734173,-81.371048,,,,,,
10022,,102 18th St NW at intersection of 1st Av NW,,35.732754,-81.371142,,,,,,
10023,,1720 1st Av NW at Apartments,,35.732705,-81.369367,,,,,,
10024,,17th St SW and 2nd Ave SW,,35.728473,-81.368351,,,,,,
10025,,390 17th St SW at W Hickory Senior Center,,35.72704,-81.368457,,,,,,
10026,,1535 7th Av Dr SW at intersection of 15th St SW,,35.724527,-81.365963,,,,,,
10027,,1409 7th Av SW at intersection of 14th St SW,,35.724702,-81.364438,,,,,,
10028,,1701 7th Av SW at intersection of 13th St SW,,35.724579,-81.36288,,,,,,
10029,,1201 7th Av SW at Grandview Elementary,,35.724453,-81.361176,,,,,,
10030,,1151 7th Av SW at Ballfield,,35.724245,-81.358657,,,,,,
10031,,901 7th Av SW at Outlaws Clubhouse,,35.724037,-81.354393,,,,,,
10032,,801 7th Av SW at intersection of 8th St SW,,35.723929,-81.352209,,,,,,
10033,,701 7th Av SW at intersection of 7th St SW,,35.723885,-81.350035,,,,,,
10034,,401 7th St SW at old JEs Honda Dealer,,35.7236,-81.34567,,,,,,
10035,,4th St Dr SW and 4th St SW,,35.720962,-81.345765,,,,,,
10036,,4th St Dr SW at Neighborhood Market,,35.718783,-81.346989,,,,,,
10037,,4th St Dr SW and 4th St Ct SW - Lodge at Hickory,,35.717738,-81.347221,,,,,,
10038,,S Center St and 11th Ave SE (inbound),,35.718481,-81.338215,,,,,,
10039,,S Center St and 9th Ave SE,,35.720751,-81.338478,,,,,,
10040,,S Center St and 8th Ave Dr SE,,35.722437,-81.338441,,,,,,
10041,,S Center St and 7th Ave SE,,35.723403,-81.338464,,,,,,
10042,,S Center St and Hartzell Church,,35.725516,-81.338324,,,,,,
