shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
13-A-OB,35.957649,-80.006742,1,0
13-A-OB,35.958216,-80.007224,2,76.53
13-A-OB,35.958646,-80.006475,3,159.18
13-A-OB,35.960736,-80.008255,4,441.45
13-A-OB,35.962566,-80.009871,5,691.57
13-A-OB,35.964848,-80.01182,6,1000.04
13-A-OB,35.965639,-80.012491,7,1106.73
13-A-OB,35.96811,-80.007866,8,1605.48
13-A-OB,35.968184,-80.007681,9,1624.05
13-A-OB,35.968298,-80.007226,10,1666.91
13-A-OB,35.968274,-80.004955,11,1871.31
13-A-OB,35.968288,-80.003526,12,1999.92
13-A-OB,35.968295,-80.001927,13,2143.83
13-A-OB,35.969436,-80.001829,14,2271.0
13-A-OB,35.969603,-80.001834,15,2289.58
13-A-OB,35.970535,-80.001763,16,2393.41
13-A-OB,35.971973,-80.001741,17,2553.32
13-A-OB,35.975988,-80.001612,18,2999.92
13-A-OB,35.977811,-80.001567,19,3202.67
13-A-OB,35.980591,-80.001373,20,3512.28
13-A-OB,35.981044,-80.001302,21,3563.06
13-A-OB,35.981502,-80.001155,22,3615.67
13-A-OB,35.982159,-80.0009,23,3692.25
13-A-OB,35.98268,-80.000644,24,3754.59
13-A-OB,35.98324,-80.000522,25,3817.82
13-A-OB,35.983564,-80.000479,26,3854.06
13-A-OB,35.984875,-80.000509,27,3999.86
13-A-OB,35.985566,-80.000522,28,4076.7
13-A-OB,35.986047,-80.00051,29,4130.2
13-A-OB,35.987927,-80.000407,30,4339.45
13-A-OB,35.988127,-79.998348,31,4526.03
13-A-OB,35.988177,-79.997607,32,4592.93
13-A-OB,35.988184,-79.994615,33,4862.13
13-A-OB,35.986949,-79.994729,34,4999.84
13-A-OB,35.985755,-79.994844,35,5133.01
13-A-OB,35.9856,-79.991768,36,5410.31
13-A-OB,35.985566,-79.991615,37,5424.58
13-A-OB,35.98551,-79.991458,38,5440.02
13-A-OB,35.985444,-79.991329,39,5453.75
13-A-OB,35.985353,-79.9912,40,5469.15
13-A-OB,35.985246,-79.99109,41,5484.63
13-A-OB,35.985128,-79.991,42,5500.05
13-A-OB,35.984999,-79.990935,43,5515.54
13-A-OB,35.984863,-79.990896,44,5531.06
13-A-OB,35.984709,-79.990884,45,5548.22
13-A-OB,35.98363,-79.990938,46,5668.3
13-A-OB,35.983129,-79.991001,47,5724.29
13-A-OB,35.982827,-79.991111,48,5759.3
13-A-OB,35.982512,-79.991317,49,5798.93
13-A-OB,35.982324,-79.99138,50,5820.59
13-A-OB,35.982155,-79.991409,51,5839.56
13-A-OB,35.981961,-79.991411,52,5861.13
13-A-OB,35.981767,-79.991379,53,5882.9
13-A-OB,35.981302,-79.991202,54,5937.0
13-A-OB,35.981126,-79.991176,55,5956.71
13-A-OB,35.980744,-79.991194,56,5999.22
13-A-OB,35.98074,-79.99119,57,5999.79
13-A-OB,35.97955,-79.99125,58,6132.22
13-A-OB,35.97967,-79.99067,59,6186.09
13-A-OB,35.97976,-79.99028,60,6222.58
13-A-OB,35.97977,-79.9902,61,6229.87
13-A-OB,35.97991,-79.98948,62,6296.5
13-A-OB,35.98006,-79.98872,63,6366.89
13-A-OB,35.98013,-79.98836,64,6400.2
13-A-OB,35.98015,-79.98811,65,6422.81
13-A-OB,35.98015,-79.98774,66,6456.1
13-A-OB,35.98013,-79.98754,67,6474.23
13-A-OB,35.98001,-79.9868,68,6542.14
13-A-OB,35.97988,-79.98602,69,6613.8
13-A-OB,35.9798,-79.9855,70,6661.43
13-A-OB,35.97961,-79.98428,71,6773.22
13-A-OB,35.97959,-79.98403,72,6795.83
13-A-OB,35.97961,-79.98384,73,6813.07
13-A-OB,35.97972,-79.98335,74,6858.82
13-A-OB,35.97998,-79.98218,75,6968.0
13-A-OB,35.98035,-79.98054,76,7121.2
13-A-OB,35.98043,-79.98018,77,7154.79
13-A-IB,35.98043,-79.98018,1,0
13-A-IB,35.97996,-79.98003,2,53.98
13-A-IB,35.97974,-79.97997,3,79.03
13-A-IB,35.97959,-79.97999,4,95.8
13-A-IB,35.97955,-79.98001,5,100.6
13-A-IB,35.97909,-79.98027,6,156.85
13-A-IB,35.97869,-79.9805,7,205.91
13-A-IB,35.978696,-79.980496,8,206.66
13-A-IB,35.977916,-79.980981,9,303.76
13-A-IB,35.977806,-79.981084,10,319.1
13-A-IB,35.977701,-79.981217,11,335.82
13-A-IB,35.977593,-79.981426,12,358.14
13-A-IB,35.976594,-79.983921,13,608.63
13-A-IB,35.976237,-79.984767,14,694.48
13-A-IB,35.975694,-79.985862,15,810.04
13-A-IB,35.974654,-79.98765,16,1008.19
13-A-IB,35.974444,-79.98797,17,1045.26
13-A-IB,35.973943,-79.988637,18,1127.15
13-A-IB,35.973446,-79.989264,19,1206.13
13-A-IB,35.97345,-79.98927,20,1206.83
13-A-IB,35.97197,-79.99116,21,1443.5
13-A-IB,35.97177,-79.99145,22,1477.78
13-A-IB,35.97106,-79.99071,23,1581.07
13-A-IB,35.97079,-79.99043,24,1620.26
13-A-IB,35.9707,-79.99033,25,1633.72
13-A-IB,35.97057,-79.9902,26,1652.32
13-A-IB,35.97055,-79.99018,27,1655.18
13-A-IB,35.97007,-79.98982,28,1717.62
13-A-IB,35.96964,-79.98965,29,1767.82
13-A-IB,35.96958,-79.98965,30,1774.49
13-A-IB,35.96905,-79.98962,31,1833.48
13-A-IB,35.96895,-79.98967,32,1845.48
13-A-IB,35.96879,-79.98971,33,1863.63
13-A-IB,35.9682,-79.98973,34,1929.26
13-A-IB,35.96764,-79.98976,35,1991.59
13-A-IB,35.96747,-79.98977,36,2010.51
13-A-IB,35.96728,-79.98978,37,2031.66
13-A-IB,35.96698,-79.98981,38,2065.13
13-A-IB,35.96632,-79.9899,39,2138.96
13-A-IB,35.96612,-79.98993,40,2161.36
13-A-IB,35.96574,-79.99001,41,2204.23
13-A-IB,35.96387,-79.99058,42,2418.4
13-A-IB,35.96341,-79.99072,43,2471.07
13-A-IB,35.96309,-79.99081,44,2507.57
13-A-IB,35.9626,-79.99097,45,2563.92
13-A-IB,35.96249,-79.99158,46,2620.17
13-A-IB,35.9624,-79.99195,47,2654.94
13-A-IB,35.96233,-79.9922,48,2678.75
13-A-IB,35.9623,-79.99228,49,2686.69
13-A-IB,35.9622,-79.99259,50,2716.72
13-A-IB,35.96198,-79.99317,51,2774.37
13-A-IB,35.96107,-79.99562,52,3016.98
13-A-IB,35.96053,-79.99706,53,3159.82
13-A-IB,35.96046,-79.99732,54,3184.48
13-A-IB,35.96041,-79.99754,55,3205.05
13-A-IB,35.9604,-79.99789,56,3236.57
13-A-IB,35.96044,-79.99844,57,3286.27
13-A-IB,35.96052,-79.9995,58,3382.09
13-A-IB,35.96056,-80.00007,59,3433.58
13-A-IB,35.96061,-80.00097,60,3514.78
13-A-IB,35.96061,-80.00124,61,3539.08
13-A-IB,35.9606,-80.00151,62,3563.41
13-A-IB,35.96057,-80.00178,63,3587.93
13-A-IB,35.96053,-80.00208,64,3615.3
13-A-IB,35.96029,-80.00358,65,3752.92
13-A-IB,35.96027,-80.00388,66,3780.01
13-A-IB,35.96027,-80.0039,67,3781.81
13-A-IB,35.96029,-80.00419,68,3808.01
13-A-IB,35.96033,-80.00462,69,3846.96
13-A-IB,35.96034,-80.00474,70,3857.82
13-A-IB,35.96032,-80.005,71,3881.33
13-A-IB,35.96025,-80.00529,72,3908.56
13-A-IB,35.96016,-80.00553,73,3932.37
13-A-IB,35.96012,-80.00561,74,3940.83
13-A-IB,35.95973,-80.00624,75,4012.22
13-A-IB,35.95938,-80.00684,76,4078.78
13-A-IB,35.95926,-80.007,77,4098.42
13-A-IB,35.95882,-80.00773,78,4180.33
13-A-IB,35.95822,-80.00874,79,4293.1
13-A-IB,35.95802,-80.00856,80,4320.61
13-A-IB,35.958014,-80.008559,81,4321.28
13-A-IB,35.957763,-80.008356,82,4354.64
13-A-IB,35.957535,-80.008245,83,4381.89
13-A-IB,35.956947,-80.008055,84,4449.47
13-A-IB,35.957649,-80.006742,85,4591.11
14-A-IB,35.93403,-80.03928,1,0
14-A-IB,35.9341,-80.039,2,26.38
14-A-IB,35.93415,-80.03885,3,40.99
14-A-IB,35.93421,-80.03874,4,52.93
14-A-IB,35.93427,-80.03864,5,64.14
14-A-IB,35.93434,-80.03853,6,76.73
14-A-IB,35.93455,-80.03835,7,105.16
14-A-IB,35.9348,-80.03825,8,134.38
14-A-IB,35.93491,-80.03824,9,146.64
14-A-IB,35.93503,-80.03825,10,160.01
14-A-IB,35.93514,-80.03828,11,172.54
14-A-IB,35.93525,-80.03835,12,186.3
14-A-IB,35.93529,-80.03838,13,191.5
14-A-IB,35.93527,-80.03837,14,193.9
14-A-IB,35.93535,-80.03844,15,204.8
14-A-IB,35.93541,-80.03852,16,214.62
14-A-IB,35.93546,-80.03865,17,227.58
14-A-IB,35.93549,-80.03882,18,243.24
14-A-IB,35.93551,-80.03898,19,257.82
14-A-IB,35.93551,-80.03899,20,258.72
14-A-IB,35.93549,-80.03911,21,269.75
14-A-IB,35.93547,-80.0392,22,278.15
14-A-IB,35.93542,-80.03943,23,299.59
14-A-IB,35.93534,-80.03965,24,321.31
14-A-IB,35.93527,-80.03984,25,340.1
14-A-IB,35.93521,-80.04002,26,357.63
14-A-IB,35.93517,-80.04019,27,373.57
14-A-IB,35.93517,-80.04022,28,376.27
14-A-IB,35.93516,-80.04041,29,393.41
14-A-IB,35.93515,-80.04061,30,411.45
14-A-IB,35.93417,-80.04069,31,520.66
14-A-IB,35.93387,-80.04072,32,554.13
14-A-IB,35.93334,-80.04075,33,613.12
14-A-IB,35.93317,-80.04077,34,632.11
14-A-IB,35.93213,-80.04085,35,747.98
14-A-IB,35.93145,-80.04091,36,823.78
14-A-IB,35.93124,-80.04094,37,847.29
14-A-IB,35.9307,-80.04099,38,907.5
14-A-IB,35.93058,-80.041,39,920.88
14-A-IB,35.93018,-80.04106,40,965.68
14-A-IB,35.93006,-80.03994,41,1067.4
14-A-IB,35.93005,-80.03977,42,1082.75
14-A-IB,35.93,-80.03929,43,1126.32
14-A-IB,35.92996,-80.03894,44,1158.15
14-A-IB,35.92987,-80.03802,45,1241.59
14-A-IB,35.92985,-80.03768,46,1272.28
14-A-IB,35.92982,-80.03738,47,1299.5
