trip_id,stop_id,stop_sequence,arrival_time,departure_time,timepoint,shape_dist_traveled
Effective_2025-0203-Sa-13-A-OB-1445-00d97bb,33961,1,14:45:00,14:45:00,1,0.0
Effective_2025-0203-Weekday-13-A-OB-0915-10b89be,33961,1,09:15:00,09:15:00,1,0.0
Effective_2025-0203-Weekday-13-A-OB-1415-8c050d7,33961,1,14:15:00,14:15:00,1,0.0
Effective_2025-0203-Weekday-13-A-OB-0615-3d683b7,33961,1,06:15:00,06:15:00,1,0.0
Effective_2025-0203-Weekday-13-A-OB-1215-3478fb8,33961,1,12:15:00,12:15:00,1,0.0
Effective_2025-0203-Weekday-13-A-OB-0815-84653d1,33961,1,08:15:00,08:15:00,1,0.0
Effective_2025-0203-Weekday-13-A-OB-1715-5a53280,33961,1,17:15:00,17:15:00,1,0.0
Effective_2025-0203-Weekday-13-A-OB-1015-5f5f995,33961,1,10:15:00,10:15:00,1,0.0
Effective_2025-0203-Sa-13-A-OB-0945-a558c49,33961,1,09:45:00,09:45:00,1,0.0
Effective_2025-0203-Sa-13-A-OB-1645-22be1ef,33961,1,16:45:00,16:45:00,1,0.0
Effective_2025-0203-Sa-13-A-OB-1545-af6d4ba,33961,1,15:45:00,15:45:00,1,0.0
Effective_2025-0203-Sa-13-A-OB-1045-83b74a3,33961,1,10:45:00,10:45:00,1,0.0
Effective_2025-0203-Weekday-13-A-OB-1515-2d30c29,33961,1,15:15:00,15:15:00,1,0.0
Effective_2025-0203-Weekday-13-A-OB-1615-151b997,33961,1,16:15:00,16:15:00,1,0.0
Effective_2025-0203-Sa-13-A-OB-0845-a85c630,33961,1,08:45:00,08:45:00,1,0.0
Effective_2025-0203-Sa-13-A-OB-1345-dd53a97,33961,1,13:45:00,13:45:00,1,0.0
Effective_2025-0203-Sa-13-A-OB-1145-56a96e3,33961,1,11:45:00,11:45:00,1,0.0
Effective_2025-0203-Sa-13-A-OB-1245-f064852,33961,1,12:45:00,12:45:00,1,0.0
Effective_2025-0203-Weekday-13-A-OB-1115-09684aa,33961,1,11:15:00,11:15:00,1,0.0
Effective_2025-0203-Weekday-13-A-OB-1315-7219134,33961,1,13:15:00,13:15:00,1,0.0
Effective_2025-0203-Weekday-13-A-OB-0715-72e0e7c,33961,1,07:15:00,07:15:00,1,0.0
Effective_2025-0203-Sa-13-A-OB-1445-00d97bb,36379,2,14:46:00,14:46:00,0,391.89
Effective_2025-0203-Weekday-13-A-OB-0915-10b89be,36379,2,09:16:00,09:16:00,0,391.89
Effective_2025-0203-Weekday-13-A-OB-1415-8c050d7,36379,2,14:16:00,14:16:00,0,391.89
Effective_2025-0203-Weekday-13-A-OB-0615-3d683b7,36379,2,06:16:00,06:16:00,0,391.89
Effective_2025-0203-Weekday-13-A-OB-1215-3478fb8,36379,2,12:16:00,12:16:00,0,391.89
Effective_2025-0203-Weekday-13-A-OB-0815-84653d1,36379,2,08:16:00,08:16:00,0,391.89
Effective_2025-0203-Weekday-13-A-OB-1715-5a53280,36379,2,17:16:00,17:16:00,0,391.89
Effective_2025-0203-Sa-13-A-OB-0945-a558c49,36379,2,09:46:00,09:46:00,0,391.89
Effective_2025-0203-Sa-13-A-OB-1645-22be1ef,36379,2,16:46:00,16:46:00,0,391.89
Effective_2025-0203-Sa-13-A-OB-1545-af6d4ba,36379,2,15:46:00,15:46:00,0,391.89
Effective_2025-0203-Weekday-13-A-OB-1015-5f5f995,36379,2,10:16:00,10:16:00,0,391.89
Effective_2025-0203-Sa-13-A-OB-1045-83b74a3,36379,2,10:46:00,10:46:00,0,391.89
Effective_2025-0203-Weekday-13-A-OB-1515-2d30c29,36379,2,15:16:00,15:16:00,0,391.89
Effective_2025-0203-Weekday-13-A-OB-1615-151b997,36379,2,16:16:00,16:16:00,0,391.89
Effective_2025-0203-Sa-13-A-OB-0845-a85c630,36379,2,08:46:00,08:46:00,0,391.89
Effective_2025-0203-Sa-13-A-OB-1345-dd53a97,36379,2,13:46:00,13:46:00,0,391.89
Effective_2025-0203-Sa-13-A-OB-1145-56a96e3,36379,2,11:46:00,11:46:00,0,391.89
Effective_2025-0203-Sa-13-A-OB-1245-f064852,36379,2,12:46:00,12:46:00,0,391.89
Effective_2025-0203-Weekday-13-A-OB-1115-09684aa,36379,2,11:16:00,11:16:00,0,391.89
Effective_2025-0203-Weekday-13-A-OB-1315-7219134,36379,2,13:16:00,13:16:00,0,391.89
