stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_desc,wheelchair_boarding,platform_code,location_type,parent_station,stop_timezone,stop_url,tts_stop_name
36244,,ENGLISH RD / CENTENNIAL ST,35.960542,-80.002169,,,,0,,,,
36353,,MAIN ST / SPRINGFIELD RD,35.931241,-79.988896,,,,0,,,,
36380,,MAIN ST / RICHARDSON AVE,35.961367,-80.008753,,,,0,,,,
36455,,LINDSAY ST / WESTWOOD AVE,35.959985,-80.014466,,,,0,,,,
36200,,E. GREEN ST / WORTH ST,35.953113,-79.981819,,,,0,,,,
36586,,WOODBURY ST / COMMERCE AVE,35.956513,-79.988064,,,,0,,,,
36542,,TOWNSEND ST / BAKER RD,35.937092,-79.968903,,,,0,,,,
34036,,Park & Leonard Ave,35.959022,-79.996927,,,,0,,,,
36572,,WESTCHESTER DR / MEDCENTRAL (IN),35.946356,-80.033755,,,,0,,,,
36514,,PLAZA LN / 2ND DRIVEWAY MARKET ENT.,35.924548,-79.987207,,,,0,,,,
36255,,ENGLISH RD / WEST POINT AVE,35.948036,-80.0195,,,,0,,,,
36223,,DARTMOUTH AVE / ARLINGTON ST,35.972848,-79.984453,,,,0,,,,
34030,,WESTCHESTER COMMONS,35.950222,-80.033353,,,,0,,,,
36818,,ENGLISH ST / 1689 W ENGLISH ST,35.946602,-80.021149,,,,0,,,,
36348,,MAIN ST / COLLEGE DR,35.939196,-79.996688,,,,0,,,,
36501,,PARK ST / COMMERCE AVE,35.956728,-79.997158,,,,0,,,,
36124,,BAKER RD / FAIRFIELD RD,35.924267,-79.972839,,,,0,,,,
36182,,KIVETT DR / HICKORY CHAPEL RD,35.965166,-79.963938,,,,0,,,,
36467,,MEREDITH ST / ONEKA AVE,35.963544,-79.985099,,,,0,,,,
34055,,AMOS ST / VAIL ST,35.944523,-80.01243,,,,0,,,,
36441,,LEXINGTON AVE / MONTIEU AVE,35.98043,-79.980197,,,,0,,,,
36555,,UNDERHILL ST / WASHINGTON DR,35.962551,-79.99364,,,,0,,,,
36417,,LEONARD AVE / COLLEGE DR,35.959142,-79.991373,,,,0,,,,
36499,,PARRIS AVE / HIGH POIN MALL,35.9860498,-80.0181717,,,,0,,,,
36345,,MAIN ST / WARD  (IB),35.943682,-80.002277,,,,0,,,,
36251,,ENGLISH RD / EDGEWORTH ST,35.95388,-80.016206,,,,0,,,,
36422,,LEONARD AVE / 1215 LEONARD AVE,35.959133,-79.989913,,,,0,,,,
36850,,MAIN ST / PARRIS AVE,35.9844843,-80.0238577,,,,0,,,,
36267,,EVANS ST / FURLOUGH AVE,35.957403,-79.989865,,,,0,,,,
36819,,ENGLISH RD / WEST POINT AVE (IN),35.947911,-80.019512,,,,0,,,,
36375,,MAIN ST / GTCC PL,35.94764,-80.003663,,,,0,,,,
36534,,TAYLOR AVE / FAIRVIEW ST,35.948421,-80.006713,,,,0,,,,
36176,,KIVETT DR / CENTENNIAL ST,35.960394,-80.002061,,,,0,,,,
36266,,ENGLISH RD / SOUTH RD,35.930213,-80.041011,,,,0,,,,
36354,,MAIN ST / FRALEY RD,35.928551,-79.988021,,,,0,,,,
36316,,MAIN ST / LEXINGTON AVE (OB),35.9727952,-80.0170993,,,,0,,,,
36523,,PROSPECT ST / CHASE AVE,35.93287,-80.023245,,,,0,,,,
36288,,GREEN DR / GRIMES AVE,35.95099,-80.01334,,,,0,,,,
36293,,GREEN DR / WILLIS AVE,35.941615,-80.014251,,,,0,,,,
36177,,KIVETT DR / ROSEWOOD APTS,35.966328,-79.980111,,,,0,,,,
36825,,NORTHPOINT AVE / KIRKWOOD ST,35.987978,-80.022195,,,,0,,,,
36203,,E. GREEN ST / HINES ST,35.953465,-79.986744,,,,0,,,,
36759,,MAIN ST / WARD AVE (OB),35.943753,-80.002512,,,,0,,,,
36172,,CHESTNUT DR / SPRUCE ST,35.956211,-80.02601,,,,0,,,,
36116,,ASHBURN ST / BOUNDARY AVE,35.969043,-79.988269,,,,0,,,,
36314,,MAIN ST / LEXINGTON AVE (IB),35.9732649,-80.0177594,,,,0,,,,
36382,,MAIN ST / RAY AVE,35.964463,-80.011443,,,,0,,,,
36324,,MAIN ST / DAYTON AVE (OB),35.978366,-80.020432,,,,0,,,,
36525,,PROSPECT ST / ELLIOT ST,35.935755,-80.023181,,,,0,,,,
825244,,MALL LN / LIBERTY STEAKHOUSE,35.9884819,-80.0045064,,,,0,,,,
36342,,MAIN ST / GTCC PL,35.947739,-80.003596,,,,0,,,,
36526,,PROSPECT ST / LINCOLN DR,35.936942,-80.0232,,,,0,,,,
36332,,MAIN ST / OXFORD PL,35.986604,-80.025349,,,,0,,,,
36580,,WILLIS AVE / CASSELL ST,35.942567,-80.009024,,,,0,,,,
36461,,MCGUINN DR / ANDREWS HIGH SCHOOL,35.985481,-79.991494,,,,0,,,,
36804,,SOUTH RD / VICKERS AV (OB),35.935847,-80.040616,,,,0,,,,
36330,,MAIN ST / W. PEACHTREE DR,35.991097,-80.028588,,,,0,,,,
36419,,LEONARD AVE / MEREDITH ST,35.958869,-79.985322,,,,0,,,,
34060,,GREENSBORO RD / MCDONALDS,35.981059,-79.978204,,,,0,,,,
36584,,WISE AVE / SHARON ST,35.948467,-79.996393,,,,0,,,,
36458,,MARKET CENTER DR / CONNER PL,35.932288,-80.012567,,,,0,,,,
36463,,MCGUINN DR / BRAGG AVE,35.981364,-79.991295,,,,0,,,,
822221,,HARTLEY DR / 1400 E HARTLEY DR,35.9900497,-80.0099945,,,,0,,,,
36480,,OLD WINSTON RD / WILLIFORD CT,35.989376,-80.024911,,,,0,,,,
858971,,CENTENNIAL ST / KIRKMAN PARK ELEMENTARY,35.9737605,-80.0019157,,,,0,,,,
36423,,HOOVER AVE / WOODBURY ST,35.960379,-79.987727,,,,0,,,,
36235,,ELM ST / CHURCH AVE (IB),35.959682,-80.010081,,,,0,,,,
36443,,LEXINGTON AVE / WAVERLY ST,35.979798,-79.985537,,,,0,,,,
36149,,CEDROW ST / FAIRMONT ST,35.973738,-79.98201,,,,0,,,,
36791,,CHESTNUT RD / MEADOW PL (OUT),35.955932,-80.015328,,,,0,,,,
36249,,ENGLISH RD / CHESTNUT DR,35.9551,-80.014178,,,,0,,,,
36205,,E. GREEN ST / PERSHING ST,35.95368,-79.990194,,,,0,,,,
36338,,MAIN ST / PARKWAY AVE (IB),35.967567,-80.014175,,,,0,,,,
36579,,WESTWOOD AVE / ELM ST (IB-HOSPITAL),35.961498,-80.011642,,,,0,,,,
36490,,WASHINGTON DR / DOWNING ST,35.962765,-79.992742,,,,0,,,,
36438,,LAKE AVE / PARK ST,35.946057,-79.997829,,,,0,,,,
36222,,DARTMOUTH AVE / ANAHEIM ST,35.972564,-79.977102,,,,0,,,,
36185,,KIVETT DR / LAWNDALE APTS,35.964489,-79.956133,,,,0,,,,
36810,,SOUTH RD / CARSTEN ST,35.931284,-80.040975,,,,0,,,,
36544,,TRIANGLE LAKE RD / BAKER RD,35.953544,-79.956803,,,,0,,,,
36367,,MAIN ST / NATHAN HUNT DR,35.937943,-79.995182,,,,0,,,,
36202,,E. GREEN ST / HILL ST,35.953304,-79.984574,,,,0,,,,
36434,,KEARNS AVE / PARK ST,35.943556,-79.997714,,,,0,,,,
858970,,LEXINGTON AV / CAROLINA ST,35.9800552,-79.9866647,,,,0,,,,
786957,,DOROTHY ST / BURTON AV,35.9391675,-80.0431694,,,,0,,,,
36184,,KIVETT DR / GRAND ST,35.964745,-79.958837,,,,0,,,,
36198,,E. GREEN ST / CONCEPT PLASTICS,35.955161,-79.970159,,,,0,,,,
34027,,West Green & Vail IB,35.944347,-80.014053,,,,0,,,,
36231,,DAVIS AVE / UNDERHILL ST,35.967378,-79.993897,,,,0,,,,
786993,,ENGLISH RD / HAMILTON ST,35.9604574,-80.0046623,,,,0,,,,
36336,,MAIN ST / FARRISS AVE (OB),35.969882,-80.015556,,,,0,,,,
36494,,WASHINGTON DR / 745 WASHINGTON DR,35.961043,-79.998185,,,,0,,,,
786959,,ANNMOORE CI / SOUTH RD 1,35.9339794,-80.0392726,,,,0,,,,
36276,,FERN AVE / 1909 FERN AVE,35.959586,-79.980402,,,,0,,,,
36479,,OAKVIEW RD / JACKLYN CT,35.999432,-80.020036,,,,0,,,,
858961,,MAIN ST / ADVANCE AUTO,35.9925965,-79.942281,,,,0,,,,
36212,,CLIFFSIDE AVE / MARTIN ST,35.943242,-80.010354,,,,0,,,,
36126,,BEAUCREST AVE / CENTENNIAL ST,35.987922,-80.000356,,,,0,,,,
36141,,BROCKET AVE / GORDON ST,35.96769,-79.982008,,,,0,,,,
36426,,JAMES RD / CHANDLER PLACE CONDOS,35.994841,-80.014845,,,,0,,,,
36457,,MARKET CENTER DR / GREEN DR,35.931409,-80.015522,,,,0,,,,
36344,,MAIN ST / VAIL AVE,35.945612,-80.00311,,,,0,,,,
36547,,TRIANGLE LAKE RD / SALES ST,35.954908,-79.964902,,,,0,,,,
36209,,E. GREEN ST / PARK ST,35.954183,-79.997278,,,,0,,,,
858958,,GREENSBORO RD / RING ST,35.9872522,-79.9671382,,,,0,,,,
36358,,MAIN ST / ARCHDALE RD,35.921963,-79.979398,,,,0,,,,
36340,,MAIN ST / GRIMES AVE,35.949945,-80.004036,,,,0,,,,
36368,,MAIN ST / COLLEGE DR,35.939167,-79.996745,,,,0,,,,
36717,,E GREEN / COURTHOUSE,35.954284,-79.998788,,,,0,,,,
33963,,LINDSAY ST & QUAKER LN (OB),35.961201,-80.015156,,,,0,,,,
36364,,MAIN ST / SPRINGFIELD RD,35.931255,-79.988977,,,,0,,,,
36371,,MAIN ST / KEARNS AVE,35.942549,-80.001019,,,,0,,,,
