shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
" 121775",35.36962,-83.24928,0
" 121775",35.36968,-83.24912,1
" 121775",35.37008,-83.24928,2
" 121775",35.37016,-83.24877,3
" 121775",35.3702,-83.24855,4
" 121775",35.37023,-83.24836,5
" 121775",35.37027,-83.24818,6
" 121775",35.3703,-83.24804,7
" 121775",35.37035,-83.2478,8
" 121775",35.37045,-83.24742,9
" 121775",35.37052,-83.24717,10
" 121775",35.3706,-83.24688,11
" 121775",35.37068,-83.24658,12
" 121775",35.37081,-83.2461,13
" 121775",35.37134,-83.24411,14
" 121775",35.37167,-83.24288,15
" 121775",35.37178,-83.2425,16
" 121775",35.37183,-83.2423,17
" 121775",35.3719,-83.24206,18
" 121775",35.37197,-83.24178,19
" 121775",35.37206,-83.24182,20
" 121775",35.37207,-83.24182,21
" 121775",35.37221,-83.24187,22
" 121775",35.37207,-83.24182,23
" 121775",35.37206,-83.24182,24
" 121775",35.37213,-83.24163,25
" 121775",35.37219,-83.24144,26
" 121775",35.37222,-83.24129,27
" 121775",35.37211,-83.24125,28
" 121775",35.37164,-83.2411,29
" 121775",35.37145,-83.24105,30
" 121775",35.37092,-83.24087,31
" 121775",35.37052,-83.2407,32
" 121775",35.37045,-83.24077,33
" 121775",35.37052,-83.2407,34
" 121775",35.37022,-83.24054,35
" 121775",35.37015,-83.24048,36
" 121775",35.37007,-83.24042,37
" 121775",35.37004,-83.24034,38
" 121775",35.36999,-83.24024,39
" 121775",35.36994,-83.23988,40
" 121775",35.36988,-83.23978,41
" 121775",35.36984,-83.23972,42
" 121775",35.36979,-83.2397,43
" 121775",35.36977,-83.23969,44
" 121775",35.36968,-83.2397,45
" 121775",35.36959,-83.23973,46
" 121775",35.36946,-83.23983,47
" 121775",35.36939,-83.23987,48
" 121775",35.36931,-83.23992,49
" 121775",35.36923,-83.23993,50
" 121775",35.36914,-83.23993,51
" 121775",35.36906,-83.23992,52
" 121775",35.36898,-83.2399,53
" 121775",35.36892,-83.23988,54
" 121775",35.36886,-83.23983,55
" 121775",35.36882,-83.23978,56
" 121775",35.36876,-83.23969,57
" 121775",35.36866,-83.23934,58
