trip_id,arrival_time,departure_time,stop_id,stop_sequence,timepoint
3604489,07:00:00,07:00:00,1,0,1
3604489,07:01:00,07:01:00,2,1,1
3604489,07:06:00,07:06:00,5,2,1
3604489,07:10:00,07:10:00,6,3,1
3604489,07:20:00,07:20:00,6b,4,1
3604489,07:21:00,07:21:00,7,5,1
3604489,07:26:00,07:26:00,8,6,1
3604489,07:35:00,07:35:00,9,7,1
3604489,07:40:00,07:40:00,10,8,1
3604489,07:42:00,07:42:00,12,9,1
8338968,08:00:00,08:00:00,1,0,1
8338968,08:01:00,08:01:00,2,1,1
8338968,08:06:00,08:06:00,5,2,1
8338968,08:10:00,08:10:00,6,3,1
8338968,08:20:00,08:20:00,6b,4,1
8338968,08:21:00,08:21:00,7,5,1
8338968,08:26:00,08:26:00,8,6,1
8338968,08:35:00,08:35:00,9,7,1
8338968,08:40:00,08:40:00,10,8,1
8338968,08:42:00,08:42:00,12,9,1
8338969,09:00:00,09:00:00,1,0,1
8338969,09:01:00,09:01:00,2,1,1
8338969,09:06:00,09:06:00,5,2,1
8338969,09:10:00,09:10:00,6,3,1
8338969,09:20:00,09:20:00,6b,4,1
8338969,09:21:00,09:21:00,7,5,1
8338969,09:26:00,09:26:00,8,6,1
8338969,09:35:00,09:35:00,9,7,1
8338969,09:40:00,09:40:00,10,8,1
8338969,09:42:00,09:42:00,12,9,1
8338970,10:00:00,10:00:00,1,0,1
8338970,10:01:00,10:01:00,2,1,1
8338970,10:06:00,10:06:00,5,2,1
8338970,10:10:00,10:10:00,6,3,1
8338970,10:20:00,10:20:00,6b,4,1
8338970,10:21:00,10:21:00,7,5,1
8338970,10:26:00,10:26:00,8,6,1
8338970,10:35:00,10:35:00,9,7,1
8338970,10:40:00,10:40:00,10,8,1
8338970,10:42:00,10:42:00,12,9,1
8338971,11:00:00,11:00:00,1,0,1
8338971,11:01:00,11:01:00,2,1,1
8338971,11:06:00,11:06:00,5,2,1
8338971,11:10:00,11:10:00,6,3,1
8338971,11:20:00,11:20:00,6b,4,1
8338971,11:21:00,11:21:00,7,5,1
8338971,11:26:00,11:26:00,8,6,1
8338971,11:35:00,11:35:00,9,7,1
8338971,11:40:00,11:40:00,10,8,1
8338971,11:42:00,11:42:00,12,9,1
8338972,12:00:00,12:00:00,1,0,1
8338972,12:01:00,12:01:00,2,1,1
8338972,12:06:00,12:06:00,5,2,1
8338972,12:10:00,12:10:00,6,3,1
8338972,12:20:00,12:20:00,6b,4,1
8338972,12:21:00,12:21:00,7,5,1
8338972,12:26:00,12:26:00,8,6,1
8338972,12:35:00,12:35:00,9,7,1
8338972,12:40:00,12:40:00,10,8,1
8338972,12:42:00,12:42:00,12,9,1
8338973,13:00:00,13:00:00,1,0,1
8338973,13:01:00,13:01:00,2,1,1
8338973,13:06:00,13:06:00,5,2,1
8338973,13:10:00,13:10:00,6,3,1
8338973,13:20:00,13:20:00,6b,4,1
8338973,13:21:00,13:21:00,7,5,1
8338973,13:26:00,13:26:00,8,6,1
8338973,13:35:00,13:35:00,9,7,1
8338973,13:40:00,13:40:00,10,8,1
8338973,13:42:00,13:42:00,12,9,1
8338974,14:00:00,14:00:00,1,0,1
8338974,14:01:00,14:01:00,2,1,1
8338974,14:06:00,14:06:00,5,2,1
8338974,14:10:00,14:10:00,6,3,1
8338974,14:20:00,14:20:00,6b,4,1
8338974,14:21:00,14:21:00,7,5,1
8338974,14:26:00,14:26:00,8,6,1
8338974,14:35:00,14:35:00,9,7,1
8338974,14:40:00,14:40:00,10,8,1
8338974,14:42:00,14:42:00,12,9,1
8338975,15:00:00,15:00:00,1,0,1
8338975,15:01:00,15:01:00,2,1,1
8338975,15:06:00,15:06:00,5,2,1
8338975,15:10:00,15:10:00,6,3,1
8338975,15:20:00,15:20:00,6b,4,1
8338975,15:21:00,15:21:00,7,5,1
8338975,15:26:00,15:26:00,8,6,1
8338975,15:35:00,15:35:00,9,7,1
8338975,15:40:00,15:40:00,10,8,1
8338975,15:42:00,15:42:00,12,9,1
8338976,16:00:00,16:00:00,1,0,1
8338976,16:01:00,16:01:00,2,1,1
8338976,16:06:00,16:06:00,5,2,1
8338976,16:10:00,16:10:00,6,3,1
8338976,16:20:00,16:20:00,6b,4,1
8338976,16:21:00,16:21:00,7,5,1
8338976,16:26:00,16:26:00,8,6,1
8338976,16:35:00,16:35:00,9,7,1
8338976,16:40:00,16:40:00,10,8,1
8338976,16:42:00,16:42:00,12,9,1
