trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,shape_id,wheelchair_accessible,bikes_allowed,block_id,block_name
3604489,34311,69710,Southwestern Community College ,,0," 121775",1,,,
8338968,34311,69710,Southwestern Community College ,,0," 121775",1,,,
8338969,34311,69710,Southwestern Community College ,,0," 121775",1,,,
8338970,34311,69710,Southwestern Community College ,,0," 121775",1,,,
8338971,34311,69710,Southwestern Community College ,,0," 121775",1,,,
8338972,34311,69710,Southwestern Community College ,,0," 121775",1,,,
8338973,34311,69710,Southwestern Community College ,,0," 121775",1,,,
8338974,34311,69710,Southwestern Community College ,,0," 121775",1,,,
8338975,34311,69710,Southwestern Community College ,,0," 121775",1,,,
8338976,34311,69710,Southwestern Community College ,,0," 121775",1,,,
