trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,timepoint
866825,05:55:00,05:55:00,161546,1,,,,1
866825,,,161547,2,,,,0
866825,,,161548,3,,,,0
866825,,,145436,4,,,,0
866825,06:05:00,06:05:00,145467,5,,,,1
866825,,,145436,6,,,,0
866825,,,145435,7,,,,0
866825,,,145417,8,,,,0
866825,,,145437,9,,,,0
866825,,,145342,10,,,,0
866825,,,145344,11,,,,0
866825,,,145352,12,,,,0
866825,06:10:00,06:10:00,145414,13,,,,1
866825,,,145372,14,,,,0
866825,,,145375,15,,,,0
866825,,,145468,16,,,,0
866825,,,145419,17,,,,0
866825,,,145421,18,,,,0
866825,,,145422,19,,,,0
866825,,,145425,20,,,,0
866825,,,145379,21,,,,0
866825,,,145380,22,,,,0
866825,,,145382,23,,,,0
866825,,,145349,24,,,,0
866825,06:21:00,06:21:00,145427,25,,,,1
866825,,,145328,26,,,,0
866825,,,145329,27,,,,0
866825,,,145385,28,,,,0
866825,,,145386,29,,,,0
866825,,,145391,30,,,,0
866825,,,145392,31,,,,0
866825,,,145386,32,,,,0
866825,,,145388,33,,,,0
866825,,,162505,34,,,,0
866825,,,145396,35,,,,0
866825,,,145393,36,,,,0
866825,,,180075,37,,,,0
866825,,,145347,38,,,,0
866825,,,145412,39,,,,0
866825,06:45:00,06:45:00,145434,40,,,,1
866825,,,145407,41,,,,0
866825,,,145405,42,,,,0
866825,,,145406,43,,,,0
866825,,,145404,44,,,,0
866825,06:47:00,06:47:00,145463,45,,,,1
866825,,,170118,46,,,,0
866825,06:54:00,06:54:00,145415,47,,,,1
866826,06:55:00,06:55:00,161546,1,,,,1
866826,,,161547,2,,,,0
866826,,,161548,3,,,,0
866826,,,145436,4,,,,0
866826,07:05:00,07:05:00,145467,5,,,,1
866826,,,145436,6,,,,0
866826,,,145435,7,,,,0
866826,,,145417,8,,,,0
866826,,,145437,9,,,,0
866826,,,145342,10,,,,0
866826,,,145344,11,,,,0
866826,,,145352,12,,,,0
866826,07:10:00,07:10:00,145414,13,,,,1
866826,,,145372,14,,,,0
866826,,,145375,15,,,,0
866826,,,145468,16,,,,0
866826,,,145419,17,,,,0
866826,,,145421,18,,,,0
866826,,,145422,19,,,,0
866826,,,145425,20,,,,0
866826,,,145379,21,,,,0
866826,,,145380,22,,,,0
866826,,,145382,23,,,,0
866826,,,145349,24,,,,0
866826,07:21:00,07:21:00,145427,25,,,,1
866826,,,145328,26,,,,0
866826,,,145329,27,,,,0
866826,,,145385,28,,,,0
866826,,,145386,29,,,,0
866826,,,145391,30,,,,0
866826,,,145392,31,,,,0
866826,,,145386,32,,,,0
866826,,,145388,33,,,,0
866826,,,162505,34,,,,0
866826,,,145396,35,,,,0
866826,,,145393,36,,,,0
866826,,,180075,37,,,,0
866826,,,145347,38,,,,0
866826,,,145412,39,,,,0
866826,07:45:00,07:45:00,145434,40,,,,1
866826,,,145407,41,,,,0
866826,,,145405,42,,,,0
866826,,,145406,43,,,,0
866826,,,145404,44,,,,0
866826,07:47:00,07:47:00,145463,45,,,,1
866826,,,170118,46,,,,0
866826,07:54:00,07:54:00,145415,47,,,,1
866827,07:55:00,07:55:00,161546,1,,,,1
866827,,,161547,2,,,,0
866827,,,161548,3,,,,0
866827,,,145436,4,,,,0
866827,08:05:00,08:05:00,145467,5,,,,1
866827,,,145436,6,,,,0
866827,,,145435,7,,,,0
866827,,,145417,8,,,,0
866827,,,145437,9,,,,0
866827,,,145342,10,,,,0
866827,,,145344,11,,,,0
866827,,,145352,12,,,,0
866827,08:10:00,08:10:00,145414,13,,,,1
866827,,,145372,14,,,,0
866827,,,145375,15,,,,0
866827,,,145468,16,,,,0
866827,,,145419,17,,,,0
866827,,,145421,18,,,,0
866827,,,145422,19,,,,0
866827,,,145425,20,,,,0
866827,,,145379,21,,,,0
866827,,,145380,22,,,,0
866827,,,145382,23,,,,0
866827,,,145349,24,,,,0
866827,08:21:00,08:21:00,145427,25,,,,1
866827,,,145328,26,,,,0
866827,,,145329,27,,,,0
866827,,,145385,28,,,,0
866827,,,145386,29,,,,0
