stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,stop_timezone,wheelchair_boarding,platform_code
145310,BEL0388,Bell Fork Rd. @ Armstrong Dr. East,,34.75558883,-77.39612817,,0,,0,
145309,BEL0385,Bell Fork Rd. @ Armstrong Dr. West,,34.7561115,-77.39607067,,0,,0,
145311,BEL0500,Bell Fork Rd. @ Bell Fork Elementary School East,,34.75377117,-77.39287783,,0,,0,
154321,BEL0233,Bell Fork Rd. @ Country Club Rd.,,34.7620295,-77.40040283,,0,,0,
154322,COL0604,Bell Fork Rd. @ Country Club Rd. (East),,34.7488585,-77.42577583,,0,,0,
145308,BEL0233,Bell Fork Rd. @ Country Club Rd. West,,34.7620295,-77.40040283,,0,,0,
145314,BEL0724,Bell Fork Rd. @ Daily News East,,34.74975833,-77.387555,,0,,0,
145307,BEL0230,Bell Fork Rd. @ Hargett St. East,,34.762431,-77.40110617,,0,,0,
145312,BEL0550,Bell Fork Rd. @ Salvation Army West,,34.7535315,-77.39132733,,0,,0,
145313,BEL0703,Bell Fork Rd. @ The Foundry West,,34.75149517,-77.38777617,,0,,0,
146044,MCX1231,"Birch St. @ Main Exchange, Camp Lejeune",,34.67457,-77.339954167,,0,,0,
146045,WCG1001,Birch St. @ Wallace Creek Fitness Center,,34.677499334,-77.344778833,,0,,0,
145320,BRB2001,Brabham Ave. @ Aldi West,,34.79894289,-77.41270089,,0,,0,
145318,BRB1001,Brabham Ave. @ First Bank West,,34.79779883,-77.41105533,,0,,0,
145319,BRB2000,Brabham Ave. @ Novant Health East,,34.798901,-77.41251517,,0,,0,
145315,BRB0900,Brabham Ave. @ Publix East,,34.79577067,-77.40861767,,0,,0,
145316,BRB0901,Brabham Ave. @ Publix West,,34.79572833,-77.40870667,,0,,0,
145317,BRB1000,Brabham Ave. @ Wilmington Health East,,34.79791017,-77.41102583,,0,,0,
145322,BRD0115,Broadhurst @ D&S Towing/Repair West,,34.749443,-77.4511155,,0,,0,
145321,BRD0110,Broadhurst @ NC License Plate Agency East,,34.7498925,-77.45161467,,0,,0,
145324,BRD0200,Broadhurst @ Onslow County Schools East,,34.74761417,-77.44871883,,0,,0,
145323,BRD0153,Broadhurst @ Onslow County Schools West,,34.74768417,-77.448643,,0,,0,
145326,BRM0221,Brynn Marr Rd. @ Excel Body Works West,,34.74898967,-77.381887,,0,,0,
145325,BRM0154,Brynn Marr Rd. @ Montford Pt. Marine Assoc. East,,34.74877517,-77.38305883,,0,,0,
145329,CAR0300,Carmen Ave. @ Henderson Dr. East,,34.77939983,-77.4253125,,0,,0,
145330,CAR0301,Carmen Ave. @ Henderson Dr. West,,34.7792895,-77.425443,,0,,0,
145328,CAR0248,Carmen Ave. @ Plaza Dr. East,,34.77968267,-77.42195267,,0,,0,
145327,CAR0247,Carmen Ave. @ Plaza Dr. West,,34.7795705,-77.42193483,,0,,0,
155213,CPA0100,Carolina Park Ave @ Neighborhood Walmart,,34.802328,-77.41642383,,0,,0,
145346,CTR0115,Center St. @ Burger King West,,34.74471717,-77.37981567,,0,,0,
145306,ANN0502,College St. @ Anne St. West,,34.7503245,-77.43297417,,0,,0,
154323,COL0621,College St. @ Health Dept. (West),,34.74910983,-77.42650333,,0,,0,
145344,COL0604,College St. @ Health Dept. East,,34.7488585,-77.42577583,,0,,0,
145345,COL0621,College St. @ Health Dept. West,,34.74910983,-77.42650333,,0,,0,
145341,COL0421,College St. @ Railroad St. West,,34.74979267,-77.43013517,,0,,0,
145342,COL0440,College St. @ Thompson ECC East,,34.7493555,-77.42850433,,0,,0,
145343,COL0451,College St. @ Thompson ECC West,,34.7495195,-77.42856983,,0,,0,
170117,COM2715,Commerce Rd. @ Coastal Enterprise,,34.7811683,-77.3842841,,0,,0,
170118,COM2734,Commerce Rd. @ EJ Hines,,34.7815037,-77.3836172,,0,,0,
145331,CCD0092,Commerce Rd. @ Piney Green Rd. West,,34.78578,-77.37617717,,0,,0,
145332,CCR0113,Country Club @ Bell Fork Rd. West,,34.76217917,-77.3997195,,0,,0,
191223,CCR1650,Country Club @ Jacksonville Mall,,34.7675179,-77.3816955,,0,,0,
145337,CCR0961,Country Club Rd. @ Arnold Rd. East,,34.76921133,-77.39019217,,0,,0,
145336,CCR0913,Country Club Rd. @ Arnold Rd. West,,34.76930983,-77.39009967,,0,,0,
145339,CCR1213,Country Club Rd. @ BioTest Ctr. West,,34.76795283,-77.3864755,,0,,0,
145334,CCR0840,Country Club Rd. @ Commerce Rd. West,,34.7694685,-77.39383233,,0,,0,
145333,CCR0120,Country Club Rd. @ Deliverance Temple East,,34.76298933,-77.399244,,0,,0,
145340,CCR1649,Country Club Rd. @ Villa Dr. West,,34.767716,-77.3818215,,0,,0,
145338,CCR1200,Country Club Rd. across from BioTest Ctr. East,,34.76793083,-77.3870865,,0,,0,
145335,CCR0841,Country Club Rd. across from Commerce Rd. East,,34.7693585,-77.393753,,0,,0,
161546,BCS0350,Crestfield Point Apt Blue Creek School Rd.,,34.747851,-77.47233933,,0,,0,
145347,DEN0900,Dennis Rd. @ One Place East,,34.7995715,-77.41948233,,0,,0,
145348,DEN0901,Dennis Rd. @ One Place West,,34.7995925,-77.41960167,,0,,0,
145351,DRD0375,Doctors Drive @ Jacksonville Mall East,,34.7629025,-77.3804385,,0,,0,
145352,EBA0206,E. Bayshore Blvd. @ New Bridge St. East,,34.7492455,-77.42205317,,0,,0,
145349,DOR0201,E. Doris Ave. @ Davis St. East,,34.77673567,-77.4249435,,0,,0,
145350,DOR0202,E. Doris Ave. @ Davis St. West,,34.77686817,-77.42497167,,0,,0,
145353,FRE0209,Freedom Way @ Piney Green Shopping Center West,,34.717100604,-77.320563775,,0,,0,
145371,GWS1408,Gateway Dr. S. @ Marine Chevrolet East,,34.78879,-77.4018265,,0,,0,
145370,GWS1370,Gateway Dr. S. @ Western Blvd. West,,34.788586,-77.401786,,0,,0,
145368,GEO0107,Georgetown @ Sanders Garage East,,34.75117067,-77.44631483,,0,,0,
145369,GEO0110,Georgetown @ Sanders Garage West,,34.75057283,-77.446612,,0,,0,
145358,GBR1202,Gum Branch Rd. @ Branchwood Dr. West,,34.77949933,-77.41635383,,0,,0,
145357,GBR0916,Gum Branch Rd. @ Canterbury Apartments,,34.77461433,-77.4104785,,0,,0,
145359,GBR1207,Gum Branch Rd. @ Ducks East,,34.78007367,-77.41733433,,0,,0,
