route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
5082,60896.162090,866825,,,,30434,60896,0,0
5082,60896.162090,866826,,,,18445,60896,0,0
5082,60896.162090,866827,,,,30434,60896,0,0
5082,60896.162090,866828,,,,18445,60896,0,0
5082,60896.162090,866829,,,,30434,60896,0,0
5082,60896.162090,866830,,,,18445,60896,0,0
5082,60896.162090,866831,,,,30434,60896,0,0
5082,60896.162090,866832,,,,18445,60896,0,0
5082,60896.162090,866833,,,,30434,60896,0,0
5082,60896.162090,866834,,,,18445,60896,0,0
5082,60896.162090,866835,,,,30434,60896,0,0
5082,60896.162090,866836,,,,18445,60896,0,0
5082,60896.162090,866837,,,,30434,60896,0,0
5082,60896.162090,866838,,,,18445,60896,0,0
5082,60896.162091,866839,,,,19339,60896,0,0
5082,60896.162091,866840,,,,19340,60896,0,0
5082,60896.162091,866841,,,,19339,60896,0,0
5082,60896.162091,866842,,,,19340,60896,0,0
5082,60896.162091,866843,,,,19339,60896,0,0
5082,60896.162091,866844,,,,19340,60896,0,0
5082,60896.162091,866845,,,,19339,60896,0,0
5082,60896.162091,866846,,,,19340,60896,0,0
5082,60896.162091,866847,,,,19339,60896,0,0
5082,60896.162091,866848,,,,19340,60896,0,0
5082,60896.162090,866849,,,,18445,60897,0,0
5082,60896.162090,866850,,,,30434,60897,0,0
5082,60896.162090,866851,,,,18445,60897,0,0
5082,60896.162090,866852,,,,30434,60897,0,0
5082,60896.162090,866853,,,,18445,60897,0,0
5082,60896.162090,866855,,,,18445,60897,0,0
5082,60896.162090,866857,,,,18445,60897,0,0
5082,60896.162090,866858,,,,30434,60897,0,0
5082,60896.162090,866859,,,,18445,60897,0,0
5082,60896.162090,866860,,,,30434,60897,0,0
5082,60896.162090,866861,,,,18445,60897,0,0
5082,60896.162090,866862,,,,30434,60897,0,0
5082,60896.162091,866863,,,,19340,60897,0,0
5082,60896.162091,866864,,,,30434,60897,0,0
5082,60896.162091,866865,,,,19340,60897,0,0
5082,60896.162091,866866,,,,30434,60897,0,0
5082,60896.162091,866867,,,,19340,60897,0,0
5082,60896.162091,866868,,,,19339,60897,0,0
5082,60896.162091,866869,,,,19340,60897,0,0
5082,60896.162091,866870,,,,19339,60897,0,0
5082,60896.162091,866871,,,,19340,60897,0,0
