shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
" 122687",36.33851,-78.4111,0
" 122687",36.3386,-78.41043,1
" 122687",36.33855,-78.4104,2
" 122687",36.33845,-78.41034,3
" 122687",36.33838,-78.41031,4
" 122687",36.33832,-78.4103,5
" 122687",36.33828,-78.4103,6
" 122687",36.33822,-78.41028,7
" 122687",36.33816,-78.41034,8
" 122687",36.33814,-78.41039,9
" 122687",36.33812,-78.41045,10
" 122687",36.33812,-78.41046,11
" 122687",36.33772,-78.41006,12
" 122687",36.33765,-78.41,13
" 122687",36.3376,-78.40994,14
" 122687",36.33756,-78.40989,15
" 122687",36.33752,-78.40984,16
" 122687",36.33747,-78.40976,17
" 122687",36.33745,-78.40967,18
" 122687",36.33744,-78.40954,19
" 122687",36.33741,-78.40954,20
" 122687",36.33717,-78.40952,21
" 122687",36.33717,-78.41081,22
" 122687",36.33719,-78.41091,23
" 122687",36.33753,-78.41359,24
" 122687",36.3376,-78.41462,25
" 122687",36.33758,-78.41508,26
" 122687",36.33752,-78.41543,27
" 122687",36.33734,-78.41629,28
" 122687",36.33733,-78.41635,29
" 122687",36.33699,-78.41778,30
" 122687",36.33619,-78.42086,31
" 122687",36.33611,-78.42147,32
" 122687",36.33608,-78.42202,33
" 122687",36.33617,-78.42297,34
" 122687",36.33626,-78.42373,35
" 122687",36.33633,-78.42461,36
" 122687",36.33635,-78.42501,37
" 122687",36.33637,-78.42517,38
" 122687",36.33695,-78.4251,39
" 122687",36.3372,-78.42507,40
" 122687",36.33732,-78.42506,41
" 122687",36.33734,-78.42506,42
" 122687",36.33736,-78.42506,43
" 122687",36.33738,-78.42507,44
" 122687",36.3374,-78.42509,45
" 122687",36.3374,-78.42511,46
" 122687",36.33741,-78.42517,47
" 122687",36.33748,-78.42589,48
" 122687",36.33752,-78.42636,49
" 122687",36.33655,-78.42648,50
" 122687",36.33651,-78.42649,51
" 122687",36.33654,-78.42679,52
" 122687",36.33656,-78.4271,53
" 122687",36.33658,-78.42744,54
" 122687",36.33659,-78.42767,55
" 122687",36.33659,-78.428,56
" 122687",36.33656,-78.42827,57
" 122687",36.33655,-78.42833,58
" 122687",36.33651,-78.42855,59
" 122687",36.33647,-78.42873,60
" 122687",36.33642,-78.42892,61
" 122687",36.33637,-78.42907,62
" 122687",36.33631,-78.42924,63
" 122687",36.33623,-78.42941,64
" 122687",36.33613,-78.42959,65
" 122687",36.336,-78.42979,66
" 122687",36.33583,-78.43002,67
" 122687",36.33568,-78.4302,68
" 122687",36.33561,-78.43029,69
" 122687",36.33554,-78.43038,70
" 122687",36.33466,-78.43141,71
" 122687",36.33427,-78.43187,72
" 122687",36.33397,-78.43221,73
" 122687",36.33395,-78.43224,74
" 122687",36.33369,-78.43256,75
" 122687",36.33315,-78.43321,76
" 122687",36.33295,-78.43345,77
" 122687",36.33308,-78.43361,78
" 122687",36.33319,-78.4337,79
" 122687",36.33323,-78.43373,80
" 122687",36.33327,-78.43375,81
" 122687",36.33331,-78.43376,82
" 122687",36.33335,-78.43376,83
" 122687",36.33342,-78.43377,84
" 122687",36.33349,-78.43377,85
" 122687",36.33354,-78.43377,86
" 122687",36.3336,-78.43377,87
" 122687",36.33367,-78.43382,88
" 122687",36.33376,-78.43386,89
" 122687",36.33385,-78.43388,90
" 122687",36.33392,-78.43388,91
" 122687",36.334,-78.43392,92
" 122687",36.33409,-78.43402,93
" 122687",36.33417,-78.43411,94
" 122687",36.33419,-78.43413,95
" 122687",36.3341,-78.43423,96
" 122687",36.33377,-78.43471,97
" 122687",36.33334,-78.43529,98
" 122687",36.33326,-78.43541,99
" 122687",36.33307,-78.4357,100
" 122687",36.33302,-78.43575,101
" 122687",36.33284,-78.43597,102
" 122687",36.33277,-78.43605,103
" 122687",36.33268,-78.43615,104
" 122687",36.33262,-78.43623,105
" 122687",36.3322,-78.43673,106
" 122687",36.33213,-78.43682,107
" 122687",36.3321,-78.43687,108
" 122687",36.33204,-78.43699,109
" 122687",36.33199,-78.43714,110
" 122687",36.33197,-78.43734,111
" 122687",36.33197,-78.43763,112
" 122687",36.33193,-78.43819,113
" 122687",36.33191,-78.43827,114
" 122687",36.33189,-78.43828,115
" 122687",36.33186,-78.43829,116
" 122687",36.33177,-78.43826,117
" 122687",36.33168,-78.43824,118
" 122687",36.33152,-78.43825,119
" 122687",36.33135,-78.43823,120
" 122687",36.33123,-78.43823,121
" 122687",36.33118,-78.43824,122
" 122687",36.33115,-78.43825,123
" 122687",36.33115,-78.43824,124
" 122687",36.33112,-78.43823,125
" 122687",36.3311,-78.43821,126
" 122687",36.33109,-78.43816,127
" 122687",36.33109,-78.43809,128
" 122687",36.33108,-78.43804,129
" 122687",36.33106,-78.43784,130
" 122687",36.33104,-78.43761,131
" 122687",36.33107,-78.43752,132
" 122687",36.33125,-78.43727,133
" 122687",36.33143,-78.43706,134
" 122687",36.33163,-78.43685,135
" 122687",36.33177,-78.43669,136
" 122687",36.33188,-78.4367,137
" 122687",36.33199,-78.43674,138
" 122687",36.33213,-78.43682,139
" 122687",36.3322,-78.43673,140
" 122687",36.33262,-78.43623,141
" 122687",36.33268,-78.43615,142
" 122687",36.33277,-78.43605,143
" 122687",36.33284,-78.43597,144
" 122687",36.33302,-78.43575,145
" 122687",36.33307,-78.4357,146
" 122687",36.3333,-78.43599,147
" 122687",36.33336,-78.43607,148
" 122687",36.33343,-78.43615,149
" 122687",36.33362,-78.4364,150
" 122687",36.33394,-78.43678,151
" 122687",36.33422,-78.43712,152
" 122687",36.33443,-78.43737,153
" 122687",36.33447,-78.43742,154
" 122687",36.33451,-78.43746,155
" 122687",36.33469,-78.43769,156
" 122687",36.33488,-78.43791,157
" 122687",36.3353,-78.43843,158
" 122687",36.33553,-78.43872,159
" 122687",36.33573,-78.43896,160
" 122687",36.3358,-78.43904,161
" 122687",36.33591,-78.43917,162
" 122687",36.33606,-78.43936,163
" 122687",36.3361,-78.43941,164
" 122687",36.33621,-78.43954,165
" 122687",36.33627,-78.43961,166
" 122687",36.33652,-78.43995,167
" 122687",36.33601,-78.44048,168
" 122687",36.33588,-78.44062,169
" 122687",36.33575,-78.44075,170
" 122687",36.33563,-78.44087,171
" 122687",36.33544,-78.44103,172
" 122687",36.33543,-78.44104,173
" 122687",36.33524,-78.44117,174
" 122687",36.33513,-78.44121,175
" 122687",36.33503,-78.44123,176
" 122687",36.33477,-78.44127,177
" 122687",36.33446,-78.4413,178
" 122687",36.33447,-78.44137,179
" 122687",36.33446,-78.4413,180
" 122687",36.33397,-78.44134,181
" 122687",36.33395,-78.44135,182
" 122687",36.3335,-78.44141,183
" 122687",36.33323,-78.44145,184
" 122687",36.33321,-78.44145,185
" 122687",36.33314,-78.44147,186
" 122687",36.33304,-78.4415,187
" 122687",36.33296,-78.44154,188
" 122687",36.33294,-78.44155,189
" 122687",36.33287,-78.44159,190
" 122687",36.3328,-78.44165,191
