trip_id,arrival_time,departure_time,stop_id,stop_sequence,timepoint
3610691,07:00:00,07:00:00,1353867,0,1
3610691,07:01:00,07:01:00,1353868,1,1
3610691,07:03:00,07:03:00,1353869,2,1
3610691,07:05:00,07:05:00,1353870,3,1
3610691,07:06:00,07:06:00,1353871,4,1
3610691,07:08:00,07:08:00,1353872,5,1
3610691,07:11:00,07:11:00,1353873,6,1
3610691,07:14:00,07:14:00,1353874,7,1
3610691,07:15:00,07:15:00,1353875,8,1
3610691,07:21:00,07:21:00,1353876,9,1
3610691,07:25:00,07:25:00,1353877,10,1
3610691,07:27:00,07:27:00,1353878,11,1
3610691,07:29:00,07:29:00,1353879,12,1
3610691,07:31:00,07:31:00,1353880,13,1
3610691,07:36:00,07:36:00,1353881,14,1
3610691,07:40:00,07:40:00,1353882,15,1
3610691,07:47:00,07:47:00,1353883,16,1
3610691,07:50:00,07:50:00,1353884,17,1
3610691,07:54:00,07:54:00,1353885,18,1
3610691,07:55:00,07:55:00,1353887,19,1
3610691,07:55:00,07:55:00,1353888,20,1
3610691,07:56:00,07:56:00,1353889,21,1
3610691,08:00:00,08:00:00,1353890,22,1
3610691,08:02:00,08:02:00,1353891,23,1
3610691,08:04:00,08:04:00,1353892,24,1
3610691,08:05:00,08:05:00,1353893,25,1
3610691,08:06:00,08:06:00,1353894,26,1
3610691,08:09:00,08:09:00,1353896,27,1
3610691,08:12:00,08:12:00,1353897,28,1
3610691,08:13:00,08:13:00,1353898,29,1
3610691,08:14:00,08:14:00,1353899,30,1
3610691,08:17:00,08:17:00,1353900,31,1
3610691,08:18:00,08:18:00,1353901,32,1
3610691,08:18:00,08:18:00,1353902,33,1
3610691,08:20:00,08:20:00,1353903,34,1
3610691,08:22:00,08:22:00,1353904,35,1
3610691,08:24:00,08:24:00,1353905,36,1
10244546,08:00:00,08:00:00,3683517,0,1
10244546,08:03:00,08:03:00,3683518,1,1
10244546,08:05:00,08:05:00,3683520,2,1
10244546,08:10:00,08:10:00,3683519,3,1
10244546,08:13:00,08:13:00,3683521,4,1
10244546,08:15:00,08:15:00,3683522,5,1
10244546,08:19:00,08:19:00,3683523,6,1
10244546,08:20:00,08:20:00,3683524,7,1
10244546,08:22:00,08:22:00,3683525,8,1
10244546,08:28:00,08:28:00,3683526,9,1
10244546,08:33:00,08:33:00,3683527,10,1
10244546,08:38:00,08:38:00,3683528,11,1
10244546,08:40:00,08:40:00,3683529,12,1
10244546,08:43:00,08:43:00,3683530,13,1
10244546,08:46:00,08:46:00,3683531,14,1
10244546,08:51:00,08:51:00,3683532,15,1
10244546,08:54:00,08:54:00,3683533,16,1
