stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
1353867,1,Andrews Ave./Crossroads Plaza,,36.3385199333922,-78.4111015205613,,0,,,
1353868,2,Beckford Dr/Beckford Medical Center,,36.337211793215,-78.4109082640072,,0,,,
1353869,3,Beckford Dr. at Franklin Dr./Wickford Apts,,36.3373465638218,-78.416360797114,,0,,,
1353870,4,Parkview Dr./Lula's Landing Apts,,36.3373352174214,-78.4250437245885,,0,,,
1353871,5,Beckford Dr. at Social Security Office,,36.3365477965046,-78.4265032896888,,0,,,
1353872,6,Beckford Dr. at Marketplace Shopping Center,,36.3339851170466,-78.4322291305879,,0,,,
1353873,7,Dabney Dr. at Dabney West Shopping Center,,36.3341772853874,-78.4341050678337,,0,,,
1353874,8,South Cooper Dr. at Woods II & Courtyard Apartments ,,36.3321126154672,-78.4368820739409,,0,,,
1353875,9,South Cooper Dr. at Courtyard II Apts,,36.331148819766,-78.4382661882048,,0,,,
1353876,10,North Cooper Dr./Henderson Square,,36.3344746464738,-78.441373929388,,0,,,
1353877,11,Garden Walk Apts,,36.3306248718004,-78.4534560207547,,0,,,
1353878,12,Medical Center Dr. at Medical Plaza,,36.332078766563,-78.4508827683563,,0,,,
1353879,13,Ruin Creek Rd. Maria Parham Medical Center,,36.331343805599,-78.4480793094499,,0,,,
1353880,14,Ruin Creek Rd./Medical Arts Plaza,,36.3317581169167,-78.4472226802749,,0,,,
1353881,15,Ruin Creek Rd./YMCA ,,36.3333467154208,-78.4468170157423,,0,,,
1353882,16,Graham Ave. at Cambridge Hill Apts,,36.3270814295281,-78.4403676753951,,0,,,
1353883,17,Dabney Dr. at Henderson Mall,,36.3297109991823,-78.4323900701521,,0,,,
1353884,18,Dabney Dr. at Henderson Family Dentist ,,36.3266843999444,-78.4243387119127,,0,,,
1353885,19,Young Ave. at Vance Commons Apts,,36.3296456236779,-78.4191974899836,,0,,,
1353887,20,Chestnut St at Horner St./Maria Parham Apts,,36.3266294888745,-78.4080040679548,,0,,,
1353888,21,Chestnut St. at Granite St./Old West End School ,,36.3233248604599,-78.4127918455758,,0,,,
1353889,22,Garnett St. at Corbitt Rd./CVS Pharmacy,,36.3204113425388,-78.4151407100287,,0,,,
1353890,23,Raleigh Rd./Food Lion Shopping Center,,36.3169037555666,-78.4099902519793,,0,,,
1353891,24,Raleigh Rd. at Miriam St. ,,36.3078187512671,-78.4088952125289,,0,,,
1353892,25,Nicholas St. at Maple St. ,,36.3173041815465,-78.4051966685523,,0,,,
1353893,26,Chavasse Ave. at Nicholas St. ,,36.319865144992,-78.404712820866,,0,,,
1353894,27,Garnett St. at East Young Ave. ,,36.322783780304,-78.4090089925832,,0,,,
1353896,28,Breckenridge St. at Wyche St./Senior Apts./Embassy Block,,36.3273275056051,-78.4038793666595,,0,,,
1353897,29,Charles St. at College St. ,,36.3257619045768,-78.3982624240118,,0,,,
1353898,30,Charles St. at Clark St. ,,36.3246252436851,-78.3960167888309,,0,,,
1353899,31,Clark St. at Andrews Ave. ,,36.3274546801391,-78.3944677667232,,0,,,
1353900,32,Rockspring St. at Highland Ave. ,,36.3304397485714,-78.3945027476666,,0,,,
1353901,33,Rockspring St. at Chestnut St. ,,36.3329683735382,-78.3981718824542,,0,,,
1353902,34,Garnett St. at North Side Shopping Center,,36.34282215036,-78.3941964653628,,0,,,
1353903,35,Garnett St. at Roses (Norlina Rd.),,36.3422494549441,-78.3946543818973,,0,,,
1353904,36,Keene St. at Heritage Homes Apts ,,36.3424325904781,-78.4013639172464,,0,,,
1353905,37,Lincoln St. at Lincoln Heights Apts.,,36.3376812123609,-78.3999915610346,,0,,,
3683517,,Senior Center,,36.3135083382518,-78.5867870450922,,0,,,
3683518,,Oxford Baptist Chruch,,36.3102597808271,-78.5873115562128,,0,,,
3683520,,Webb Place,,36.3100500482689,-78.5785632951791,,0,,,
3683519,,Oxford Housing Authority,,36.305872813558,-78.5808600342607,,0,,,
3683521,,Pinetree Apartments (Brookeside),,36.3037450208498,-78.5824634937514,,0,,,
3683522,,Granville Corners,,36.2989669420779,-78.5854267231417,,0,,,
3683523,,Jake's Ridge,,36.2975327627779,-78.5929675385417,,0,,,
3683524,,The Havens,,36.2966449159754,-78.5939108518152,,0,,,
3683525,,The Willows,,36.2963276031733,-78.5976243791476,,0,,,
3683526,,Walmart,,36.2801619717822,-78.6033941068977,,0,,,
3683527,,Oak Ridge Apts,,36.2991680166913,-78.6010249091587,,0,,,
3683528,,Walgreens,,36.3101447274093,-78.5917619751914,,0,,,
3683529,,Maple Ridge Apts,,36.3210295353289,-78.5990510199272,,0,,,
3683530,,Howard Housing,,36.3250719590227,-78.6045163245054,,0,,,
3683531,,Granville Medical Center,,36.3258494086111,-78.5926554300843,,0,,,
3683532,,Garden Park Villas,,36.3353028769121,-78.5967284668523,,0,,,
3683533,,Food Lion,,36.3169180496849,-78.5701869011944,,0,,,
