trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,shape_dist_traveled,timepoint
1_WS_eastbound_T01,05:45:00,05:45:00,7970131,1,4th & Chestnut,,,,,0.012,1
1_WS_eastbound_T01,05:45:57,05:45:57,7970132,2,Innovation Quarter (4th & Research),,,,,0.369,0
1_WS_eastbound_T01,05:47:00,05:47:00,7970133,3,4th & MLK,,,,,0.758,1
1_WS_eastbound_T01,05:47:47,05:47:47,7970134,4,Excelsior St at Union Station,,,,,1.559,0
1_WS_eastbound_T01,05:48:26,05:48:26,7980843,5,Coble Transportation Center (B1),,,,,2.231,0
1_WS_eastbound_T01,06:15:00,06:15:00,7980844,6,,,,,,29.447,1
1_WS_eastbound_T02,06:15:00,06:15:00,7970131,1,4th & Chestnut,,,,,0.012,1
1_WS_eastbound_T02,06:15:57,06:15:57,7970132,2,Innovation Quarter (4th & Research),,,,,0.369,0
1_WS_eastbound_T02,06:17:00,06:17:00,7970133,3,4th & MLK,,,,,0.758,1
1_WS_eastbound_T02,06:17:47,06:17:47,7970134,4,Excelsior St at Union Station,,,,,1.559,0
1_WS_eastbound_T02,06:18:26,06:18:26,7980843,5,Coble Transportation Center (B1),,,,,2.231,0
1_WS_eastbound_T02,06:45:00,06:45:00,7980844,6,,,,,,29.447,1
1_WS_eastbound_T03,06:45:00,06:45:00,7970131,1,4th & Chestnut,,,,,0.012,1
1_WS_eastbound_T03,06:45:57,06:45:57,7970132,2,Innovation Quarter (4th & Research),,,,,0.369,0
1_WS_eastbound_T03,06:47:00,06:47:00,7970133,3,4th & MLK,,,,,0.758,1
1_WS_eastbound_T03,06:47:47,06:47:47,7970134,4,Excelsior St at Union Station,,,,,1.559,0
1_WS_eastbound_T03,06:48:26,06:48:26,7980843,5,Coble Transportation Center (B1),,,,,2.231,0
1_WS_eastbound_T03,07:15:00,07:15:00,7980844,6,,,,,,29.447,1
1_WS_eastbound_T04,07:15:00,07:15:00,7970131,1,4th & Chestnut,,,,,0.012,1
1_WS_eastbound_T04,07:15:57,07:15:57,7970132,2,Innovation Quarter (4th & Research),,,,,0.369,0
1_WS_eastbound_T04,07:17:00,07:17:00,7970133,3,4th & MLK,,,,,0.758,1
1_WS_eastbound_T04,07:17:47,07:17:47,7970134,4,Excelsior St at Union Station,,,,,1.559,0
1_WS_eastbound_T04,07:18:26,07:18:26,7980843,5,Coble Transportation Center (B1),,,,,2.231,0
1_WS_eastbound_T04,07:45:00,07:45:00,7980844,6,,,,,,29.447,1
1_WS_eastbound_T05,07:45:00,07:45:00,7970131,1,4th & Chestnut,,,,,0.012,1
1_WS_eastbound_T05,07:45:57,07:45:57,7970132,2,Innovation Quarter (4th & Research),,,,,0.369,0
1_WS_eastbound_T05,07:47:00,07:47:00,7970133,3,4th & MLK,,,,,0.758,1
1_WS_eastbound_T05,07:47:47,07:47:47,7970134,4,Excelsior St at Union Station,,,,,1.559,0
1_WS_eastbound_T05,07:48:26,07:48:26,7980843,5,Coble Transportation Center (B1),,,,,2.231,0
1_WS_eastbound_T05,08:15:00,08:15:00,7980844,6,,,,,,29.447,1
1_WS_eastbound_T06,08:15:00,08:15:00,7970131,1,4th & Chestnut,,,,,0.012,1
1_WS_eastbound_T06,08:15:57,08:15:57,7970132,2,Innovation Quarter (4th & Research),,,,,0.369,0
1_WS_eastbound_T06,08:17:00,08:17:00,7970133,3,4th & MLK,,,,,0.758,1
1_WS_eastbound_T06,08:17:47,08:17:47,7970134,4,Excelsior St at Union Station,,,,,1.559,0
1_WS_eastbound_T06,08:18:26,08:18:26,7980843,5,Coble Transportation Center (B1),,,,,2.231,0
1_WS_eastbound_T06,08:45:00,08:45:00,7980844,6,,,,,,29.447,1
1_WS_eastbound_T07,08:45:00,08:45:00,7970131,1,4th & Chestnut,,,,,0.012,1
1_WS_eastbound_T07,08:45:57,08:45:57,7970132,2,Innovation Quarter (4th & Research),,,,,0.369,0
1_WS_eastbound_T07,08:47:00,08:47:00,7970133,3,4th & MLK,,,,,0.758,1
