stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
2800000,100,PART Coble Transportation Center,,36.093585,-79.959124,,,1,,,1
8030800,101,Motel 6,,36.076902,-79.957981,,,,,,
8030445,102,Harris Teeter Distribution Center (call 336-883-7278 for pickup at least 30 minutes in advance),Must call in for pickup or drop off,36.087105,-79.93062,,,,,,
7970132,103,4th & Chestnut,,36.098659,-80.242264,,http://www.partnc.org/park-ride-locations/,,,,1
7974466,105,5th & Chestnut (Drop off only for Routes 1 & 17),Drop off only for Routes 1 and 17,36.100325,-80.242328,,http://www.partnc.org/park-ride-locations/,,,,1
8030446,106,Pactiv (Radar Rd) (call 336-883-7278 for pickup at least 30 minutes in advance),Must call in for pickup or drop off,36.089324,-79.934575,,,,,,
8030447,107,HAECO (Radar Rd) (call 336-883-7278 for pickup at least 30 minutes in advance),Must call in for pickup or drop off,36.093507,-79.932869,,,,,,
8051809,108,HAECO / Harris Teeter Warehouse (call 336-883-7278 for pickup at least 30 minutes in advance),Must call in for pickup or drop off,36.096918,-79.928553,,,,,,
2804967,109,GTCC Aviation II (call 336-883-7278 for pickup at least 30 minutes in advance),Must call in for pickup or drop off,36.098276,-79.924164,,,,,,
8030449,111,Harris Teeter Perishable (call 336-883-7278 for pickup at least 30 minutes in advance),Must call in for pickup or drop off,36.0941994334713,-79.9239908158779,,,,,,
8030450,112,N Chimney Rock & W Market (call 336-883-7278 for pickup at least 30 minutes in advance),Must call in for pickup or drop off,36.076436,-79.918353,,,,,,
7988577,114,Centennial & Hawthorne,,35.964564,-80.00205,,,,,,
7988168,115,Centennial & Hawthorne,,35.96375999,-80.00228461,,,,,,
8034620,116,Citation & International Dr (call 336-883-7278 for pickup at least 30 minutes in advance),Must call in for pickup or drop off,36.077487,-79.936579,,,,,,
