from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_trip_id,to_trip_id
7986283,7985654,1,,,
7980844,7985654,1,,,
7988164,7985654,1,,,
7970142,7985654,1,,,
8015796,7985654,1,,,
8039699,7985654,1,,,
8034296,7985654,1,,,
8030788,7985654,1,,,
8032704,7985654,1,,,
9003000,7985654,1,,,
7986283,7980844,1,,,
7985654,7980844,1,,,
7988164,7980844,1,,,
7970142,7980844,1,,,
8015796,7980844,1,,,
8039699,7980844,1,,,
8034296,7980844,1,,,
8030788,7980844,1,,,
8032704,7980844,1,,,
9003000,7980844,1,,,
7986283,7988164,1,,,
7985654,7988164,1,,,
7980844,7988164,1,,,
7970142,7988164,1,,,
8015796,7988164,1,,,
8039699,7988164,1,,,
8034296,7988164,1,,,
8030788,7988164,1,,,
8032704,7988164,1,,,
9003000,7988164,1,,,
7986283,7970142,1,,,
7985654,7970142,1,,,
7980844,7970142,1,,,
7988164,7970142,1,,,
8015796,7970142,1,,,
8039699,7970142,1,,,
8034296,7970142,1,,,
8030788,7970142,1,,,
8032704,7970142,1,,,
9003000,7970142,1,,,
7986283,8015796,1,,,
7985654,8015796,1,,,
7980844,8015796,1,,,
7988164,8015796,1,,,
7970142,8015796,1,,,
8039699,8015796,1,,,
8034296,8015796,1,,,
8030788,8015796,1,,,
8032704,8015796,1,,,
9003000,8015796,1,,,
7986283,8039699,1,,,
7985654,8039699,1,,,
7980844,8039699,1,,,
7988164,8039699,1,,,
7970142,8039699,1,,,
8015796,8039699,1,,,
8034296,8039699,1,,,
8030788,8039699,1,,,
8032704,8039699,1,,,
9003000,8039699,1,,,
7986283,8034296,1,,,
7985654,8034296,1,,,
7980844,8034296,1,,,
7988164,8034296,1,,,
7970142,8034296,1,,,
8015796,8034296,1,,,
8039699,8034296,1,,,
8030788,8034296,1,,,
8032704,8034296,1,,,
9003000,8034296,1,,,
7986283,8030788,1,,,
7985654,8030788,1,,,
7980844,8030788,1,,,
7988164,8030788,1,,,
7970142,8030788,1,,,
8015796,8030788,1,,,
8039699,8030788,1,,,
8034296,8030788,1,,,
8032704,8030788,1,,,
9003000,8030788,1,,,
7986283,8032704,1,,,
7985654,8032704,1,,,
7980844,8032704,1,,,
7988164,8032704,1,,,
7970142,8032704,1,,,
8015796,8032704,1,,,
8039699,8032704,1,,,
8034296,8032704,1,,,
8030788,8032704,1,,,
9003000,8032704,1,,,
7986283,9003000,1,,,
7985654,9003000,1,,,
7980844,9003000,1,,,
7988164,9003000,1,,,
7970142,9003000,1,,,
8015796,9003000,1,,,
8039699,9003000,1,,,
8034296,9003000,1,,,
8030788,9003000,1,,,
8032704,9003000,1,,,
7985654,7986283,1,,,
7980844,7986283,1,,,
7988164,7986283,1,,,
7970142,7986283,1,,,
8015796,7986283,1,,,
8039699,7986283,1,,,
8034296,7986283,1,,,
8030788,7986283,1,,,
8032704,7986283,1,,,
9003000,7986283,1,,,
9476666,9476666,4,,74_Westbound_second_half_T01,74_Eastbound_second_half_T02
9476666,9476666,4,,74_Westbound_second_half_T02,74_Eastbound_second_half_T03
9476666,9476666,4,,74_Westbound_second_half_T03,74_Eastbound_second_half_T04
9476666,9476666,4,,74_Westbound_second_half_T04,74_Eastbound_second_half_T05
9476666,9476666,4,,74_Westbound_second_half_T05,74_Eastbound_second_half_T06
9476666,9476666,4,,74_Westbound_second_half_T06,74_Eastbound_second_half_T07
9587063,9587063,4,,74_Westbound_first_half_T01,74_Eastbound_first_half_T01
9587063,9587063,4,,74_Westbound_first_half_T02,74_Eastbound_first_half_T02
9587063,9587063,4,,74_Westbound_first_half_T03,74_Eastbound_first_half_T03
9587063,9587063,4,,74_Westbound_first_half_T04,74_Eastbound_first_half_T04
9587063,9587063,4,,74_Westbound_first_half_T05,74_Eastbound_first_half_T05
9587063,9587063,4,,74_Westbound_first_half_T06,74_Eastbound_first_half_T06
9587063,9587063,4,,74_Westbound_first_half_T07,74_Eastbound_first_half_T07
