runs_id,service_id,block_id,run_number,piece_number,start_trip_id,start_stop_id,end_trip_id,end_stop_id
100000,c_70617_b_83063_d_31,10018,1,1,t_5907863_b_83063_tn_0,779214,t_5907871_b_83063_tn_0,779157
1000000,c_70617_b_83063_d_31,12028,10,1,t_5907813_b_83063_tn_1,2584566,t_5907813_b_83063_tn_9,780017
10000000,c_70617_b_83063_d_64,9017,100,1,t_5989925_b_83063_tn_1,779977,t_5989928_b_83063_tn_5,779977
10100000,c_70617_b_83063_d_64,9027,101,1,t_5989929_b_83063_tn_1,779977,t_5989932_b_83063_tn_5,779977
10200000,c_70617_b_83063_d_64,9037,102,1,t_5989933_b_83063_tn_1,779977,t_5989935_b_83063_tn_5,779977
10300000,c_70619_b_none_d_0,10018,103,1,t_5983536_b_none_tn_0,779214,t_5908223_b_none_tn_0,779274
10400000,c_70619_b_none_d_0,10028,104,1,t_5983564_b_none_tn_0,779214,t_5983902_b_none_tn_0,779095
10500000,c_70619_b_none_d_0,10038,105,1,t_5908214_b_none_tn_1,779393,t_5908225_b_none_tn_0,779393
10600000,c_70619_b_none_d_0,1018,106,1,t_5910572_b_none_tn_1,779968,t_5910573_b_none_tn_8,780017
10700000,c_70619_b_none_d_0,10218,107,1,t_5983909_b_none_tn_1,2371071,t_5983910_b_none_tn_12,2371071
10800000,c_70619_b_none_d_0,10228,108,1,t_5983913_b_none_tn_1,2371071,t_5983914_b_none_tn_11,2371071
10900000,c_70619_b_none_d_0,1028,109,1,t_5910576_b_none_tn_1,780094,t_5910578_b_none_tn_9,779966
1100000,c_70617_b_83063_d_31,12218,11,1,t_5907803_b_83063_tn_0,779682,t_5907805_b_83063_tn_0,779682
11000000,c_70619_b_none_d_0,1038,110,1,t_5910580_b_none_tn_1,780017,t_5982938_b_none_tn_0,780094
11100000,c_70619_b_none_d_0,11018,111,1,t_5908151_b_none_tn_1,779230,t_5983916_b_none_tn_2,2562474
11200000,c_70619_b_none_d_0,11028,112,1,t_5983917_b_none_tn_1,779230,t_5983925_b_none_tn_0,779457
11300000,c_70619_b_none_d_0,11038,113,1,t_5983928_b_none_tn_1,780017,t_5983928_b_none_tn_2,2562474
11400000,c_70619_b_none_d_0,11218,114,1,t_5908153_b_none_tn_1,2562474,t_5984770_b_none_tn_2,779230
11500000,c_70619_b_none_d_0,11228,115,1,t_5984796_b_none_tn_1,2562474,t_5984804_b_none_tn_0,779230
11600000,c_70619_b_none_d_0,12018,116,1,t_5984805_b_none_tn_0,779543,t_5984806_b_none_tn_0,779162
11700000,c_70619_b_none_d_0,12028,117,1,t_5908228_b_none_tn_1,2584566,t_5908229_b_none_tn_7,2584566
11800000,c_70619_b_none_d_0,12218,118,1,t_5908230_b_none_tn_0,779682,t_5908231_b_none_tn_7,2562483
11900000,c_70619_b_none_d_0,12228,119,1,t_5908232_b_none_tn_1,2562483,t_5984807_b_none_tn_0,779162
1200000,c_70617_b_83063_d_31,12228,12,1,t_5907809_b_83063_tn_1,2562483,t_5908090_b_83063_tn_0,779682
12000000,c_70619_b_none_d_0,2018,120,1,t_5910774_b_none_tn_0,779677,t_5982940_b_none_tn_0,779162
12100000,c_70619_b_none_d_0,2028,121,1,t_5910778_b_none_tn_0,780017,t_5910781_b_none_tn_1,779162
12200000,c_70619_b_none_d_0,2038,122,1,t_5910786_b_none_tn_0,779677,t_5910785_b_none_tn_1,2382248
12300000,c_70619_b_none_d_0,3018,123,1,t_5908392_b_none_tn_1,2619556,t_5908394_b_none_tn_14,2619556
12400000,c_70619_b_none_d_0,3028,124,1,t_5908393_b_none_tn_1,2619556,t_5982941_b_none_tn_0,779296
12500000,c_70619_b_none_d_0,3218,125,1,t_5910795_b_none_tn_0,779774,t_5982942_b_none_tn_0,779296
12600000,c_70619_b_none_d_0,3318,126,1,t_5910796_b_none_tn_1,2562291,t_5910797_b_none_tn_13,2562291
12700000,c_70619_b_none_d_0,4018,127,1,t_5911465_b_none_tn_0,779152,t_5982943_b_none_tn_0,779384
12800000,c_70619_b_none_d_0,4028,128,1,t_5911468_b_none_tn_0,779152,t_5982944_b_none_tn_0,779384
12900000,c_70619_b_none_d_0,4038,129,1,t_5911469_b_none_tn_0,779152,t_5911471_b_none_tn_9,779281
1300000,c_70617_b_83063_d_31,2018,13,1,t_5907817_b_83063_tn_0,779677,t_5907824_b_83063_tn_0,779672
13000000,c_70619_b_none_d_0,5018,130,1,t_5908668_b_none_tn_0,779452,t_5982945_b_none_tn_0,779195
13100000,c_70619_b_none_d_0,5028,131,1,t_5908670_b_none_tn_0,779452,t_5982947_b_none_tn_0,2584566
13200000,c_70619_b_none_d_0,5038,132,1,t_5908674_b_none_tn_0,779452,t_5908675_b_none_tn_9,2584566
13300000,c_70619_b_none_d_0,5048,133,1,t_5908676_b_none_tn_1,780017,t_5908676_b_none_tn_9,2584566
13400000,c_70619_b_none_d_0,5058,134,1,t_5908677_b_none_tn_1,780017,t_5908678_b_none_tn_1,779195
13500000,c_70619_b_none_d_0,6018,135,1,t_5908746_b_none_tn_0,4247421,t_5908745_b_none_tn_0,780113
13600000,c_70619_b_none_d_0,6028,136,1,t_5908752_b_none_tn_1,4247418,t_5982979_b_none_tn_0,779956
13700000,c_70619_b_none_d_0,6038,137,1,t_5908749_b_none_tn_1,4247418,t_5908751_b_none_tn_7,4247418
13800000,c_70619_b_none_d_0,6048,138,1,t_5982980_b_none_tn_1,4247418,t_5982981_b_none_tn_0,780113
13900000,c_70619_b_none_d_0,7018,139,1,t_5908760_b_none_tn_0,779667,t_5908756_b_none_tn_14,779894
1400000,c_70617_b_83063_d_31,2028,14,1,t_5907825_b_83063_tn_0,780017,t_5907830_b_83063_tn_0,779672
14000000,c_70619_b_none_d_0,7028,140,1,t_5908757_b_none_tn_0,779667,t_5982982_b_none_tn_0,779403
14100000,c_70619_b_none_d_0,8018,141,1,t_5908207_b_none_tn_1,780017,t_5983508_b_none_tn_0,779741
14200000,c_70619_b_none_d_0,8028,142,1,t_5983509_b_none_tn_1,780017,t_5983510_b_none_tn_0,779829
14300000,c_70619_b_none_d_0,9018,143,1,t_5983511_b_none_tn_1,779977,t_5983513_b_none_tn_0,780005
14400000,c_70619_b_none_d_0,9028,144,1,t_5983516_b_none_tn_1,779977,t_5983520_b_none_tn_0,780023
14500000,c_70619_b_none_d_0,9038,145,1,t_5983522_b_none_tn_1,779977,t_5983524_b_none_tn_5,779977
14600000,c_71383_b_85114_d_31,11018,146,1,t_6067069_b_85114_tn_1,779230,t_6067430_b_85114_tn_0,780029
14700000,c_71383_b_85114_d_31,11028,147,1,t_6066088_b_85114_tn_1,779230,t_6067065_b_85114_tn_0,780029
14800000,c_71383_b_85114_d_31,11038,148,1,t_6066217_b_85114_tn_0,780063,t_6067064_b_85114_tn_0,780029
14900000,c_71383_b_85114_d_31,11218,149,1,t_6066227_b_85114_tn_1,780081,t_6067484_b_85114_tn_6,779230
1500000,c_70617_b_83063_d_31,2038,15,1,t_5910773_b_83063_tn_0,779677,t_5907837_b_83063_tn_0,779672
15000000,c_71383_b_85114_d_31,11228,150,1,t_6067469_b_85114_tn_1,780081,t_6067489_b_85114_tn_0,779230
15100000,c_71383_b_85114_d_32,11016,151,1,t_6067495_b_85114_tn_1,779230,t_6067496_b_85114_tn_19,779230
15200000,c_71383_b_85114_d_32,11026,152,1,t_6067497_b_85114_tn_1,779230,t_6067498_b_85114_tn_13,779230
