trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,start_service_area_id,end_service_area_id,start_service_area_radius,end_service_area_radius,continuous_pickup,continuous_drop_off,pickup_booking_rule_id,drop_off_booking_rule_id,start_pickup_drop_off_window,end_pickup_drop_off_window,mean_duration_factor,mean_duration_offset,safe_duration_factor,safe_duration_offset,tts_stop_headsign,min_arrival_time,max_departure_time
t_5907696_b_83063_tn_0,20:30:00,20:30:00,780017,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_5907696_b_83063_tn_0,,,779695,2,,0,0,959.4401928590562,0,,,,,1,1,,,,,,,,,,,
t_5907696_b_83063_tn_0,,,779696,3,,0,0,1243.1703493529903,0,,,,,1,1,,,,,,,,,,,
t_5907696_b_83063_tn_0,,,780016,4,,0,0,1426.4690248866766,0,,,,,1,1,,,,,,,,,,,
t_5907696_b_83063_tn_0,,,779728,5,,0,0,1707.974161099505,0,,,,,1,1,,,,,,,,,,,
t_5907696_b_83063_tn_0,,,779226,6,,0,0,1965.1636365294748,0,,,,,1,1,,,,,,,,,,,
t_5907696_b_83063_tn_0,,,779780,7,,0,0,2234.9147416171973,0,,,,,1,1,,,,,,,,,,,
t_5907696_b_83063_tn_0,,,780114,8,,0,0,2396.1110048382457,0,,,,,1,1,,,,,,,,,,,
t_5907696_b_83063_tn_0,20:41:00,20:41:00,779776,9,,0,0,2695.623422683717,1,,,,,1,1,,,,,,,,,,,
t_5907696_b_83063_tn_0,,,779516,10,,0,0,3013.58502050328,0,,,,,1,1,,,,,,,,,,,
t_5907696_b_83063_tn_0,,,779574,11,,0,0,3161.8974578874854,0,,,,,1,1,,,,,,,,,,,
t_5907696_b_83063_tn_0,,,779596,12,,0,0,3406.6466387690616,0,,,,,1,1,,,,,,,,,,,
t_5907696_b_83063_tn_0,,,779801,13,,0,0,3691.84495315627,0,,,,,1,1,,,,,,,,,,,
t_5907696_b_83063_tn_0,,,779381,14,,0,0,3788.4510579564144,0,,,,,1,1,,,,,,,,,,,
t_5907696_b_83063_tn_0,,,779128,15,,0,0,4001.638907309284,0,,,,,1,1,,,,,,,,,,,
t_5907696_b_83063_tn_0,,,779249,16,,0,0,4167.223386544649,0,,,,,1,1,,,,,,,,,,,
t_5907696_b_83063_tn_0,,,779811,17,,0,0,4584.297126038352,0,,,,,1,1,,,,,,,,,,,
t_5907696_b_83063_tn_0,,,779473,18,,0,0,4777.345698745476,0,,,,,1,1,,,,,,,,,,,
t_5907696_b_83063_tn_0,,,803747,19,,0,0,5312.012413106207,0,,,,,1,1,,,,,,,,,,,
t_5907696_b_83063_tn_0,,,803748,20,,0,0,6441.969023640337,0,,,,,1,1,,,,,,,,,,,
t_5907696_b_83063_tn_0,,,2562286,21,,0,0,7671.189750415588,0,,,,,1,1,,,,,,,,,,,
t_5907696_b_83063_tn_0,,,2562287,22,,0,0,8284.48750218341,0,,,,,1,1,,,,,,,,,,,
t_5907696_b_83063_tn_0,,,2562288,23,,0,0,9508.185837122302,0,,,,,1,1,,,,,,,,,,,
t_5907696_b_83063_tn_0,,,2562504,24,,0,0,10015.25699108284,0,,,,,1,1,,,,,,,,,,,
t_5907696_b_83063_tn_0,,,779671,25,,0,0,10723.552263701384,0,,,,,1,1,,,,,,,,,,,
t_5907696_b_83063_tn_0,20:56:00,20:56:00,779672,26,,0,0,12302.670739870007,1,,,,,1,1,,,,,,,,,,,
t_5907697_b_83063_tn_0,06:20:00,06:20:00,779677,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_5907697_b_83063_tn_0,,,779678,2,,0,0,1530.2327076299239,0,,,,,1,1,,,,,,,,,,,
t_5907697_b_83063_tn_0,,,779668,3,,0,0,2145.620210708433,0,,,,,1,1,,,,,,,,,,,
t_5907697_b_83063_tn_0,,,779566,4,,0,0,2768.873138119321,0,,,,,1,1,,,,,,,,,,,
