route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color
1,9d9c5821-0c65-4ad9-ad6c-5a1fa388ac87,1,Crossroads,,3,2D468E,FFFFFF
2,9d9c5821-0c65-4ad9-ad6c-5a1fa388ac87,2,Cary-West Raleigh,,3,278953,000000
3,9d9c5821-0c65-4ad9-ad6c-5a1fa388ac87,3,Harrison,,3,DC143C,000000
4,9d9c5821-0c65-4ad9-ad6c-5a1fa388ac87,4,High House,,3,5C3B86,FFFFFF
5,9d9c5821-0c65-4ad9-ad6c-5a1fa388ac87,5,Kildaire Farm,,3,E0831A,000000
6,9d9c5821-0c65-4ad9-ad6c-5a1fa388ac87,6,Buck Jones,,3,E2217E,000000
7,9d9c5821-0c65-4ad9-ad6c-5a1fa388ac87,7,Weston,,3,00A4E7,000000
9,9d9c5821-0c65-4ad9-ad6c-5a1fa388ac87,9,Apex-Cary,,3,93430D,FFFFFF
DL,9d9c5821-0c65-4ad9-ad6c-5a1fa388ac87,DL,Downtown Loop,,3,E04307,000000
GA1,9d9c5821-0c65-4ad9-ad6c-5a1fa388ac87,GA1,GoApex Route 1,,3,337E9D,000000
