stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,wheelchair_boarding
1452,1452,Mason St at Old Mill Village Dr (NB) Apex Town Hal,Mason St at Old Mill Village Dr (NB) Apex Town Hall,35.732839,-78.845471,0,0
16093,16093,Apex Senior Center Main Entrance ,,35.73374,-78.847074,0,0
16097,16097,Hunter St at Ambergate Stn,,35.7355652354673,-78.8478285199414,0,0
16099,16099,N Salem St at Center St,,35.7325866902635,-78.8503523717174,0,0
16101,16101,N Salem St a E Moore St,,35.7287562715532,-78.8531166927532,0,0
1593,1593,W Williams St at Hunter St (NB),,35.736411,-78.862941,0,0
16017,16017,W Williams St at Apex Peakway (NB),,35.738837,-78.865363,0,0
1725,1725,W Williams St at Haddon Hall Dr (NB),,35.743772,-78.870595,0,0
16021,16021,Beaver Crk Comm Dr at Chick-fil-A (WB),,35.745855,-78.874754,0,0
16023,16023,Beaver Crk Comm Dr at Beaver Crk Greenway (WB),,35.7468,-78.878228,0,0
16027,16027,Beaver Crk Comm Dr at Diamond Dove Ln (WB),,35.741207,-78.893545,0,0
16029,16029,Kelly Rd at Evening Star Dr (SB),,35.736275,-78.896151,0,0
16031,16031,Chapel Ridge Rd at Olive Chapel Professional Park,,35.737313,-78.888764,0,0
11437,11437,Macedonia Lake Dr at Tryon Manor Dr,,35.751695,-78.746263,0,0
11454,11454,Walnut St at Crossroads Manor Ct,,35.749962,-78.741193,0,0
11455,11455,Jones Franklin Rd at Tryon Rd (NB),,35.746165,-78.737539,0,0
11740,11740,Crossroads Blvd at Jones Franklin Rd (NB),,35.755277,-78.730927,0,0
11748,11748,Crossroads Blvd at Caitboo Ave (NB),,35.758002,-78.733146,0,0
11734,11734,Crossroads Plaza (WB),,35.7604,-78.735932,0,0
1913,1913,Dillard Dr at Meeting St (EB),,35.755968,-78.743456,0,0
11348,11348,Walnut St at Dillard Dr,,35.756266,-78.741311,0,0
11246,11246,Walnut St at Meeting St,,35.759606,-78.742683,0,0
1706,1706,Walnut St at Donaldson Dr,,35.764225,-78.749194,0,0
1705,1705,Walnut St at Nottingham Dr,Walnut St at Nottingham Dr ,35.7651766100631,-78.7524012477637,0,0
11172,11172,Walnut St at Glenpark Pl,,35.766408,-78.756256,0,0
1587,1587,Walnut St at Cary Towne Center,,35.770342,-78.761494,0,0
11039,11039,SE Maynard Rd at Cary Towne Blvd (NB),,35.775482,-78.764058,0,0
11041,11041,SE Maynard Rd at Village Greenway,,35.780349,-78.764094,0,0
11044,11044,SE Maynard Rd at Quinard Dr,,35.785306,-78.764058,0,0
11046,11046,SE Maynard Rd at Tate St,,35.7883938126799,-78.7637778379785,0,0
11048,11048,SE Maynard Rd at Reed St,,35.790238,-78.763636,0,0
11001,11001,E Chatham St at NE Maynard Rd ,E Chatham St at NE Maynard Rd,35.792058,-78.76463,0,0
11452,11452,E Chatham St at Chatham Square (WB),,35.79163,-78.76719,0,0
11239,11239,E Chatham St at Reedy Creek Rd (WB),,35.7908949727353,-78.7702392798805,0,0
11033,11033,E Chatham St at Ward St,,35.789519,-78.772868,0,0
11031,11031,E Chatham St at Templeton St,,35.787616,-78.77723,0,0
11440,11440,Cary Depot North Platform,,35.7882717721624,-78.7822528947742,0,0
11161,11161,NC 55 at Walmart,,35.786646,-78.869821,0,0
11159,11159,High House Rd at Cranborne Ln,,35.78874,-78.862297,0,0
11155,11155,High House Rd at Terrastone Pl,,35.78947,-78.854617,0,0
11153,11153,High House Rd at Cornerstone Dr,,35.7900514179499,-78.8500269562022,0,0
11151,11151,High House Rd at Davis Dr (EB),,35.791711,-78.846287,0,0
11197,11197,High House Rd at Legault Dr,,35.792808,-78.838879,0,0
11169,11169,High House Rd at Preston Soccer Fields,,35.790639,-78.8328,0,0
11122,11122,High House Rd at SW Cary Pkwy (EB),,35.788425,-78.828499,0,0
11022,11022,Cary Senior Center at Bond Park,,35.785524,-78.826284,0,0
11391,11391,"Maury O'Dell Place at Bond Park Community Center",,35.786138,-78.825014,0,0
11021,11021,High House Rd at Bond Park Dr (EB),,35.785406,-78.820994,0,0
11018,11018,High House Rd at Castalia Dr (EB),,35.784698,-78.818669,0,0
11400,11400,High House Rd at NW Maynard Rd (EB),,35.783386,-78.810469,0,0
11016,11016,High House Rd at Edgehill Pky,High House Rd at Edgehill Parkway,35.783263,-78.807415,0,0
11014,11014,High House Rd at Gold Meadow Dr,,35.783469,-78.802494,0,0
11393,11393,High House Rd at Highland Village Dr (EB),,35.783346,-78.798719,0,0
11163,11163,Highland Village (EB),,35.784115,-78.796217,0,0
11123,11123,High House Rd at W Chatham St (EB),,35.782937,-78.794159,0,0
11226,11226,W Chatham St at Willow St,,35.784326,-78.792219,0,0
11124,11124,W Chatham St at S Dixon Ave (EB),,35.786723,-78.787606,0,0
1398,1398,Cary Depot South Platform,,35.788188623678,-78.7818049658421,0,0
11289,11289,Chapel Hill Rd at W Boundary St/Northwoods Gwy (WB,Chapel Hill Rd at W Boundary St/Northwoods Greenway (WB),35.793715,-78.789655,0,0
11291,11291,Chapel Hill Rd at Middleton Ave (WB),,35.796638,-78.793505,0,0
