route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color
3534,f42c368f-0d16-403f-9c7c-493c9beb84ef,100,Route 100,Route 100,3,A20F15,FFFFFF
3535,f42c368f-0d16-403f-9c7c-493c9beb84ef,300,Route 300,Route 300,3,A5E5D9,000000
3536,f42c368f-0d16-403f-9c7c-493c9beb84ef,305,Route 305,Route 305,3,007D78,FFFFFF
3537,f42c368f-0d16-403f-9c7c-493c9beb84ef,310,Route 310,Route 310,3,FFCD00,000000
3538,f42c368f-0d16-403f-9c7c-493c9beb84ef,400,Route 400,Route 400,3,77297D,FFFFFF
3539,f42c368f-0d16-403f-9c7c-493c9beb84ef,405,Route 405,Route 405,3,D89BC5,000000
3540,f42c368f-0d16-403f-9c7c-493c9beb84ef,700,Route 700,Route 700,3,ED218A,FFFFFF
3565,f42c368f-0d16-403f-9c7c-493c9beb84ef,705,Route 705,Route 705,3,991D6A,FFFFFF
3541,f42c368f-0d16-403f-9c7c-493c9beb84ef,800,Route 800,Route 800,3,00A94F,000000
3542,f42c368f-0d16-403f-9c7c-493c9beb84ef,805,Route 805,Route 805,3,046937,FFFFFF
3544,f42c368f-0d16-403f-9c7c-493c9beb84ef,DRX,Route DRX,Route DRX,3,0D1F2C,FFFFFF
3545,f42c368f-0d16-403f-9c7c-493c9beb84ef,ODX,Route ODX,Route ODX,3,EC8423,000000
3543,f42c368f-0d16-403f-9c7c-493c9beb84ef,CRX,Route CRX,Route CRX,3,65BAAF,000000
3546,f42c368f-0d16-403f-9c7c-493c9beb84ef,RDU,RDU Shuttle,RDU Shuttle,3,4E7BBE,FFFFFF
3547,f42c368f-0d16-403f-9c7c-493c9beb84ef,WRX,Route WRX,Route WRX,3,E7A614,000000
3548,f42c368f-0d16-403f-9c7c-493c9beb84ef,ZWX,Route ZWX,Route ZWX,3,5A7838,FFFFFF
