shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
5f36fe65-f26b-4741-9db9-3902ab607ce3,35.874227,-78.8379,0,0
04f8224a-e2be-4c9e-a139-c760f5d869d5,35.736329,-78.787599,187,9704.34
103d2286-0a12-4b94-8da3-a89943923357,35.770349,-78.723249,667,29076.27
83c9b6ad-9a00-40cf-90e3-68bd054d8124,35.801119,-78.70736,487,21158.84
f5cfa010-ed04-4183-9f81-b8faf2163c26,35.786434,-78.66334,130,3284.99
69a588cc-f587-4b87-bec3-7cf2a9e861e6,35.785009,-78.687029,177,6389.22
fd6d1bec-c330-4636-834a-485197aa8595,35.78868,-78.74256,242,11513.71
103d2286-0a12-4b94-8da3-a89943923357,35.69552,-78.834369,211,8205.86
69a588cc-f587-4b87-bec3-7cf2a9e861e6,35.754203,-78.733513,410,13634.33
19c90350-3f92-4cf0-9013-c464ae986de5,35.917659,-78.84987,373,14237.53
c689ea37-0573-45cb-93e6-f2c254046900,35.91086,-78.985649,230,7360.92
69a588cc-f587-4b87-bec3-7cf2a9e861e6,35.666939,-78.8352,893,36516.65
1c960784-5f68-4a5d-83c3-7ff821557e25,35.87342,-78.83515,13,364.17
9dc25952-12f4-463b-a9a3-9ad999761622,35.908689,-79.052979,37,775.05
1c960784-5f68-4a5d-83c3-7ff821557e25,35.810759,-78.816589,385,11420.26
4e0d0b6f-ba2d-47e2-b6ff-d527555bfbc2,35.91213,-78.982779,246,7652.32
a348b102-bd73-4f6e-b49f-9e77908fe2a4,35.8079,-78.81377,133,4099.56
9dc25952-12f4-463b-a9a3-9ad999761622,36.008608,-78.933583,523,21132.81
a348b102-bd73-4f6e-b49f-9e77908fe2a4,35.866549,-78.839269,463,14574.58
d3e62f41-983f-4e3d-a312-61e8cd2dc250,36.00916,-78.932139,69,2978.91
d3e62f41-983f-4e3d-a312-61e8cd2dc250,35.984649,-78.9581,192,7830.26
941b29b4-3afb-42c4-845a-b1641fb759a2,35.88686262,-78.84967209,85,2361.13
941b29b4-3afb-42c4-845a-b1641fb759a2,35.91032,-78.85118,156,5066.2
ab3cb218-eab9-47b3-bc67-a661e9c3e1e7,35.915039,-78.87804,238,12129.87
941b29b4-3afb-42c4-845a-b1641fb759a2,35.992029,-78.907529,584,20452.46
19c90350-3f92-4cf0-9013-c464ae986de5,35.939519,-78.85455,238,9610.52
348363f7-83df-470a-837a-c0f1c341ee33,35.9007,-78.889679,173,6072.54
254ded69-d175-4975-8be5-c301acd30e44,35.922249,-78.95184,225,8125.7
254ded69-d175-4975-8be5-c301acd30e44,35.908509,-79.05381,516,18292.09
5e06c299-c754-4b0e-a26b-e6b4d4cdc5d0,35.779899,-78.647799,1057,55886.57
f14c1e55-c205-4c59-b6ab-5ff16c6b03a5,35.78613,-78.6627,693,36999.55
4ac50778-fa15-4695-a7b1-d21744c9f71e,35.89341,-78.854789,524,25690.94
8c55ee99-6de4-4f85-9a22-16b081f48ee3,35.904459,-78.883729,575,28616.32
4142ff5d-7631-4e27-ac4d-e030d5023d14,35.79323,-78.684,770,41481.81
8c55ee99-6de4-4f85-9a22-16b081f48ee3,35.91087,-78.979979,681,37677.37
4ecee9c9-e18b-4672-a6c8-21bc1a065457,35.838369,-78.777969,409,16403.87
4ecee9c9-e18b-4672-a6c8-21bc1a065457,35.89045,-78.847989,512,25017.95
4ecee9c9-e18b-4672-a6c8-21bc1a065457,35.90738,-78.899199,596,30059.16
8c55ee99-6de4-4f85-9a22-16b081f48ee3,35.96956,-79.07009,884,50492.36
8c55ee99-6de4-4f85-9a22-16b081f48ee3,35.969409,-79.062459,940,51754.75
4ecee9c9-e18b-4672-a6c8-21bc1a065457,35.97035,-79.05997,831,48772.82
4ecee9c9-e18b-4672-a6c8-21bc1a065457,35.92726,-79.053929,1065,56635.33
8c55ee99-6de4-4f85-9a22-16b081f48ee3,35.920719,-79.055989,1090,57394.26
107bde52-53ff-42b7-b191-31bd4fcfbb92,35.988299,-78.898589,116,4234.91
684c34bc-5c49-4c2c-ac96-7f98675ab00c,35.80396,-78.7001,280,6862.22
7a2cf57f-a8e7-431e-8de3-70faaab9d9a1,36.000649,-78.936479,21,448.08
7a2cf57f-a8e7-431e-8de3-70faaab9d9a1,35.8062,-78.706429,760,39189.22
f14c1e55-c205-4c59-b6ab-5ff16c6b03a5,35.98288,-78.89198,48,2229.85
f14c1e55-c205-4c59-b6ab-5ff16c6b03a5,35.834589,-78.770139,402,24863.49
526f9175-1308-48c9-a848-ef5d1caac6fc,35.853669,-78.803359,462,19346.13
684c34bc-5c49-4c2c-ac96-7f98675ab00c,35.92277,-78.86058,634,30138.35
4ac50778-fa15-4695-a7b1-d21744c9f71e,35.78517,-78.659999,107,3231.51
684c34bc-5c49-4c2c-ac96-7f98675ab00c,35.97425,-78.87196,756,36135.58
27e55e99-0cea-477a-ad40-c354ded5a802,35.788499,-78.671379,152,4331.85
81f9ea4f-726c-4770-88eb-9a224a977ae4,35.779719,-78.60475,104,3963.52
81f9ea4f-726c-4770-88eb-9a224a977ae4,35.7864439724552,-78.5887620163141,140,5685.98
27e55e99-0cea-477a-ad40-c354ded5a802,35.96334,-78.865149,686,34638.33
464ef2df-94a1-4b68-8351-19474164fcb9,36.00537,-78.92335,45,2063.2
07f5b367-67af-4203-b6fa-274067945318,35.86193,-78.82277,54,2156.14
12d7ced8-fd73-45b2-a77d-76f5cbd1feaa,36.03779,-79.098379,403,24072.77
81f9ea4f-726c-4770-88eb-9a224a977ae4,35.767299,-78.489659,394,16244.94
81f9ea4f-726c-4770-88eb-9a224a977ae4,35.77191,-78.44981,442,20002.43
b81713ef-0ffd-449d-9b64-41fb45ffd2db,36.05983,-79.083079,299,19085.3
