stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
1072,1072,"Old Chapel Hill Rd at Garrett Rd (EB)",,35.949715,-78.967443,,,0,,0
1074,1074,"University Dr at American Red Cross",,35.952773,-78.966079,,,0,,0
1075,1075,"University Dr at Ivy Creek Blvd",,35.959253,-78.964615,,,0,,0
1105,1105,"Erwin Rd at Fulton St (VA Hospital)",,36.008327,-78.937789,,,0,,0
1406,1406,"Renaissance Pkwy at Southpoint Mall (WB)",,35.9036647,-78.9466721,,,0,,0
1553,1553,"Erwin Rd at Towerview Rd",,36.003799,-78.950504,,,0,,0
1732,1732,"Stirrup Creek at Twin Creek Ct",,35.917372,-78.842734,,,0,,0
1804,1804,"Renaissance Pkwy at NC 751 (WB)",,35.9011893,-78.9589826,,,0,,0
1901,1901,"McFarland Dr at Witherspoon Blvd (Patter",,35.950633,-78.989974,,,0,,0
1914,1914,"University Dr at University Pl (EB)",,35.95649,-78.965978,,,0,,0
1927,1927,"Erwin Rd at Emergency Dr (EB)",,36.007959,-78.935469,,,0,,0
5002,5002,"Riddle Rd at Ancroft Ave (NB)",,35.95263,-78.89703,,,0,,0
5003,5003,"Alston Ave at Main St (NB)",,35.98763,-78.88766,,,0,,0
5004,5004,"Alston Ave at Main St (SB)",,35.98709,-78.88828,,,0,,0
5005,5005,"Cornwallis Rd at Industry Ln",,35.94235,-78.8996,,,0,,0
5006,5006,"Alston Ave at Linwood Ave (NB)",,35.9799408,-78.8914218,,,0,,0
5008,5008,"S Alston Ave at Massey Ave (NB)",,35.978154,-78.892187,,,0,,0
5010,5010,"Durham Station Pettigrew North Platform",,35.99624902,-78.90557568,,,0,,0
5011,5011,"Durham Station Pettigrew South Platform",,35.99650291,-78.90615772,,,0,,0
5012,5012,"Durham Station Parking Deck Platform",,35.99584322,-78.90520554,,,0,,0
5017,5017,"Chapel Hill Rd at McGehee St (NB)",,35.981294,-78.934076,,,0,,0
5018,5018,"Morehead Ave at Vickers Ave (WB)",,35.991663,-78.911791,,,0,,0
5021,5021,"Chapel Hill Rd at W Cornwallis Rd (SB1)",,35.975344,-78.936845,,,0,,0
5023,5023,"Avondale Dr at E Markham Ave (SB)",,36.008351,-78.885933,,,0,,0
5027,5027,"Club Blvd at Gregson St",,36.016838,-78.908686,,,0,,0
5030,5030,"Duke St at Main St",,35.999745,-78.90788,,,0,,0
5031,5031,"Carver St at Guess Rd",,36.03778,-78.93043,,,0,,0
5032,5032,"Roxboro Rd at Lavender Rd",,36.02323,-78.889966,,,0,,0
5033,5033,"Roxboro Rd at Bush Dr",,36.07577,-78.90968,,,0,,0
5035,5035,"Angier Ave at Pleasant Dr",,35.96362,-78.85662,,,0,,0
5039,5039,"Fayetteville St at Piedmont Ave (SB)",,35.984326,-78.899178,,,0,,0
5042,5042,"University Dr at Weymouth St (WB)",,35.96702,-78.94998,,,0,,0
5043,5043,"Holloway St at Adams St (EB)",,35.98868,-78.85199,,,0,,0
5044,5044,"Duke St at Harper Pl",,36.006837,-78.905495,,,0,,0
5045,5045,"Roxboro Rd at Edgewood Dr",,36.02775,-78.89,,,0,,0
5047,5047,"Roxboro Rd at Markham Ave (south)",,36.009347,-78.891827,,,0,,0
5048,5048,"Chapel Hill Rd at Pinecrest Rd",,35.97935,-78.9352,,,0,,0
5054,5054,"University Dr at Larchmont Dr",,35.960943,-78.962345,,,0,,0
5055,5055,"Gregson St at Englewood Ave",,36.01513,-78.90835,,,0,,0
5056,5056,"Lawson St at Sima Ave (EB)",,35.97451,-78.89105,,,0,,0
5057,5057,"Angier Ave at Driver St (EB)",,35.9821,-78.87797,,,0,,0
5060,5060,"Dearborn Dr at Ruth St",,36.037333,-78.871642,,,0,,0
5064,5064,"Otis St at Red Oak Ave",,35.970147,-78.909488,,,0,,0
5067,5067,"Mangum St at Geer St",,36.0038914195,-78.8948916823,,,0,,0
5075,5075,"Milton Rd at Eno Valley Elementary (SB)",,36.08612,-78.91153,,,0,,0
5078,5078,"Trent Dr at Duke Hospital South (WB)",,36.004779,-78.934944,,,0,,0
5080,5080,"Fayetteville St at Homeland Ave (NB)",,35.962229,-78.908606,,,0,,0
5081,5081,"Trent Dr at Duke Circle Parking Deck",,36.006277,-78.934438,,,0,,0
5084,5084,"Old Farm Rd at Roxboro St (JFK Towers)",,36.065632,-78.904357,,,0,,0
