trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
6787050,1,1,"DOWNTOWN",,1,0010,shp-1-01,0,0
4757070,1,2,"DOWNTOWN",,1,0019,shp-1-01,0,0
1008020,1,4,"DOWNTOWN",,1,0062,shp-1-01,0,0
77010,1,3,"DOWNTOWN",,1,0014,shp-1-01,0,0
3789050,1,1,"DOWNTOWN",,1,0062,shp-1-01,0,0
9000020,1,4,"DOWNTOWN",,1,0010,shp-1-01,0,0
3603010,1,3,"DOWNTOWN",,1,0052,shp-1-01,0,0
178070,1,2,"DOWNTOWN",,1,0036,shp-1-01,0,0
1888020,1,4,"DOWNTOWN",,1,0030,shp-1-01,0,0
7891050,1,1,"DOWNTOWN",,1,0010,shp-1-01,0,0
8713020,1,4,"DOWNTOWN",,1,0074,shp-1-01,0,0
919020,1,4,"DOWNTOWN",,1,0030,shp-1-01,0,0
5715010,1,3,"DOWNTOWN",,1,0019,shp-1-01,0,0
5297050,1,1,"DOWNTOWN",,1,0010,shp-1-01,0,0
2026050,1,1,"DOWNTOWN",,1,0002,shp-1-01,0,0
1775020,1,4,"DOWNTOWN",,1,0062,shp-1-01,0,0
6936050,1,1,"DOWNTOWN",,1,0083,shp-1-01,0,0
2979050,1,1,"DOWNTOWN",,1,0007,shp-1-01,0,0
1686050,1,1,"DOWNTOWN",,1,0002,shp-1-01,0,0
7769050,1,1,"DOWNTOWN",,1,0030,shp-1-01,0,0
9267050,1,1,"DOWNTOWN",,1,0007,shp-1-01,0,0
4157070,1,2,"DOWNTOWN",,1,0019,shp-1-01,0,0
4541050,1,1,"DOWNTOWN",,1,0007,shp-1-01,0,0
4505070,1,2,"DOWNTOWN",,1,0025,shp-1-01,0,0
7905020,1,4,"DOWNTOWN",,1,0010,shp-1-01,0,0
1124020,1,4,"DOWNTOWN",,1,0002,shp-1-01,0,0
8747020,1,4,"DOWNTOWN",,1,0083,shp-1-01,0,0
1090050,1,1,"DOWNTOWN",,1,0030,shp-1-01,0,0
5561020,1,4,"DOWNTOWN",,1,0083,shp-1-01,0,0
7074010,1,3,"DOWNTOWN",,1,0052,shp-1-01,0,0
4085020,1,4,"DOWNTOWN",,1,0074,shp-1-01,0,0
7270020,1,4,"DOWNTOWN",,1,0007,shp-1-01,0,0
5637050,1,1,"DOWNTOWN",,1,0007,shp-1-01,0,0
7882010,1,3,"DOWNTOWN",,1,0052,shp-1-01,0,0
621020,1,4,"DOWNTOWN",,1,0002,shp-1-01,0,0
1585070,1,2,"DOWNTOWN",,1,0019,shp-1-01,0,0
6261010,1,3,"DOWNTOWN",,1,0033,shp-1-01,0,0
2494020,1,4,"DOWNTOWN",,1,0083,shp-1-01,0,0
8046010,1,3,"DOWNTOWN",,1,0063,shp-1-01,0,0
3311050,1,1,"DOWNTOWN",,1,0007,shp-1-01,0,0
837020,1,4,"DOWNTOWN",,1,0083,shp-1-01,0,0
6949070,1,2,"DOWNTOWN",,1,0041,shp-1-01,0,0
