route_id,direction_id,direction
14490,1,Inbound
14490,0,Outbound
4509,1,Inbound
4509,0,Outbound
4508,1,Inbound
4508,0,Outbound
1791,1,Inbound
1791,0,Outbound
1789,1,Inbound
1789,0,Outbound
1788,1,Inbound
1788,0,Outbound
1787,1,Inbound
1787,0,Outbound
1786,1,Inbound
1786,0,Outbound
1784,1,Inbound
1784,0,Outbound
1783,1,Inbound
1783,0,Outbound
1782,1,Inbound
1782,0,Outbound
1781,1,Inbound
1781,0,Outbound
1780,1,Inbound
1780,0,Outbound
1777,1,Inbound
1777,0,Outbound
1768,1,Inbound
1768,0,Outbound
1767,1,Inbound
1767,0,Outbound
1765,1,Inbound
1765,0,Outbound
1763,1,Inbound
1763,0,Outbound
1762,1,Inbound
1762,0,Outbound
16797,0,Loop
13514,1,Westbound
13514,0,Eastbound
1810,1,Southbound
1810,0,Northbound
1761,1,Westbound
1761,0,Eastbound
1760,1,Southbound
1760,0,Northbound
1758,1,Inbound
1758,0,Outbound
1755,1,Westbound
1755,0,Eastbound
1754,1,Westbound
1754,0,Eastbound
1574,1,Westbound
1574,0,Eastbound
1573,1,Westbound
1573,0,Eastbound
1572,1,Southbound
1572,0,Northbound
1568,1,Southbound
1568,0,Northbound
1566,1,Westbound
1566,0,Eastbound
1565,1,Westbound
1565,0,Eastbound
1563,1,Westbound
1563,0,Eastbound
1561,1,Westbound
1561,0,Eastbound
1556,1,Westbound
1556,0,Eastbound
