agency_id,route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order,min_headway_minutes,eligibility_restricted,continuous_pickup,continuous_drop_off,tts_route_short_name,tts_route_long_name
238,1556,100,Raleigh-RDU Airport-Regional Transit Center,,3,http://www.gotriangle.org/maps-and-schedules#1556,45a5b5,ffffff,0,120,0,1,1,,
241,1762,1,Northgate – North Pointe – Horton Rd/Guess Rd,,3,https://godurhamtransit.org/maps-schedules/godurham/1,ed5328,ffffff,0,60,0,1,1,,
241,1777,2,E. Main St – Angier Ave – Brier Creek,,3,https://godurhamtransit.org/maps-schedules/godurham/2,0047ba,ffffff,1,90,0,1,1,,
238,13514,310,Cary - Wake Tech RTP - RTC,"New route for August 2019, serving Wake Tech RTP campus.",3,http://www.gotriangle.org/maps-and-schedules,ec49b5,ffffff,10,90,0,1,1,,
241,1791,7,Forest Hills – Weaver St/S. Roxboro St – MLK Pkwy,,3,https://godurhamtransit.org/maps-schedules/godurham/7,8743bf,ffffff,10,60,0,1,1,,
238,1564,311,Apex-Regional Transit Center,,3,http://www.gotriangle.org/maps-and-schedules,742b80,ffffff,11,,0,1,1,,
241,1786,8,Lawson St – NCCU – Durham Tech,,3,https://godurhamtransit.org/maps-schedules/godurham/8,db60d5,ffffff,11,60,0,1,1,,
241,1788,9A,Dearborn Dr – Duke Regional – Riverside HS,,3,https://godurhamtransit.org/maps-schedules/godurham/9a,eb821a,ffffff,12,120,0,1,1,,
238,1565,400,Durham-Chapel Hill,,3,http://www.gotriangle.org/maps-and-schedules,946423,ffffff,13,120,0,1,1,,
241,1789,9B,Dearborn Dr – Riverview – Northern HS,,3,https://godurhamtransit.org/maps-schedules/godurham/9b,b5510e,ffffff,13,120,0,1,1,,
241,1787,9,Dearborn Dr – Duke Regional – Riverview (Evening/Sunday),"Only operates Sundays, and after 7:00 PM on weekdays and Saturdays. For daytime service on weekdays and Saturdays use Routes 9A and 9B.",3,https://godurhamtransit.org/maps-schedules/godurham/9,eb821a,ffffff,14,120,0,1,1,,
238,1566,405,Durham-Chapel Hill-Carrboro,,3,http://www.gotriangle.org/maps-and-schedules,c48532,ffffff,15,,0,1,1,,
241,1763,10,Chapel Hill Rd – South Square – New Hope Commons,,3,https://godurhamtransit.org/maps-schedules/godurham/10,f08bc5,ffffff,15,180,0,1,1,,
241,1765,10B,Chapel Hill Rd – South Square – Shannon Rd,,3,https://godurhamtransit.org/maps-schedules/godurham/10b,cc6698,ffffff,16,60,0,1,1,,
238,1568,420,Hillsborough-Chapel Hill (operated by Chapel Hill Transit),,3,http://www.gotriangle.org/maps-and-schedules,4b8d22,ffffff,17,,0,1,1,,
241,1767,11,W. Main St – Duke/VA – Hillsborough Rd,,3,https://godurhamtransit.org/maps-schedules/godurham/11,272a67,ffffff,17,60,0,1,1,,
241,14490,11B,W. Main St – Duke/VA – Constitution Dr,,3,https://godurhamtransit.org/maps-schedules/godurham/11b,008ecc,ffffff,18,60,0,1,1,,
238,1572,700,Durham-Regional Transit Center,,3,http://www.gotriangle.org/maps-and-schedules,519995,ffffff,19,60,0,1,1,,
241,1768,12,E. Main St – NCCU – Southpoint,,3,https://godurhamtransit.org/maps-schedules/godurham/12,00a2e8,ffffff,19,120,0,1,1,,
238,1558,105,Raleigh-Regional Transit Center,,3,http://www.gotriangle.org/maps-and-schedules#1558,8ccdd8,000000,2,,0,1,1,,
241,1780,3,Holloway St – The Village – Glenview Station,,3,https://godurhamtransit.org/maps-schedules/godurham/3,4aa237,ffffff,2,60,0,1,1,,
241,4731,12B,E. Main St – NCCU – Durham Station,,3,https://godurhamtransit.org/maps-schedules/godurham/12b,332a73,ffffff,20,,0,1,1,,
238,1573,800,Chapel Hill-Southpoint-Regional Transit Center,,3,http://www.gotriangle.org/maps-and-schedules,638334,ffffff,21,90,0,1,1,,
241,4506,20,Woodcroft – South Square – Duke/VA Limited,Limited stops. Weekday rush hours only.,3,https://godurhamtransit.org/maps-schedules/godurham/20,f5d03d,000000,21,,0,1,1,,
241,4723,NHS,Northern High School,Only operates when Durham Public Schools is in session and not releasing early. No stops between Northern High School and Durham Station.,3,https://godurhamtransit.org/maps-schedules/godurham/nhs,ffc34a,000000,22,,0,1,1,,
