runs_id,service_id,block_id,run_number,piece_number,start_trip_id,start_stop_id,end_trip_id,end_stop_id
100000,c_23933_b_33246_d_15,GT90,1,1,t_1971727_b_33246_tn_0,780514,t_1971728_b_33246_tn_0,780576
1000000,c_23933_b_33246_d_31,GR22,10,1,t_1971767_b_33246_tn_0,2619374,t_1971768_b_33246_tn_0,2619374
10000000,c_24123_b_33692_d_31,2038,100,1,t_2029609_b_33692_tn_0,779677,t_2029602_b_33692_tn_0,779672
10100000,c_24123_b_33692_d_31,3018,101,1,t_2029618_b_33692_tn_1,2619556,t_2029622_b_33692_tn_6,2619556
10200000,c_24123_b_33692_d_31,3028,102,1,t_2029620_b_33692_tn_1,2619556,t_2029616_b_33692_tn_0,779296
10300000,c_24123_b_33692_d_31,3218,103,1,t_2029617_b_33692_tn_0,779774,t_2029612_b_33692_tn_0,779296
10400000,c_24123_b_33692_d_31,3318,104,1,t_2029597_b_33692_tn_1,2562291,t_2029598_b_33692_tn_13,2562291
10500000,c_24123_b_33692_d_31,4018,105,1,t_2029656_b_33692_tn_1,779860,t_2029654_b_33692_tn_18,779860
10600000,c_24123_b_33692_d_31,4028,106,1,t_2029657_b_33692_tn_1,779860,t_2029655_b_33692_tn_12,779860
10700000,c_24123_b_33692_d_31,5018,107,1,t_2029582_b_33692_tn_0,779452,t_2029624_b_33692_tn_12,2584566
10800000,c_24123_b_33692_d_31,5028,108,1,t_2029580_b_33692_tn_0,779452,t_2029586_b_33692_tn_13,2584566
10900000,c_24123_b_33692_d_31,5038,109,1,t_2029581_b_33692_tn_0,779452,t_2029623_b_33692_tn_12,2584566
1100000,c_23933_b_33246_d_31,GR31,11,1,t_1971779_b_33246_tn_0,780719,t_1971779_b_33246_tn_0,780755
11000000,c_24123_b_33692_d_31,5218,110,1,t_2029714_b_33692_tn_1,779858,t_2029714_b_33692_tn_11,780017
11100000,c_24123_b_33692_d_31,5228,111,1,t_2029715_b_33692_tn_1,779858,t_2029716_b_33692_tn_10,779858
11200000,c_24123_b_33692_d_31,7018,112,1,t_2029561_b_33692_tn_0,779667,t_2029562_b_33692_tn_19,779894
11300000,c_24123_b_33692_d_31,8018,113,1,t_2029646_b_33692_tn_1,779741,t_2029660_b_33692_tn_6,779741
11400000,c_24123_b_33692_d_31,9018,114,1,t_2029575_b_33692_tn_0,780023,t_2029593_b_33692_tn_7,779968
11500000,c_24123_b_33692_d_31,9028,115,1,t_2029595_b_33692_tn_1,779968,t_2029564_b_33692_tn_3,779152
11600000,c_24123_b_33692_d_31,9218,116,1,t_2029570_b_33692_tn_0,779152,t_2029571_b_33692_tn_7,779281
11700000,c_24123_b_33692_d_31,9228,117,1,t_2029573_b_33692_tn_0,779152,t_2029569_b_33692_tn_0,779951
11800000,c_24123_b_33692_d_32,10018,118,1,t_2029680_b_33692_tn_1,779393,t_2029691_b_33692_tn_6,779393
11900000,c_24123_b_33692_d_32,10028,119,1,t_2029678_b_33692_tn_0,779841,t_2029692_b_33692_tn_0,779157
1200000,c_23933_b_33246_d_31,GR3677,12,1,t_1971777_b_33246_tn_0,780755,t_1971777_b_33246_tn_0,780719
12000000,c_24123_b_33692_d_32,10038,120,1,t_2029679_b_33692_tn_0,779841,t_2029688_b_33692_tn_6,779393
12100000,c_24123_b_33692_d_32,1018,121,1,t_2029502_b_33692_tn_0,780094,t_2029500_b_33692_tn_0,780093
