stop_id,stop_city
780669,Raleigh
780497,Raleigh
780303,Cary
2619341,Apex
780473,Cary
780368,Durham
780201,Raleigh
780546,Chapel Hill
2619335,Holly Springs
780220,Apex
780178,Durham
780741,Durham
836873,Carrboro
780386,Apex
780225,Morrisville
780226,Apex
780525,Chapel Hill
780436,Durham
780702,Cary
780506,Chapel Hill
780172,Durham
2535937,Morrisville
2506631,Morrisville
780740,Durham
780596,Durham
780463,Durham
780400,Cary
795586,Morrisville
780422,Raleigh
780524,Chapel Hill
2619413,Wake County
780328,Apex
780343,Durham
780236,Cary
780429,Durham
780421,Raleigh
780315,Cary
2619403,Raleigh
2619352,Cary
780504,Chapel Hill
780566,Durham
780252,Raleigh
2526379,Raleigh
780601,Durham
2506630,Morrisville
780203,Raleigh
2619359,Morrisville
2619337,Morrisville
780500,Chapel Hill
780495,Durham
780670,Raleigh
780647,Raleigh
780677,Raleigh
780281,Cary
780283,Cary
2619404,Raleigh
780258,Cary
781799,Raleigh
780637,Raleigh
780282,Cary
780558,Hillsborough
780284,Cary
780753,Raleigh
780602,Durham
2619364,Cary
780778,Raleigh
780322,Apex
780292,Cary
2619400,Raleigh
780385,Apex
2619365,Cary
2382221,Durham
780654,Raleigh
2619357,Morrisville
807172,Hillsborough
780370,Durham
780636,Raleigh
780223,Cary
780266,Cary
780703,Cary
780371,Durham
780437,Durham
2619346,Morrisville
780387,Apex
2619332,Apex
780508,Chapel Hill
780567,Durham
780734,Chapel Hill
780396,Raleigh
780722,Raleigh
2574486,Durham
780434,Cary
780464,Durham
780312,Cary
780291,Cary
780507,Chapel Hill
780639,Raleigh
780365,Durham
780290,Cary
780176,Morrisville
780304,Cary
2430341,Chapel Hill
780316,Cary
780543,Chapel Hill
780216,Raleigh
783783,Durham
780868,Raleigh
780620,Durham
780263,Cary
2619394,Cary
2619344,Cary
795584,Morrisville
780538,Chapel Hill
2619371,Raleigh
780294,Raleigh
2619366,Cary
780690,Cary
780259,Cary
780251,Raleigh
780613,Durham
780267,Cary
780462,Durham
780515,Chapel Hill
780614,Durham
780513,Chapel Hill
780254,Cary
780510,Chapel Hill
780645,Raleigh
780585,Durham
780627,Raleigh
780193,Durham
780415,Apex
780298,Cary
780607,Durham
780409,Durham
780445,Raleigh
780564,Durham
780597,Durham
780589,Durham
780498,Raleigh
780210,Chapel Hill
3450324,Cary
780302,Cary
2619333,Holly Springs
780528,Chapel Hill
780657,Raleigh
780327,Apex
780742,Durham
780366,Durham
780512,Chapel Hill
2619334,Holly Springs
780196,Durham
780757,Raleigh
795579,Morrisville
780187,Durham
780194,Durham
780549,Hillsborough
795580,Morrisville
780530,Chapel Hill
2619350,Morrisville
780222,Cary
780542,Chapel Hill
780587,Durham
780261,Cary
2502561,Raleigh
780569,Durham
2619323,Apex
780197,Durham
780425,Raleigh
780430,Durham
780494,Morrisville
780238,Raleigh
780329,Cary
780609,Durham
780531,Chapel Hill
780527,Chapel Hill
780460,Durham
780689,Cary
780179,Durham
2584567,Durham
780318,Cary
780577,Durham
780209,Durham
835959,Raleigh
780447,Cary
780592,Durham
780285,Cary
795581,Morrisville
781796,Cary
780556,Chapel Hill
795583,Raleigh
780582,Durham
780287,Cary
780514,Chapel Hill
2619349,Morrisville
780568,Durham
780374,Morrisville
780644,Raleigh
795585,Morrisville
780518,Chapel Hill
780206,Durham
780537,Chapel Hill
780658,Raleigh
780466,Raleigh
780695,Cary
2555811,Morrisville
780247,Raleigh
780736,Chapel Hill
780713,Raleigh
780314,Cary
780623,Durham
780412,Apex
2581513,Raleigh
780278,Cary
780516,Chapel Hill
780373,Durham
2535933,Morrisville
780288,Cary
780626,Durham
780190,Chapel Hill
780720,Wendell
780235,Raleigh
780855,Fuquay-Varina
780846,Raleigh
780435,Cary
780519,Chapel Hill
780219,Cary
2535925,Raleigh
780595,Durham
780265,Cary
780383,Apex
780320,Apex
2619330,Apex
795587,Morrisville
780380,Cary
2619329,Apex
780616,Durham
780659,Raleigh
780755,Raleigh
780653,Raleigh
780540,Chapel Hill
798914,Raleigh
780325,Apex
836874,Carrboro
780469,Durham
2619407,Raleigh
780295,Raleigh
2574485,Morrisville
780384,Apex
780699,Cary
780579,Durham
780499,Chapel Hill
780562,Durham
780812,Mebane
780410,Durham
780246,Cary
780311,Morrisville
780660,Raleigh
836875,Carrboro
780687,Raleigh
780215,Raleigh
780580,Durham
780177,Durham
780414,Apex
780553,Hillsborough
2619345,Morrisville
780635,Raleigh
780208,Durham
2619406,Raleigh
780638,Raleigh
780213,Durham
783784,Durham
780191,Chapel Hill
780738,Durham
780532,Chapel Hill
2555750,Cary
2619393,Cary
780461,Durham
780431,Durham
780667,Cary
780432,Durham
780648,Raleigh
780372,Durham
780245,Cary
780411,Apex
2619373,Raleigh
780232,Cary
2535935,Cary
780443,Durham
795582,Raleigh
780474,Durham
780599,Durham
780557,Hillsborough
780200,Durham
780583,Durham
780457,Durham
2619356,Morrisville
780195,Durham
780520,Chapel Hill
780279,Cary
2535932,Morrisville
780603,Durham
780697,Cary
780255,Cary
780198,Durham
780349,Morrisville
2535939,Morrisville
780573,Durham
2535936,Cary
798153,Raleigh
780398,Raleigh
780652,Raleigh
780427,Cary
2619351,Cary
2619412,Raleigh
780300,Cary
807176,Hillsborough
780321,Apex
780424,Raleigh
780496,Durham
780446,Raleigh
780211,Morrisville
780468,Durham
2619363,Cary
780618,Durham
780257,Raleigh
780202,Raleigh
786484,Hillsborough
780570,Durham
780591,Durham
780189,Durham
780608,Durham
2619348,Morrisville
780503,Chapel Hill
780456,Durham
780192,Durham
780727,Durham
780604,Durham
2734397,Raleigh
780656,Raleigh
807174,Hillsborough
780319,Apex
2619362,Cary
780534,Chapel Hill
780640,Raleigh
780533,Chapel Hill
780615,Durham
780621,Durham
780382,Durham
780643,Raleigh
780746,Raleigh
780230,Cary
780227,Apex
2502252,Raleigh
780628,Raleigh
780286,Cary
780218,Apex
780617,Durham
780541,Chapel Hill
780625,Durham
780547,Chapel Hill
780233,Cary
2619327,Apex
780588,Durham
780521,Chapel Hill
780444,Durham
780214,Durham
780586,Durham
780381,Cary
780550,Hillsborough
780698,Cary
2619331,Apex
780375,Morrisville
780417,Apex
780559,Hillsborough
780324,Apex
780280,Cary
780408,Raleigh
780811,Mebane
2619354,Cary
780554,Hillsborough
780240,Raleigh
780364,Morrisville
2619355,Cary
2619336,Holly Springs
780501,Chapel Hill
780388,Cary
780472,Durham
780234,Cary
780326,Apex
780360,Raleigh
780180,Durham
780399,Cary
780323,Apex
2619342,Apex
780642,Raleigh
780561,Durham
780576,Durham
2619325,Apex
2456333,Wake Forest
780243,Cary
836872,Carrboro
2619353,Cary
780810,Efland
780342,Raleigh
780317,Apex
780536,Chapel Hill
780297,Cary
2619358,Morrisville
780535,Chapel Hill
795578,Morrisville
780526,Chapel Hill
780522,Chapel Hill
2619339,Apex
780593,Durham
780696,Cary
780502,Chapel Hill
780369,Durham
780212,Morrisville
780646,Raleigh
780221,Cary
2430988,Durham
780721,Wendell
780379,Cary
780544,Chapel Hill
780737,Durham
780428,Durham
780367,Durham
2619360,Morrisville
780517,Chapel Hill
780752,Raleigh
780668,Raleigh
2619340,Apex
780348,Morrisville
780207,Durham
780264,Cary
780231,Cary
780574,Durham
2619347,Morrisville
2583088,Durham
780730,Durham
780205,Raleigh
780188,Durham
780299,Cary
780641,Raleigh
2430340,Chapel Hill
780555,Chapel Hill
2619338,Morrisville
780459,Durham
780575,Durham
780675,Raleigh
780581,Durham
780296,Raleigh
780256,Cary
780545,Chapel Hill
780392,Chapel Hill
780313,Cary
780249,Raleigh
2619374,Raleigh
780448,Cary
780423,Raleigh
780619,Durham
780606,Durham
780584,Durham
2619324,Apex
780289,Cary
2619328,Apex
780293,Raleigh
780719,Zebulon
2619372,Raleigh
780622,Durham
780277,Cary
780732,Chapel Hill
780523,Chapel Hill
2619326,Apex
780674,Raleigh
780052,Durham
779591,Durham
779402,Durham
779698,Durham
779240,Durham
779907,Durham
779432,Durham
779104,Durham
2562477,Research Triangle Park
779530,Durham
779873,Durham
779659,Durham
779613,Durham
779771,Durham
779611,Durham
779388,Durham
779951,Durham
779675,Durham
779677,Durham
779896,Durham
779576,Durham
779506,Durham
779264,Durham
779550,Durham
779153,Durham
779774,Durham
779309,Durham
779167,Durham
779446,Durham
779838,Durham
779739,Durham
779833,Durham
779490,Durham
779563,Durham
779099,Durham
779765,Durham
779384,Durham
780043,Durham
779970,Durham
779508,Durham
2328649,Durham
779391,Durham
779861,Durham
779631,Durham
779288,Durham
780017,Durham
779941,Durham
779149,Durham
779263,Durham
779301,Durham
2526382,Durham
780020,Durham
779122,Durham
779244,Durham
779894,Durham
780018,Durham
779905,Durham
779174,Durham
779261,Durham
779745,Durham
779621,Durham
2382510,Durham
779837,Durham
2562471,Durham
779271,Durham
779566,Durham
779100,Durham
779247,Durham
779843,Durham
779660,Durham
779392,Durham
779294,Durham
779163,Durham
779974,Durham
