trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,start_service_area_id,end_service_area_id,start_service_area_radius,end_service_area_radius,continuous_pickup,continuous_drop_off,pickup_booking_rule_id,drop_off_booking_rule_id,start_pickup_dropoff_window,end_pickup_dropoff_window,mean_duration_factor,mean_duration_offset,safe_duration_factor,safe_duration_offset,tts_stop_headsign,min_arrival_time,max_departure_time
t_1971464_b_33246_tn_0,07:25:00,07:25:00,2619335,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_1971464_b_33246_tn_0,07:28:00,07:28:00,2619333,2,,0,0,2315.07212607205,1,,,,,1,1,,,,,,,,,,,
t_1971464_b_33246_tn_0,,,2619331,3,,0,0,8664.27674441124,0,,,,,1,1,,,,,,,,,,,
t_1971464_b_33246_tn_0,,,2619330,4,,0,0,9449.526669893,0,,,,,1,1,,,,,,,,,,,
t_1971464_b_33246_tn_0,07:37:00,07:37:00,780323,5,,0,0,10166.7259568662,1,,,,,1,1,,,,,,,,,,,
t_1971464_b_33246_tn_0,,,2619328,6,,0,0,10707.8852999946,0,,,,,1,1,,,,,,,,,,,
t_1971464_b_33246_tn_0,,,780324,7,,0,0,11209.4817016307,0,,,,,1,1,,,,,,,,,,,
t_1971464_b_33246_tn_0,,,2619326,8,,0,0,11588.5188835401,0,,,,,1,1,,,,,,,,,,,
t_1971464_b_33246_tn_0,,,2619324,9,,0,0,13024.3055212031,0,,,,,1,1,,,,,,,,,,,
t_1971464_b_33246_tn_0,07:44:00,07:44:00,780411,10,,0,0,14391.5643115096,1,,,,,1,1,,,,,,,,,,,
t_1971464_b_33246_tn_0,,,780227,11,,0,0,14565.707932962,0,,,,,1,1,,,,,,,,,,,
t_1971464_b_33246_tn_0,,,780226,12,,0,0,14882.1475080089,0,,,,,1,1,,,,,,,,,,,
t_1971464_b_33246_tn_0,07:49:00,07:49:00,780267,13,,0,0,18873.6234844905,1,,,,,1,1,,,,,,,,,,,
t_1971464_b_33246_tn_0,,,2619394,14,,0,0,19444.1323264015,0,,,,,1,1,,,,,,,,,,,
t_1971464_b_33246_tn_0,,,780230,15,,0,0,21013.2181680341,0,,,,,1,1,,,,,,,,,,,
t_1971464_b_33246_tn_0,,,780263,16,,0,0,21976.2498442861,0,,,,,1,1,,,,,,,,,,,
t_1971464_b_33246_tn_0,,,780265,17,,0,0,22209.8490691449,0,,,,,1,1,,,,,,,,,,,
t_1971464_b_33246_tn_0,,,780246,18,,0,0,22987.8205524134,0,,,,,1,1,,,,,,,,,,,
t_1971464_b_33246_tn_0,,,780473,19,,0,0,23502.3133496286,0,,,,,1,1,,,,,,,,,,,
t_1971464_b_33246_tn_0,,,780231,20,,0,0,23915.4986743284,0,,,,,1,1,,,,,,,,,,,
t_1971464_b_33246_tn_0,,,780232,21,,0,0,24522.404904461,0,,,,,1,1,,,,,,,,,,,
t_1971464_b_33246_tn_0,,,780233,22,,0,0,24863.950462858,0,,,,,1,1,,,,,,,,,,,
t_1971464_b_33246_tn_0,,,780256,23,,0,0,25328.5296356941,0,,,,,1,1,,,,,,,,,,,
t_1971464_b_33246_tn_0,,,780255,24,,0,0,25789.4534875844,0,,,,,1,1,,,,,,,,,,,
t_1971464_b_33246_tn_0,,,780235,25,,0,0,26081.0079212615,0,,,,,1,1,,,,,,,,,,,
t_1971464_b_33246_tn_0,,,780251,26,,0,0,26881.0285204749,0,,,,,1,1,,,,,,,,,,,
t_1971464_b_33246_tn_0,,,780408,27,,0,0,27516.2100238423,0,,,,,1,1,,,,,,,,,,,
t_1971464_b_33246_tn_0,,,780425,28,,0,0,28370.7803903804,0,,,,,1,1,,,,,,,,,,,
t_1971464_b_33246_tn_0,,,2734397,29,,0,0,28696.2426822023,0,,,,,1,1,,,,,,,,,,,
t_1971464_b_33246_tn_0,,,780674,30,,0,0,29004.8866566045,0,,,,,1,1,,,,,,,,,,,
t_1971464_b_33246_tn_0,,,780669,31,,0,0,29551.7842330677,0,,,,,1,1,,,,,,,,,,,
