route_id,direction_id,direction
6026,0,Eastbound
6026,1,Westbound
6027,0,Westbound
6027,1,Eastbound
6028,0,Eastbound
6028,1,Westbound
6029,0,Southbound
6029,1,Northbound
6030,0,Eastbound
6030,1,Westbound
6034,0,Southbound
6034,1,Northbound
6035,0,Eastbound
6035,1,Westbound
6047,0,Loop
6048,0,Eastbound
6048,1,Westbound
6049,0,Eastbound
6049,1,Westbound
6050,0,Westbound
6050,1,Eastbound
6053,0,Loop
6051,0,Westbound
6051,1,Eastbound
6036,0,Eastbound
6036,1,Westbound
6154,0,Westbound
6154,1,Eastbound
6045,0,Eastbound
6045,1,Westbound
6033,0,Southbound
6033,1,Northbound
6056,0,Southbound
6056,1,Northbound
6052,0,Southbound
6052,1,Northbound
6032,0,Southbound
6032,1,Northbound
6657,0,Southbound
6657,1,Northbound
6046,0,Loop
6057,0,Loop
