route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
6026,237,"N","N - Estes Park / UNC Hospitals / Meadowmont",Estes Park / UNC Hospitals / Meadowmont,3,https://www.townofchapelhill.org/government/departments-services/transit/routes-schedules/all-routes-schedules/n-route,95C942,FFFFFF
6027,237,"S","S - UNC / Campus Friday Center South Park and Ride",UNC Campus / Friday Center South Park & Ride,3,https://www.townofchapelhill.org/government/departments-services/transit/routes-schedules/all-routes-schedules/s-route,825BA6,FFFFFF
6028,237,"D","D - UNC Hospitals / Franklin St / Old Durham Rd",UNC Hospitals / Franklin St / Old Durham Rd,3,https://www.townofchapelhill.org/government/departments-services/transit/routes-schedules/all-routes-schedules/d-route,00AEEF,FFFFFF
6029,237,"420","420 - Hillsborough-Chapel Hill",Hillsborough-Chapel Hill ,3,http://www.gotriangle.org/maps-and-schedules,63A541,FFFFFF
6030,237,"CM","CM - Carrboro / Merritt Mill Rd",Carrboro / Merritt Mill Rd,3,https://www.townofchapelhill.org/government/departments-services/transit/routes-schedules/all-routes-schedules/cm-route,37B667,FFFFFF
6032,237,"HS","HS - Morris Grove Elementary / Smith Level Rd",Morris Grove Elementary / Smith Level Rd,3,https://www.townofchapelhill.org/government/departments-services/transit/routes-schedules/all-routes-schedules/hs-route,F99B23,FFFFFF
6033,237,"NS","NS - Eubanks Rd / Southern Village",Eubanks Rd / Southern Village,3,https://www.townofchapelhill.org/government/departments-services/transit/routes-schedules/all-routes-schedules/ns-route,00AFAB,FFFFFF
6034,237,"G","G - Booker Creek / UNC Hospitals ",Booker Creek / UNC Hospitals,3,https://www.townofchapelhill.org/government/departments-services/transit/routes-schedules/all-routes-schedules/g-route,4C3491,FFFFFF
6035,237,"JFX","JFX - Jones Ferry Road Express",Jones Ferry Road Express,3,https://www.townofchapelhill.org/government/departments-services/transit/routes-schedules/all-routes-schedules/jfx-route,9AA1D1,FFFFFF
6036,237,"J","J - Carrboro / Downtown Chapel Hill / Jones Ferry Rd",Carrboro / Downtown Chapel Hill / Jones Ferry Rd,3,https://www.townofchapelhill.org/government/departments-services/transit/routes-schedules/all-routes-schedules/j-route,FADC00,000000
6045,237,"A","A - Martin Luther King Jr. Blvd / Northside / University Place",Martin Luther King Jr. Blvd / Northside / University Place,3,https://www.townofchapelhill.org/government/departments-services/transit/routes-schedules/all-routes-schedules/a-route,EC1D4D,FFFFFF
6046,237,"B","B - Baity Hill / UNC Hospitals",Baity Hill / UNC Hospitals,3,https://www.townofchapelhill.org/government/departments-services/transit/routes-schedules/all-routes-schedules/b-route,EF6A28,FFFFFF
6047,237,"CCX","CCX - Chatham County Express",Chatham County Express,3,https://www.townofchapelhill.org/government/departments-services/transit/routes-schedules/all-routes-schedules/ccx-route,CDD35F,000000
6048,237,"CL","CL - Sage / Old Oxford Rd / UNC Hospitals",Sage / Old Oxford Rd / UNC Hospitals,3,https://www.townofchapelhill.org/government/departments-services/transit/routes-schedules/all-routes-schedules/cl-route,EFB21E,FFFFFF
6049,237,"CW","CW - Carrboro / Weaver Street / UNC",Carrboro / Weaver Street / UNC,3,https://www.townofchapelhill.org/government/departments-services/transit/routes-schedules/all-routes-schedules,057588,FFFFFF
6050,237,"F","F - Colony Woods / Franklin St",Colony Woods / Franklin St / McDougle School,3,https://www.townofchapelhill.org/government/departments-services/transit/routes-schedules/all-routes-schedules/f-route,21409A,FFFFFF
6051,237,"FCX","FCX - Friday Center Express",Friday Center Express,3,https://www.townofchapelhill.org/government/departments-services/transit/routes-schedules/all-routes-schedules/fcx-route,A8DBEA,000000
6052,237,"NU","NU - RR Lot / UNC Hospitals",RR Lot / UNC Hospitals,3,https://www.townofchapelhill.org/government/departments-services/transit/routes-schedules/all-routes-schedules/nu-route,4EC3E8,FFFFFF
6053,237,"RU","RU - Campus Reverse Shuttle",Campus Reverse Shuttle,3,https://www.townofchapelhill.org/government/departments-services/transit/routes-schedules/all-routes-schedules/ru-route,517DBF,FFFFFF
6056,237,"T","T - MLK, Jr. Blvd / UNC Hospitals","MLK, Jr. Blvd / UNC Hospitals",3,https://www.townofchapelhill.org/government/departments-services/transit/routes-schedules/all-routes-schedules/t-route,F5A0C4,000000
6057,237,"U","U - Campus Shuttle",Campus Shuttle,3,https://www.townofchapelhill.org/government/departments-services/transit/routes-schedules/all-routes-schedules/u-route,6EB4E0,FFFFFF
6154,237,"F","F - Colony Woods / Franklin St / McDougle School",Colony Woods / Franklin St / McDougle School,3,https://www.townofchapelhill.org/government/departments-services/transit/routes-schedules/all-routes-schedules/f-route,21409A,FFFFFF
6657,237,"C","C - UNC Campus / Smith Level",UNC Campus / Smith Level Rd,3,https://www.townofchapelhill.org/government/departments-services/transit/routes-schedules/all-routes-schedules/c-route,7E1416,FFFFFF
