trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
420_N_0645_Mon - Fri,06:45:00,06:45:00,8514178,0,"",0,,0,1
420_N_0645_Mon - Fri,06:47:00,06:47:00,8508184,1,"",0,,445.56126384468826,0
420_N_0645_Mon - Fri,06:49:00,06:49:00,8552208,2,"",0,,984.1620686763242,0
420_N_0645_Mon - Fri,06:50:00,06:50:00,8552209,3,"",0,,1165.9553101175763,0
420_N_0645_Mon - Fri,06:51:00,06:51:00,8552210,4,"",0,,1459.678283398571,1
420_N_0645_Mon - Fri,06:54:00,06:54:00,8552211,5,"",0,,3763.1861131312276,0
420_N_0645_Mon - Fri,06:59:00,06:59:00,8552212,6,"",0,,7496.208852407352,1
420_N_0645_Mon - Fri,07:02:00,07:02:00,8552213,7,"",0,,10607.28301924222,0
420_N_0645_Mon - Fri,07:08:00,07:08:00,8552214,8,"",0,,15229.189415090908,0
420_N_0645_Mon - Fri,07:11:00,07:11:00,8552182,9,"",0,,17454.760834655837,0
420_N_0645_Mon - Fri,07:13:00,07:13:00,8552183,10,"",0,,18209.925674082802,0
420_N_0645_Mon - Fri,07:19:00,07:19:00,8552215,11,"",0,,21228.839312330863,0
420_N_0645_Mon - Fri,07:25:00,07:25:00,8552216,12,"",0,,24249.900455618026,1
420_N_0645_Mon - Fri,07:28:00,07:28:00,8552217,13,"",0,,25442.644041617656,0
420_N_0645_Mon - Fri,07:30:00,07:30:00,8514177,14,"",0,,26344.484364411484,1
420_N_0715_Mon - Fri,07:15:00,07:15:00,8514178,0,"",0,,0,1
420_N_0715_Mon - Fri,07:17:00,07:17:00,8508184,1,"",0,,445.56126384468826,0
420_N_0715_Mon - Fri,07:19:00,07:19:00,8552208,2,"",0,,984.1620686763242,0
420_N_0715_Mon - Fri,07:20:00,07:20:00,8552209,3,"",0,,1165.9553101175763,0
420_N_0715_Mon - Fri,07:21:00,07:21:00,8552210,4,"",0,,1459.678283398571,1
420_N_0715_Mon - Fri,07:24:00,07:24:00,8552211,5,"",0,,3763.1861131312276,0
420_N_0715_Mon - Fri,07:29:00,07:29:00,8552212,6,"",0,,7496.208852407352,1
420_N_0715_Mon - Fri,07:32:00,07:32:00,8552213,7,"",0,,10607.28301924222,0
420_N_0715_Mon - Fri,07:38:00,07:38:00,8552214,8,"",0,,15229.189415090908,0
420_N_0715_Mon - Fri,07:41:00,07:41:00,8552182,9,"",0,,17454.760834655837,0
420_N_0715_Mon - Fri,07:43:00,07:43:00,8552183,10,"",0,,18209.925674082802,0
420_N_0715_Mon - Fri,07:49:00,07:49:00,8552215,11,"",0,,21228.839312330863,0
420_N_0715_Mon - Fri,07:55:00,07:55:00,8552216,12,"",0,,24249.900455618026,1
420_N_0715_Mon - Fri,07:58:00,07:58:00,8552217,13,"",0,,25442.644041617656,0
420_N_0715_Mon - Fri,08:00:00,08:00:00,8514177,14,"",0,,26344.484364411484,1
420_N_0745_Mon - Fri,07:45:00,07:45:00,8514178,0,"",0,,0,1
420_N_0745_Mon - Fri,07:47:00,07:47:00,8508184,1,"",0,,445.56126384468826,0
