trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
420_N_0645_Mon - Fri,6029,4,to Hillsborough,"",1,510394,27836,
420_N_0715_Mon - Fri,6029,4,to Hillsborough,"",1,510395,27836,
420_N_0745_Mon - Fri,6029,4,to Hillsborough,"",1,510396,27836,
420_N_1525_Mon - Fri,6029,4,to Hillsborough,"",1,510397,27836,
420_N_1555_Mon - Fri,6029,4,to Hillsborough,"",1,510398,27836,
420_N_1630_Mon - Fri,6029,4,to Hillsborough,"",1,510399,27836,
420_N_1700_Mon - Fri,6029,4,to Hillsborough,"",1,510398,27836,
420_N_1730_Mon - Fri,6029,4,to Hillsborough,"",1,510400,27836,
420_N_1815_Mon - Fri,6029,4,to Hillsborough,"",1,510399,27836,
420_N_1915_Mon - Fri,6029,4,to Hillsborough,"",1,510400,27836,
420_S_0600_Mon - Fri,6029,4,to ChapelHill,"",0,510394,21271,
420_S_0630_Mon - Fri,6029,4,to ChapelHill,"",0,510395,21271,
420_S_0700_Mon - Fri,6029,4,to ChapelHill,"",0,510396,21271,
420_S_0735_Mon - Fri,6029,4,to ChapelHill,"",0,510394,21271,
420_S_0805_Mon - Fri,6029,4,to ChapelHill,"",0,510395,21271,
420_S_0835_Mon - Fri,6029,4,to ChapelHill,"",0,510396,21271,
420_S_1625_Mon - Fri,6029,4,to ChapelHill,"",0,510397,21271,
420_S_1725_Mon - Fri,6029,4,to ChapelHill,"",0,510399,21271,
420_S_1825_Mon - Fri,6029,4,to ChapelHill,"",0,510400,21271,
A_E_0630_Mon - Fri,6045,4,University Place,"",0,510350,29189,
A_E_0735_Mon - Fri,6045,4,University Place,"",0,510350,29189,
A_E_0800_Juneteenth,6045,1,University Place,"",0,510300,29189,
A_E_0800_Sat,6045,2,University Place,"",0,510328,29189,
A_E_0800_Sun,6045,3,University Place,"",0,510339,29189,
A_E_0840_Mon - Fri,6045,4,University Place,"",0,510350,29189,
A_E_0900_Juneteenth,6045,1,University Place,"",0,510300,29189,
A_E_0900_Sat,6045,2,University Place,"",0,510328,29189,
A_E_0900_Sun,6045,3,University Place,"",0,510339,29189,
A_E_0945_Mon - Fri,6045,4,University Place,"",0,510350,29189,
A_E_1000_Juneteenth,6045,1,University Place,"",0,510300,29189,
A_E_1000_Sat,6045,2,University Place,"",0,510328,29189,
A_E_1000_Sun,6045,3,University Place,"",0,510339,29189,
A_E_1050_Mon - Fri,6045,4,University Place,"",0,510350,29189,
A_E_1100_Juneteenth,6045,1,University Place,"",0,510300,29189,
A_E_1100_Sat,6045,2,University Place,"",0,510328,29189,
A_E_1100_Sun,6045,3,University Place,"",0,510339,29189,
A_E_1155_Mon - Fri,6045,4,University Place,"",0,510350,29189,
A_E_1200_Juneteenth,6045,1,University Place,"",0,510300,29189,
A_E_1200_Sat,6045,2,University Place,"",0,510328,29189,
A_E_1200_Sun,6045,3,University Place,"",0,510339,29189,
A_E_1300_Juneteenth,6045,1,University Place,"",0,510300,29189,
A_E_1300_Mon - Fri,6045,4,University Place,"",0,510350,29189,
A_E_1300_Sat,6045,2,University Place,"",0,510328,29189,
A_E_1300_Sun,6045,3,University Place,"",0,510339,29189,
A_E_1400_Juneteenth,6045,1,University Place,"",0,510300,29189,
A_E_1400_Sat,6045,2,University Place,"",0,510328,29189,
A_E_1400_Sun,6045,3,University Place,"",0,510339,29189,
A_E_1405_Mon - Fri,6045,4,University Place,"",0,510350,29189,
A_E_1500_Juneteenth,6045,1,University Place,"",0,510300,29189,
A_E_1500_Sat,6045,2,University Place,"",0,510328,29189,
A_E_1500_Sun,6045,3,University Place,"",0,510339,29189,
