trip_id,arrival_time,departure_time,stop_id,stop_sequence,timepoint
4058968,07:00:00,07:00:00,1349648,0,1
4058968,07:01:00,07:01:00,1349649,1,1
4058968,07:03:00,07:03:00,1349650,2,1
4058968,07:04:00,07:04:00,1349651,3,1
4058968,07:06:00,07:06:00,1349652,4,1
4058968,07:09:00,07:09:00,1349653,5,1
4058968,07:11:00,07:11:00,1349654,6,1
4058968,07:18:00,07:18:00,1349655,7,1
4058968,07:19:00,07:19:00,1349656,8,1
4058968,07:21:00,07:21:00,1349657,9,1
4058968,07:25:00,07:25:00,1349658,10,1
4058968,07:27:00,07:27:00,1349659,11,1
4058968,07:28:00,07:28:00,1349660,12,1
4058968,07:33:00,07:33:00,1349661,13,1
4058968,07:35:00,07:35:00,1349662,14,1
4058968,07:38:00,07:38:00,1349663,15,1
4058968,07:40:00,07:40:00,1349664,16,1
4058968,07:43:00,07:43:00,1349665,17,1
4058968,07:45:00,07:45:00,1349666,18,1
4058968,07:48:00,07:48:00,1349667,19,1
4058968,07:50:00,07:50:00,1349668,20,1
4058968,07:53:00,07:53:00,1349669,21,1
4058968,07:55:00,07:55:00,1349670,22,1
4058968,07:58:00,07:58:00,1349648,23,1
4058969,08:00:00,08:00:00,1349648,0,1
4058969,08:01:00,08:01:00,1349649,1,1
4058969,08:03:00,08:03:00,1349650,2,1
4058969,08:04:00,08:04:00,1349651,3,1
4058969,08:06:00,08:06:00,1349652,4,1
4058969,08:09:00,08:09:00,1349653,5,1
4058969,08:11:00,08:11:00,1349654,6,1
4058969,08:18:00,08:18:00,1349655,7,1
4058969,08:19:00,08:19:00,1349656,8,1
4058969,08:21:00,08:21:00,1349657,9,1
4058969,08:25:00,08:25:00,1349658,10,1
4058969,08:27:00,08:27:00,1349659,11,1
4058969,08:28:00,08:28:00,1349660,12,1
4058969,08:33:00,08:33:00,1349661,13,1
4058969,08:35:00,08:35:00,1349662,14,1
4058969,08:38:00,08:38:00,1349663,15,1
4058969,08:40:00,08:40:00,1349664,16,1
4058969,08:43:00,08:43:00,1349665,17,1
4058969,08:45:00,08:45:00,1349666,18,1
4058969,08:48:00,08:48:00,1349667,19,1
4058969,08:50:00,08:50:00,1349668,20,1
4058969,08:53:00,08:53:00,1349669,21,1
4058969,08:55:00,08:55:00,1349670,22,1
4058969,08:58:00,08:58:00,1349648,23,1
4058970,09:00:00,09:00:00,1349648,0,1
4058970,09:01:00,09:01:00,1349649,1,1
4058970,09:03:00,09:03:00,1349650,2,1
4058970,09:04:00,09:04:00,1349651,3,1
4058970,09:06:00,09:06:00,1349652,4,1
4058970,09:09:00,09:09:00,1349653,5,1
4058970,09:11:00,09:11:00,1349654,6,1
4058970,09:18:00,09:18:00,1349655,7,1
4058970,09:19:00,09:19:00,1349656,8,1
4058970,09:21:00,09:21:00,1349657,9,1
4058970,09:25:00,09:25:00,1349658,10,1
4058970,09:27:00,09:27:00,1349659,11,1
4058970,09:28:00,09:28:00,1349660,12,1
4058970,09:33:00,09:33:00,1349661,13,1
4058970,09:35:00,09:35:00,1349662,14,1
4058970,09:38:00,09:38:00,1349663,15,1
4058970,09:40:00,09:40:00,1349664,16,1
4058970,09:43:00,09:43:00,1349665,17,1
4058970,09:45:00,09:45:00,1349666,18,1
4058970,09:48:00,09:48:00,1349667,19,1
4058970,09:50:00,09:50:00,1349668,20,1
4058970,09:53:00,09:53:00,1349669,21,1
4058970,09:55:00,09:55:00,1349670,22,1
4058970,09:58:00,09:58:00,1349648,23,1
4058971,10:00:00,10:00:00,1349648,0,1
4058971,10:01:00,10:01:00,1349649,1,1
4058971,10:03:00,10:03:00,1349650,2,1
