trip_id,start_time,end_time,headway_secs,exact_times
774161,6:00:00,10:45:00,4200,1
774161,12:00:00,15:20:00,4800,1
774162,9:30:00,15:20:00,4200,1
774160,6:30:00,10:05:00,4200,1
774160,11:20:00,15:20:00,4800,1
774163,10:00:00,15:10:00,4200,1
774164,19:15:00,15:20:00,2400,1
774165,15:15:00,15:20:00,2400,1
774166,9:55:00,15:20:00,2400,1
774167,19:15:00,15:20:00,2400,1
774168,15:15:00,15:20:00,2400,1
774169,9:55:00,15:20:00,2400,1
735029,6:00:00,10:50:00,4200,1
735029,12:00:00,15:20:00,4800,1
774156,9:30:00,15:20:00,4200,1
1527358,6:30:00,11:20:00,4200,1
1527358,12:40:00,15:20:00,4800,1
1527359,10:00:00,14:40:00,4200,1
774153,6:00:00,11:04:00,4200,1
774153,12:00:00,15:20:00,4800,1
774158,9:30:00,15:20:00,4200,1
774155,6:30:00,11:30:00,4200,1
774155,12:40:00,15:20:00,4200,1
774159,10:00:00,14:45:00,4200,1
