trip_id,arrival_time,departure_time,stop_id,stop_sequence,timepoint,stop_headsign
735029,6:00:00,6:00:00,337503,0,1,Employment Sec Comm
735029,6:00:38,6:00:38,337369,1,0,Employment Sec Comm
735029,6:01:16,6:01:16,337370,2,0,Employment Sec Comm
735029,6:01:54,6:01:54,337371,3,0,Employment Sec Comm
735029,6:02:32,6:02:32,337372,4,0,Employment Sec Comm
735029,6:03:10,6:03:10,337373,5,0,Employment Sec Comm
735029,6:03:48,6:03:48,337374,6,0,Employment Sec Comm
735029,6:04:26,6:04:26,337376,7,0,Employment Sec Comm
735029,6:05:00,6:05:00,337377,8,1,Employment Sec Comm
735029,6:05:30,6:05:30,337378,9,0,Employment Sec Comm
735029,6:06:00,6:06:00,337379,10,0,Employment Sec Comm
735029,6:06:31,6:06:31,337380,11,0,Employment Sec Comm
735029,6:07:01,6:07:01,337381,12,0,Employment Sec Comm
735029,6:07:31,6:07:31,337382,13,0,Employment Sec Comm
735029,6:08:01,6:08:01,337383,14,0,Employment Sec Comm
735029,6:08:32,6:08:32,337470,15,0,Employment Sec Comm
735029,6:09:02,6:09:02,337471,16,0,Employment Sec Comm
735029,6:09:32,6:09:32,337472,17,0,Employment Sec Comm
735029,6:10:00,6:10:00,337473,18,1,RCCC
735029,6:10:30,6:10:30,337496,19,0,RCCC
735029,6:11:00,6:11:00,337497,20,0,RCCC
735029,6:11:31,6:11:31,337498,21,0,RCCC
735029,6:12:00,6:12:00,337499,22,1,RCCC
735029,6:14:01,6:14:01,337500,23,0,RCCC
735029,6:16:02,6:16:02,337501,24,0,RCCC
735029,6:18:00,6:18:00,337494,25,1,RCCC
735029,6:19:20,6:19:20,337493,26,0,RCCC
735029,6:20:41,6:20:41,337502,27,0,RCCC
735029,6:22:00,6:22:00,337495,28,1,RCCC
735029,6:24:00,6:24:00,337503,29,1,RCCC
774153,6:00:00,6:00:00,337503,0,1,Tinseltown
774153,6:00:30,6:00:30,337550,1,0,Tinseltown
774153,6:01:00,6:01:00,337526,2,0,Tinseltown
774153,6:01:30,6:01:30,337538,3,0,Tinseltown
774153,6:02:00,6:02:00,337527,4,0,Tinseltown
774153,6:02:30,6:02:30,337528,5,0,Tinseltown
774153,6:03:00,6:03:00,337537,6,1,Tinseltown
774153,6:03:30,6:03:30,337536,7,0,Tinseltown
774153,6:04:00,6:04:00,337484,8,0,Tinseltown
774153,6:04:30,6:04:30,337483,9,0,Tinseltown
774153,6:05:00,6:05:00,337482,10,0,Tinseltown
774153,6:05:30,6:05:30,337351,11,0,Tinseltown
774153,6:06:00,6:06:00,337352,12,1,Tinseltown
774153,6:08:15,6:08:15,337353,13,0,Tinseltown
774153,6:10:30,6:10:30,337485,14,0,Tinseltown
774153,6:12:45,6:12:45,337532,15,0,Tinseltown
774153,6:15:00,6:15:00,337354,16,1,Transfer Site
774153,6:16:30,6:16:30,337355,17,1,Transfer Site
774153,6:18:00,6:18:00,337356,18,1,Transfer Site
774153,6:18:40,6:18:40,337533,19,0,Transfer Site
774153,6:19:20,6:19:20,337534,20,0,Transfer Site
774153,6:20:00,6:20:00,337535,21,0,Transfer Site
774153,6:20:40,6:20:40,337531,22,0,Transfer Site
774153,6:21:20,6:21:20,337523,23,0,Transfer Site
774153,6:22:00,6:22:00,337503,24,1,Transfer Site
774155,6:30:00,6:30:00,337503,0,1,Livingstone College
774155,6:30:45,6:30:45,337479,1,0,Livingstone College
774155,6:31:30,6:31:30,337448,2,0,Livingstone College
774155,6:32:15,6:32:15,337490,3,0,Livingstone College
774155,6:33:00,6:33:00,337449,4,0,Livingstone College
774155,6:33:45,6:33:45,337450,5,0,Livingstone College
774155,6:34:30,6:34:30,337451,6,0,Livingstone College
774155,6:35:15,6:35:15,337452,7,0,Livingstone College
774155,6:36:00,6:36:00,337453,8,1,Livingstone College
774155,6:36:26,6:36:26,337454,9,0,Livingstone College
774155,6:36:51,6:36:51,337455,10,0,Livingstone College
774155,6:37:17,6:37:17,337456,11,0,Livingstone College
774155,6:37:43,6:37:43,337457,12,0,Livingstone College
774155,6:38:09,6:38:09,337458,13,0,Livingstone College
774155,6:38:34,6:38:34,337459,14,0,Livingstone College
774155,6:39:00,6:39:00,337460,15,1,Livingstone College
774155,6:40:09,6:40:09,337461,16,0,Livingstone College
774155,6:41:17,6:41:17,337462,17,0,Livingstone College
774155,6:42:26,6:42:26,337463,18,0,Livingstone College
774155,6:43:34,6:43:34,337464,19,0,Livingstone College
774155,6:44:43,6:44:43,337385,20,0,Livingstone College
774155,6:45:51,6:45:51,337387,21,0,Livingstone College
774155,6:47:00,6:47:00,337386,22,1,Livingstone College
774155,6:50:20,6:50:20,337540,23,0,Livingstone College
774155,6:53:40,6:53:40,337541,24,0,Livingstone College
774155,6:57:00,6:57:00,337542,25,0,Livingstone College
774155,6:57:15,6:57:15,337465,26,0,Livingstone College
774155,6:57:30,6:57:30,337466,27,0,Livingstone College
774155,6:57:45,6:57:45,337338,28,0,Livingstone College
774155,6:58:00,6:58:00,337339,29,1,Livingstone College
774155,6:58:13,6:58:13,337487,30,0,Livingstone College
774155,6:58:27,6:58:27,337488,31,0,Livingstone College
774155,6:58:40,6:58:40,337340,32,0,Livingstone College
774155,6:58:53,6:58:53,337341,33,0,Livingstone College
774155,6:59:07,6:59:07,337342,34,0,Livingstone College
774155,6:59:20,6:59:20,337343,35,0,Livingstone College
774155,6:59:33,6:59:33,337344,36,0,Livingstone College
774155,6:59:47,6:59:47,337345,37,0,Livingstone College
774155,7:00:00,7:00:00,337492,38,1,Transfer Site
774155,7:00:48,7:00:48,337547,39,0,Transfer Site
774155,7:01:36,7:01:36,337489,40,0,Transfer Site
774155,7:02:24,7:02:24,337467,41,0,Transfer Site
774155,7:03:12,7:03:12,337546,42,0,Transfer Site
774155,7:04:00,7:04:00,337503,43,1,Transfer Site
774156,9:30:00,9:30:00,337503,0,1,Employment Sec Comm
774156,9:30:37,9:30:37,337369,1,0,Employment Sec Comm
774156,9:31:15,9:31:15,337370,2,0,Employment Sec Comm
774156,9:31:53,9:31:53,337371,3,0,Employment Sec Comm
774156,9:32:30,9:32:30,337372,4,0,Employment Sec Comm
774156,9:33:08,9:33:08,337373,5,0,Employment Sec Comm
774156,9:33:45,9:33:45,337374,6,0,Employment Sec Comm
774156,9:34:23,9:34:23,337376,7,0,Employment Sec Comm
774156,9:35:00,9:35:00,337377,8,1,Employment Sec Comm
774156,9:35:30,9:35:30,337378,9,0,Employment Sec Comm
774156,9:36:00,9:36:00,337379,10,0,Employment Sec Comm
774156,9:36:30,9:36:30,337380,11,0,Employment Sec Comm
774156,9:37:00,9:37:00,337381,12,0,Employment Sec Comm
774156,9:37:30,9:37:30,337382,13,0,Employment Sec Comm
774156,9:38:00,9:38:00,337383,14,0,Employment Sec Comm
774156,9:38:30,9:38:30,337470,15,0,Employment Sec Comm
774156,9:39:00,9:39:00,337471,16,0,Employment Sec Comm
774156,9:39:30,9:39:30,337472,17,0,Employment Sec Comm
774156,9:40:00,9:40:00,337473,18,1,RCCC
774156,9:40:30,9:40:30,337496,19,0,RCCC
774156,9:41:00,9:41:00,337497,20,0,RCCC
774156,9:41:30,9:41:30,337498,21,0,RCCC
774156,9:42:00,9:42:00,337499,22,1,RCCC
774156,9:44:00,9:44:00,337500,23,0,RCCC
774156,9:46:00,9:46:00,337501,24,0,RCCC
774156,9:48:00,9:48:00,337494,25,1,RCCC
774156,9:49:20,9:49:20,337493,26,0,RCCC
774156,9:50:40,9:50:40,337502,27,0,RCCC
774156,9:52:00,9:52:00,337495,28,1,RCCC
774156,9:54:00,9:54:00,337503,29,1,RCCC
774158,9:30:00,9:30:00,337503,0,1,Tinseltown
774158,9:30:30,9:30:30,337550,1,0,Tinseltown
774158,9:31:00,9:31:00,337526,2,0,Tinseltown
774158,9:31:30,9:31:30,337538,3,0,Tinseltown
774158,9:32:00,9:32:00,337527,4,0,Tinseltown
774158,9:32:30,9:32:30,337528,5,0,Tinseltown
774158,9:33:00,9:33:00,337537,6,1,Tinseltown
774158,9:33:30,9:33:30,337536,7,0,Tinseltown
774158,9:34:00,9:34:00,337484,8,0,Tinseltown
774158,9:34:30,9:34:30,337483,9,0,Tinseltown
774158,9:35:00,9:35:00,337482,10,0,Tinseltown
774158,9:35:30,9:35:30,337351,11,0,Tinseltown
774158,9:36:00,9:36:00,337352,12,1,Tinseltown
774158,9:38:15,9:38:15,337353,13,0,Tinseltown
774158,9:40:30,9:40:30,337485,14,0,Tinseltown
774158,9:42:45,9:42:45,337532,15,0,Tinseltown
774158,9:45:00,9:45:00,337354,16,1,Transfer Site
774158,9:46:30,9:46:30,337355,17,1,Transfer Site
774158,9:48:00,9:48:00,337356,18,1,Transfer Site
774158,9:48:40,9:48:40,337533,19,0,Transfer Site
774158,9:49:20,9:49:20,337534,20,0,Transfer Site
774158,9:50:00,9:50:00,337535,21,0,Transfer Site
774158,9:50:40,9:50:40,337531,22,0,Transfer Site
774158,9:51:20,9:51:20,337523,23,0,Transfer Site
774158,9:52:00,9:52:00,337503,24,1,Transfer Site
774159,10:00:00,10:00:00,337503,0,1,Livingstone College
774159,10:00:45,10:00:45,337479,1,0,Livingstone College
774159,10:01:30,10:01:30,337448,2,0,Livingstone College
774159,10:02:15,10:02:15,337490,3,0,Livingstone College
774159,10:03:00,10:03:00,337449,4,0,Livingstone College
774159,10:03:45,10:03:45,337450,5,0,Livingstone College
774159,10:04:30,10:04:30,337451,6,0,Livingstone College
774159,10:05:15,10:05:15,337452,7,0,Livingstone College
774159,10:06:00,10:06:00,337453,8,1,Livingstone College
774159,10:06:26,10:06:26,337454,9,0,Livingstone College
774159,10:06:51,10:06:51,337455,10,0,Livingstone College
774159,10:07:17,10:07:17,337456,11,0,Livingstone College
774159,10:07:43,10:07:43,337457,12,0,Livingstone College
774159,10:08:09,10:08:09,337458,13,0,Livingstone College
774159,10:08:34,10:08:34,337459,14,0,Livingstone College
774159,10:09:00,10:09:00,337460,15,1,Livingstone College
774159,10:10:09,10:10:09,337461,16,0,Livingstone College
774159,10:11:17,10:11:17,337462,17,0,Livingstone College
774159,10:12:26,10:12:26,337463,18,0,Livingstone College
774159,10:13:34,10:13:34,337464,19,0,Livingstone College
