trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,shape_id,bikes_allowed
735029,8302,2939,Route 1 - Green,,0,24305,1
774153,8566,2939,Route 2 - Red,,0,25558,1
774155,8566,2939,Route 2 - Red,,1,25559,1
774156,8302,2941,Route 1 - Green,,0,24305,1
774158,8566,2941,Route 2 - Red,,0,25558,1
774159,8566,2941,Route 2 - Red,,1,25559,1
774160,8609,2939,Route 3  - Blue,,1,25644,1
774161,8609,2939,Route 3  - Blue,,0,25642,1
774162,8609,2941,Route 3  - Blue,,0,25642,1
774163,8609,2941,Route 3  - Blue,,1,25644,1
774164,8610,3281,Route 4 - Orange,,0,25645,1
774165,8610,2941,Route 4 - Orange,,0,25645,1
774166,8610,3282,Route 4 - Orange,,0,25645,1
774167,8611,3281,Route 5 - Purple,,0,25646,1
774168,8611,2941,Route 5 - Purple,,0,25646,1
774169,8611,3282,Route 5 - Purple,,0,25646,1
1527358,8302,2939,Route 1 - Green,,1,52818,1
1527359,8302,2941,Route 1 - Green,,1,52818,1
