trip_id,arrival_time,departure_time,stop_id,stop_sequence,timepoint
Rt1_WestHickory_T01,05:50:00,05:50:00,728913,0,1
Rt1_WestHickory_T01,05:51:31,05:51:31,729136,1,0
Rt1_WestHickory_T01,05:52:06,05:52:06,729636,2,0
Rt1_WestHickory_T01,05:52:34,05:52:34,729661,3,0
Rt1_WestHickory_T01,05:53:21,05:53:21,729669,4,0
Rt1_WestHickory_T01,05:54:19,05:54:19,729576,5,0
Rt1_WestHickory_T01,05:54:53,05:54:53,729847,6,0
Rt1_WestHickory_T01,05:55:30,05:55:30,729792,7,0
Rt1_WestHickory_T01,05:55:41,05:55:41,730057,8,0
Rt1_WestHickory_T01,05:56:37,05:56:37,730828,9,0
Rt1_WestHickory_T01,05:56:59,05:56:59,730913,10,0
Rt1_WestHickory_T01,05:58:00,05:58:00,730773,11,1
Rt1_WestHickory_T01,05:58:15,05:58:15,730539,12,0
Rt1_WestHickory_T01,05:58:46,05:58:46,730005,13,0
Rt1_WestHickory_T01,05:59:20,05:59:20,729979,14,0
Rt1_WestHickory_T01,06:01:28,06:01:28,728455,15,0
Rt1_WestHickory_T01,06:02:00,06:02:00,727917,16,1
Rt1_WestHickory_T01,06:03:38,06:03:38,726987,17,0
Rt1_WestHickory_T01,06:04:03,06:04:03,727047,18,0
Rt1_WestHickory_T01,06:04:26,06:04:26,726982,19,0
Rt1_WestHickory_T01,06:04:50,06:04:50,726929,20,0
Rt1_WestHickory_T01,06:05:25,06:05:25,726835,21,0
Rt1_WestHickory_T01,06:06:27,06:06:27,726730,22,0
Rt1_WestHickory_T01,06:06:58,06:06:58,726681,23,0
Rt1_WestHickory_T01,06:07:32,06:07:32,726639,24,0
Rt1_WestHickory_T01,06:08:32,06:08:32,726510,25,0
Rt1_WestHickory_T01,06:09:24,06:09:24,726525,26,0
Rt1_WestHickory_T01,06:10:00,06:10:00,726535,27,1
Rt1_WestHickory_T01,06:10:51,06:10:51,727285,28,0
