trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,shape_id,wheelchair_accessible,bikes_allowed,block_id,block_name
Rt1_WestHickory_T01,1,mtwtf,Ridgeview Public Library,,0,West,1,1,,
Rt1_WestHickory_T02,1,mtwtf,Ridgeview Public Library,,0,West,1,1,,
Rt1_WestHickory_T03,1,mtwtf,Ridgeview Public Library,,0,West,1,1,,
Rt1_WestHickory_T04,1,mtwtf,Ridgeview Public Library,,0,West,1,1,,
Rt1_WestHickory_T05,1,mtwtf,Ridgeview Public Library,,0,West,1,1,,
Rt1_WestHickory_T06,1,mtwtf,Ridgeview Public Library,,0,West,1,1,,
Rt1_WestHickory_T07,1,mtwtf,Ridgeview Public Library,,0,West,1,1,,
Rt1_WestHickory_T08,1,mtwtf,Ridgeview Public Library,,0,West,1,1,,
Rt1_WestHickory_T09,1,mtwtf,Ridgeview Public Library,,0,West,1,1,,
Rt1_WestHickory_T10,1,mtwtf,Ridgeview Public Library,,0,West,1,1,,
Rt1_WestHickory_T11,1,mtwtf,Ridgeview Public Library,,0,West,1,1,,
Rt1_WestHickory_T12,1,mtwtf,Ridgeview Public Library,,0,West,1,1,,
Rt1_WestHickory_sat_T04,1,sat,Ridgeview Public Library,,0,West,1,1,,
Rt1_WestHickory_sat_T05,1,sat,Ridgeview Public Library,,0,West,1,1,,
Rt1_WestHickory_sat_T06,1,sat,Ridgeview Public Library,,0,West,1,1,,
Rt1_WestHickory_sat_T07,1,sat,Ridgeview Public Library,,0,West,1,1,,
Rt1_WestHickory_sat_T08,1,sat,Ridgeview Public Library,,0,West,1,1,,
Rt1_WestHickory_sat_T09,1,sat,Ridgeview Public Library,,0,West,1,1,,
Rt1_WestHickory_sat_T10,1,sat,Ridgeview Public Library,,0,West,1,1,,
Rt2_NC127_T01,2,mtwtf,Lenoir Rhyne University,,0,Blue,1,1,,
Rt2_NC127_T02,2,mtwtf,Lenoir Rhyne University,,0,Blue,1,1,,
Rt2_NC127_T03,2,mtwtf,Lenoir Rhyne University,,0,Blue,1,1,,
Rt2_NC127_T04,2,mtwtf,Lenoir Rhyne University,,0,Blue,1,1,,
Rt2_NC127_T05,2,mtwtf,Lenoir Rhyne University,,0,Blue,1,1,,
Rt2_NC127_T06,2,mtwtf,Lenoir Rhyne University,,0,Blue,1,1,,
Rt2_NC127_T07,2,mtwtf,Lenoir Rhyne University,,0,Blue,1,1,,
Rt2_NC127_T08,2,mtwtf,Lenoir Rhyne University,,0,Blue,1,1,,
Rt2_NC127_T09,2,mtwtf,Lenoir Rhyne University,,0,Blue,1,1,,
Rt2_NC127_T10,2,mtwtf,Lenoir Rhyne University,,0,Blue,1,1,,
Rt2_NC127_T11,2,mtwtf,Lenoir Rhyne University,,0,Blue,1,1,,
Rt2_NC127_T12,2,mtwtf,Lenoir Rhyne University,,0,Blue,1,1,,
Rt2_NC127_sat_T04,2,sat,Lenoir Rhyne University,,0,Blue,1,1,,
Rt2_NC127_sat_T05,2,sat,Lenoir Rhyne University,,0,Blue,1,1,,
Rt2_NC127_sat_T06,2,sat,Lenoir Rhyne University,,0,Blue,1,1,,
Rt2_NC127_sat_T07,2,sat,Lenoir Rhyne University,,0,Blue,1,1,,
Rt2_NC127_sat_T08,2,sat,Lenoir Rhyne University,,0,Blue,1,1,,
Rt2_NC127_sat_T09,2,sat,Lenoir Rhyne University,,0,Blue,1,1,,
Rt2_NC127_sat_T10,2,sat,Lenoir Rhyne University,,0,Blue,1,1,,
Rt3_NewtonHwy_outbound_T01,3,mtwtf,Canova Shopping Center,,0,Red3,1,1,,
Rt3_NewtonHwy_outbound_T02,3,mtwtf,Canova Shopping Center,,0,Red3,1,1,,
Rt3_NewtonHwy_outbound_T03,3,mtwtf,Canova Shopping Center,,0,Red3,1,1,,
Rt3_NewtonHwy_outbound_T04,3,mtwtf,Canova Shopping Center,,0,Red3,1,1,,
Rt3_NewtonHwy_outbound_T05,3,mtwtf,Canova Shopping Center,,0,Red3,1,1,,
Rt3_NewtonHwy_outbound_T06,3,mtwtf,Canova Shopping Center,,0,Red3,1,1,,
Rt3_NewtonHwy_outbound_T07,3,mtwtf,Canova Shopping Center,,0,Red3,1,1,,
Rt3_NewtonHwy_outbound_T08,3,mtwtf,Canova Shopping Center,,0,Red3,1,1,,
