route_id,direction_id,direction
6362,0,Outbound to Mall
6362,1,Inbound
6365,0,Outbound
6365,1,Inbound
6354,0,Outbound
6354,1,Inbound
6375,0,Outbound
6375,1,Inbound
6356,0,Outbound
6356,1,Inbound
6372,0,Outbound 
6372,1,Inbound
6384,0,Outbound
6384,1,Inbound
6355,0,Outbound
6355,1,Inbound
6361,0,Outbound
6361,1,Inbound
6368,0,Outbound
6368,1,Inbound
6358,0,Outbound
6358,1,Inbound
6377,0,Outbound
6377,1,Inbound
6370,0,Outbound
6370,1,Inbound
6367,0,Outbound
6367,1,Inbound
6383,0,Outbound
6383,1,Inbound
6369,0,Outbound
6369,1,Inound
6371,0,Outbound
6371,1,Inbound
6364,0,Outbound
6364,1,Inbound
6381,0,Outbound
6381,1,Inbound
6379,0,Outbound
6379,1,Inbound
6382,0,Outbound
6382,1,Inbound
6363,0,Outbound
6363,1,Inbound
6374,0,Outbound
6374,1,Inbound
6359,0,Outbound
6359,1,Inbound
6373,0,Outbound
6373,1,Inbound
6366,0,Outbound
6366,1,Inbound
6380,0,Outbound
6380,1,Inbound
6376,0,Outbound
6376,1,Inbound
