trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
00l764p,07:24:00,07:24:00,9477851,0,"",0,,0,1
00l764p,07:25:00,07:25:00,11385553,1,"",0,,314.6198777216368,0
00l764p,07:26:00,07:26:00,9477853,2,"",0,,651.4122207619308,0
00l764p,07:28:00,07:28:00,9477854,3,"",0,,1133.0496482554458,0
00l764p,07:32:00,07:32:00,9477855,4,"",0,,2625.7299352106347,1
00l764p,07:33:00,07:33:00,9477856,5,"",0,,3121.2199100436696,0
00l764p,07:35:00,07:35:00,9477857,6,"",0,,4500.657962596646,0
00l764p,07:36:00,07:36:00,9477858,7,"",0,,5042.7427244332985,0
00l764p,07:36:00,07:36:00,9477859,8,"",0,,5566.437199193695,0
00l764p,07:37:00,07:37:00,9477860,9,"",0,,6029.98119348076,0
00l764p,07:38:00,07:38:00,9477861,10,"",0,,6831.859742051511,0
00l764p,07:38:00,07:38:00,9474106,11,"",0,,7160.513539883834,0
00l764p,07:39:00,07:39:00,9474107,12,"",0,,7380.190862199284,1
00l764p,07:40:00,07:40:00,9477862,13,"",0,,7808.682406648123,0
00l764p,07:40:00,07:40:00,9477863,14,"",0,,8009.470790152365,0
00l764p,07:41:00,07:41:00,9477864,15,"",0,,8408.234874152791,0
00l764p,07:42:00,07:42:00,9477865,16,"",0,,8717.125780888351,0
00l764p,07:43:00,07:43:00,9477866,17,"",0,,9146.22988034212,0
00l764p,07:44:00,07:44:00,9477867,18,"",0,,9700.5782883604,0
00l764p,07:45:00,07:45:00,9477868,19,"",0,,9987.557031305894,0
00l764p,07:46:00,07:46:00,9477869,20,"",0,,10499.288494265775,0
00l764p,07:47:00,07:47:00,9477870,21,"",0,,10902.506759361042,0
00l764p,07:49:00,07:49:00,9473989,22,"",0,,11848.515119524352,0
00l764p,07:50:00,07:50:00,9473990,23,"",0,,12054.326969627897,0
00l764p,07:50:00,07:50:00,9599221,24,"",0,,12263.63103342824,1
01yp7sb,07:00:00,07:00:00,9474700,0,"",0,,0,1
01yp7sb,07:01:00,07:01:00,9481700,1,"",0,,498.3761385384386,0
01yp7sb,07:02:00,07:02:00,9481701,2,"",0,,814.6751644186232,0
01yp7sb,07:03:00,07:03:00,9474703,3,"",0,,1375.4007410126478,0
01yp7sb,07:03:00,07:03:00,9481484,4,"",0,,1519.5513386952866,0
01yp7sb,07:04:00,07:04:00,9474705,5,"",0,,1994.2576415665949,0
01yp7sb,07:06:00,07:06:00,9474706,6,"",0,,2763.273321259331,0
