stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
10050178,48048,"Patterson Ave & 32nd St","",36.132161,-80.241935,,,0,,,0,,
10536298,49752,"27th Street & Kilkara Avenue","",36.123347,-80.247571,,,0,,,0,,
10536299,49753,"30th Street & Millbrook Drive (NEW)","",36.128434,-80.246267,,,0,,,0,,
10536300,49754,"30th Street & Shorefair (New)","",36.128642,-80.250393,,,0,,,0,,
10536301,49755,"Reynolds Blvd & Shorefair Dr (FB)","",36.134491,-80.252791,,,0,,,0,,
10536304,49751,"Reynolds Blvd & Cherry Street","",36.134244,-80.261896,,,0,,,0,,
10536305,49750,"27th Street & University Pkwy","",36.124197,-80.257132,,,0,,,0,,
10595939,48100,"Union Cross Road & Green Cross Road (48100)","",36.04656,-80.178143,,,0,,,0,,
10595940,48101,"Ridgewood Road & Cole Road (48101)","",36.052173,-80.167932,,,0,,,0,,
10595941,48102,"Ridgewood Road & Triad Court (48102)","",36.058157,-80.160554,,,0,,,0,,
10595942,48103,"Plaza Hollow Apartments (48103)","",36.069440975283726,-80.16886467990113,,,0,,,0,,
10595944,48104,"Hines Drive & Lubet Lane (48104)","",36.073181,-80.170249,,,0,,,0,,
10595945,48105,"Salem Garden Apartments (48105)","",36.081169,-80.183753,,,0,,,0,,
10595946,47508,"Reynolds Park Road & Southeast Plaza (47508)","",36.077782,-80.181678,,,0,,,0,,
10595948,48106,"Cole Road & Eastwood Drive (48106)","",36.072898,-80.184637,,,0,,,0,,
10595949,48107,"Cole Road & Dahlia Drive (48107)","",36.069521,-80.182546,,,0,,,0,,
10595950,48108,"Cole Road & Frank Street (48108)","",36.07363,-80.185023,,,0,,,0,,
10595951,47576,"Sprague Street & Cragmore Road","",36.073813,-80.187359,,,0,,,0,,
10595952,48110,"Sprague Street & Farrington Drive (48110)","",36.07321,-80.19034,,,0,,,0,,
10595953,48111,"Sprague Street & Cline Street (48111)","",36.071959,-80.195225,,,0,,,0,,
10595954,48121,"Sprague Street & Art Street","",36.070119,-80.197689,,,0,,,0,,
10595955,48113,"Sprague Street & Selma Street (48113)","",36.068323,-80.198991,,,0,,,0,,
10595958,48114,"Willard Road & Sprague Street (48114)","",36.065706,-80.202234,,,0,,,0,,
10595959,48115,"Willard Road & Oregon Street (48115)","",36.063941,-80.199028,,,0,,,0,,
10595960,48116,"Willard Road & Green Oaks Street  (48116)","",36.060154,-80.194511,,,0,,,0,,
10595961,48117,"Willard Road & Magnolia Creek (48117)","",36.057245,-80.191721,,,0,,,0,,
10595962,48118,"Willard Road & Chaucer Lane (48118)","",36.051841,-80.187077,,,0,,,0,,
10595963,48119,"Willard Road & Ginger Creek (48119)","",36.048631,-80.181361,,,0,,,0,,
10595964,48120,"Willard Road & Union Cross Road (48120)","",36.04668,-80.178317,,,0,,,0,,
