trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
00l764p,6366,2,Rt 87 Inbound to Transit Center,"",1,493360,29601,
01yp7sb,6376,1,Rt 97 Outbound to Shattalon Dr,"",0,493348,29698,
03yt9pn,6359,3,Rt 106 Inbound to Transit Center,"",1,493394,28677,
04vswns,6376,3,Rt 97 Outbound to Shattalon Dr,"",0,493390,29698,
07k6urf,6379,1,Rt 93 Inbound to Transit Center,"",1,493345,28642,
0a7u1gj,6371,3,Rt 83 Inbound to Transit Center,"",1,493375,28475,
0b6vzdf,6372,3,Rt 90 Inbound to Transit Center,"",1,493384,28360,
0fkk5j3,6366,1,Rt 87 Outbound to Hanes Mill Rd,"",0,493339,29696,
0ng71kv,6366,3,Rt 87 Inbound to Transit Center,"",1,493381,29601,
0o1y5pv,6376,3,Rt 97 Inbound to Sturmer Park,"",1,493390,29699,
0oa1r8q,6366,3,Rt 87 Inbound to Transit Center,"",1,493382,29601,
0pte7o7,6371,3,Rt 83 Inbound to Transit Center,"",1,493375,28475,
0rint3q,6369,3,Rt 82 Outbound to Burke Mill Rd,"",0,493373,28465,
0ud8xb7,6372,3,Rt 90 Inbound to Transit Center,"",1,493384,28360,
0vm38oy,6372,1,Rt 90 Inbound to Transit Center,"",1,493342,28360,
0w4mzoi,6366,3,Rt 87 Inbound to Transit Center,"",1,493382,29601,
0w781qp,6366,3,Rt 87 Outbound to Hanes Mill Rd,"",0,493381,29696,
0zuopbl,6370,3,Rt 108 Inbound to Marta Rd,"",1,493397,28385,
12llx99,6366,2,Rt 87 Inbound to Transit Center,"",1,493360,29601,
16bjni8,6371,3,Rt 83 Inbound to Transit Center,"",1,493375,28475,
16fy9tj,6372,1,Rt 90 Outbound to Wake Forest University,"",0,493342,29094,
17go6v3,6372,1,Rt 90 Outbound to Wake Forest University,"",0,493342,29094,
17irnru,6376,1,Rt 97 Outbound to Shattalon Dr,"",0,493348,29698,
1bg13c8,6373,3,Rt 107 Outbound to Hanes Mall,"",0,493396,28692,
1ibqh0m,6372,3,Rt 90 Inbound to Transit Center,"",1,493384,28360,
1njqz9s,6373,3,Rt 107 Outbound to Hanes Mall,"",0,493396,28692,
1ppwxvg,6366,1,Rt 87 Outbound to Hanes Mill Rd,"",0,493340,29696,
1ta3drf,6371,3,Rt 83 Inbound to Transit Center,"",1,493375,28475,
1vyg1cc,6374,3,Rt 104 Inbound to Transit Center,"",1,493392,28673,
1zm94ik,6383,1,Rt 81 Inbound to Hanes Mall,"",1,493333,28462,
1zpke2p,6366,2,Rt 87 Inbound to Transit Center,"",1,493360,29601,
258gx8e,6366,3,Rt 87 Outbound to Hanes Mill Rd,"",0,493381,29696,
25b75dx,6379,1,Rt 93 Inbound to Transit Center,"",1,493345,28642,
2689088,6366,1,Rt 87 Inbound to Transit Center,"",1,493340,29601,
2849r8v,6366,3,Rt 87 Inbound to Transit Center,"",1,493382,29601,
29vbh09,6366,1,Rt 87 Outbound to Hanes Mill Rd,"",0,493339,29696,
2a5ba2h,6359,3,Rt 106 Inbound to Transit Center,"",1,493394,28677,
2awry7f,6372,1,Rt 90 Inbound to Transit Center,"",1,493342,28360,
2c49drb,6366,2,Rt 87 Outbound to Hanes Mill Rd,"",0,493360,29696,
2cimkuf,6366,2,Rt 87 Outbound to Hanes Mill Rd,"",0,493360,29696,
2djzyow,6359,3,Rt 106 Inbound to Transit Center,"",1,493394,28677,
2hjp1lb,6372,1,Rt 90 Inbound to Transit Center,"",1,493342,28360,
2ip3acr,6383,1,Rt 81 Inbound to Hanes Mall,"",1,493333,28462,
2pqyhvd,6373,1,Rt 107 Outbound to Hanes Mall,"",0,493353,28692,
2pug60d,6376,3,Rt 97 Outbound to Shattalon Dr,"",0,493390,29698,
2r8iyh2,6366,1,Rt 87 Inbound to Transit Center,"",1,493339,29601,
2unp1iu,6370,1,Rt 108 Outbound to Salem Gardens Apts,"",0,493354,28693,
2untti8,6372,3,Rt 90 Inbound to Transit Center,"",1,493384,28360,
2x7ufm8,6376,1,Rt 97 Outbound to Shattalon Dr,"",0,493348,29698,
2xyu8x0,6371,3,Rt 83 Outbound to Peters Creek Walmart,"",0,493375,28476,
304f2v4,6366,1,Rt 87 Outbound to Hanes Mill Rd,"",0,493339,29696,
34aowcg,6372,1,Rt 90 Inbound to Transit Center,"",1,493342,28360,
34i5mmq,6366,1,Rt 87 Inbound to Transit Center,"",1,493339,29601,
38wqepl,6366,3,Rt 87 Outbound to Hanes Mill Rd,"",0,493380,29696,
3bycjpg,6373,3,Rt 107 Inbound to Transit Center,"",1,493396,29697,
3e5hgbw,6372,1,Rt 90 Outbound to Wake Forest University,"",0,493342,29094,
3fic9vr,6374,3,Rt 104 Inbound to Transit Center,"",1,493392,28673,
3hp6ose,6372,3,Rt 90 Inbound to Transit Center,"",1,493384,28360,
3jsa4np,6366,2,Rt 87 Outbound to Hanes Mill Rd,"",0,493360,29696,
3o53x30,6372,3,Rt 90 Outbound to Wake Forest University,"",0,493384,29094,
3oav7zv,6373,3,Rt 107 Inbound to Transit Center,"",1,493396,29697,
3p8jq6o,6356,1,Rt 85 Inbound to Transit Center,"",1,493337,28355,
3pvwr6m,6372,1,Rt 90 Outbound to Wake Forest University,"",0,493342,29094,
3s2x9uv,6366,3,Rt 87 Outbound to Hanes Mill Rd,"",0,493382,29696,
3vu2vxo,6366,3,Rt 87 Outbound to Hanes Mill Rd,"",0,493382,29696,
3xzwun4,6377,1,Rt 105 - Inbound to Transit Center,"",1,493351,28383,
45ip6fg,6366,3,Rt 87 Outbound to Hanes Mill Rd,"",0,493380,29696,
475wx9l,6366,1,Rt 87 Inbound to Transit Center,"",1,493340,29601,
48vxpvw,6366,3,Rt 87 Outbound to Hanes Mill Rd,"",0,493382,29696,
4a1ta30,6359,1,Rt 106 Inbound to Transit Center,"",1,493352,28677,
4a81y44,6366,3,Rt 87 Outbound to Hanes Mill Rd,"",0,493381,29696,
4aow45l,6372,1,Rt 90 Inbound to Transit Center,"",1,493342,28360,
4daoga6,6372,3,Rt 90 Inbound to Transit Center,"",1,493384,28360,
4dhcw1f,6368,1,Rt 101 Inbound to Salem Gardens,"",1,493335,28380,
4ek6uxi,6366,3,Rt 87 Outbound to Hanes Mill Rd,"",0,493380,29696,
4esrjpj,6372,3,Rt 90 Inbound to Transit Center,"",1,493384,28360,
4gnvqfd,6366,1,Rt 87 Outbound to Hanes Mill Rd,"",0,493340,29696,
4j5ii4s,6366,3,Rt 87 Outbound to Hanes Mill Rd,"",0,493381,29696,
4jc0rbx,6359,2,Rt 106 Inbound to Transit Center,"",1,493369,28677,
