stop_id,stop_city
834535,Rocky Mount
834536,Rocky Mount
834542,Rocky Mount
834548,Rocky Mount
834549,Rocky Mount
834550,Rocky Mount
834551,Rocky Mount
834552,Rocky Mount
834553,Rocky Mount
834554,Rocky Mount
834556,Rocky Mount
834557,Rocky Mount
834559,Rocky Mount
834562,Rocky Mount
834563,Rocky Mount
834564,Rocky Mount
834568,Rocky Mount
834571,Rocky Mount
834573,Rocky Mount
834575,Rocky Mount
834576,Rocky Mount
834580,Rocky Mount
834592,Rocky Mount
834593,Rocky Mount
834595,Rocky Mount
834596,Rocky Mount
834597,Rocky Mount
834598,Rocky Mount
834599,Rocky Mount
834600,Rocky Mount
834602,Rocky Mount
834608,Rocky Mount
834609,Rocky Mount
834610,Rocky Mount
834613,Rocky Mount
834614,Rocky Mount
834615,Rocky Mount
834616,Rocky Mount
834617,Rocky Mount
834621,Rocky Mount
834628,Rocky Mount
834629,Rocky Mount
834630,Rocky Mount
834632,Rocky Mount
834633,Rocky Mount
834634,Rocky Mount
834635,Rocky Mount
834636,Rocky Mount
834640,Rocky Mount
834641,Rocky Mount
834643,Rocky Mount
834644,Rocky Mount
834645,Rocky Mount
834649,Rocky Mount
834652,Rocky Mount
834653,Rocky Mount
834654,Rocky Mount
834655,Rocky Mount
834656,Rocky Mount
834659,Rocky Mount
834660,Rocky Mount
834661,Rocky Mount
834662,Rocky Mount
834663,Rocky Mount
834664,Rocky Mount
834665,Rocky Mount
834666,Rocky Mount
834668,Rocky Mount
834670,Rocky Mount
834671,Rocky Mount
834672,Rocky Mount
834673,Rocky Mount
834674,Rocky Mount
834675,Rocky Mount
834676,Rocky Mount
834677,Rocky Mount
834680,Rocky Mount
834681,Rocky Mount
834682,Rocky Mount
834683,Rocky Mount
834684,Rocky Mount
834687,Rocky Mount
834688,Rocky Mount
834691,Rocky Mount
834692,Rocky Mount
834694,Rocky Mount
834695,Rocky Mount
834696,Rocky Mount
834697,Rocky Mount
834698,Rocky Mount
834699,Rocky Mount
834700,Rocky Mount
834701,Rocky Mount
834702,Rocky Mount
834703,Rocky Mount
834704,Rocky Mount
834706,Rocky Mount
834707,Rocky Mount
834710,Rocky Mount
834712,Rocky Mount
834714,Rocky Mount
834716,Rocky Mount
834717,Rocky Mount
834718,Rocky Mount
834720,Rocky Mount
834722,Rocky Mount
834725,Rocky Mount
834726,Rocky Mount
834727,Rocky Mount
834728,Rocky Mount
834735,Rocky Mount
834740,Rocky Mount
834742,Rocky Mount
834746,Rocky Mount
834748,Rocky Mount
834758,Rocky Mount
834761,Rocky Mount
834762,Rocky Mount
834763,Rocky Mount
834766,Rocky Mount
834768,Rocky Mount
834769,Rocky Mount
834770,Rocky Mount
834771,Rocky Mount
834772,Rocky Mount
834775,Rocky Mount
834776,Rocky Mount
834777,Rocky Mount
834778,Rocky Mount
834779,Rocky Mount
834781,Rocky Mount
834783,Rocky Mount
834784,Rocky Mount
834785,Rocky Mount
834786,Rocky Mount
834787,Rocky Mount
834788,Rocky Mount
834790,Rocky Mount
834791,Rocky Mount
834793,Rocky Mount
834794,Rocky Mount
834797,Rocky Mount
834800,Rocky Mount
834805,Rocky Mount
834807,Rocky Mount
834811,Rocky Mount
834812,Rocky Mount
834813,Rocky Mount
834814,Rocky Mount
834816,Rocky Mount
834817,Rocky Mount
834818,Rocky Mount
834819,Rocky Mount
834820,Rocky Mount
834821,Rocky Mount
834825,Rocky Mount
834826,Rocky Mount
834827,Rocky Mount
834828,Rocky Mount
834829,Rocky Mount
834832,Rocky Mount
834833,Rocky Mount
834834,Rocky Mount
834835,Rocky Mount
834836,Rocky Mount
834837,Rocky Mount
834838,Rocky Mount
834839,Rocky Mount
834840,Rocky Mount
834842,Rocky Mount
834843,Rocky Mount
834845,Rocky Mount
834846,Rocky Mount
834847,Rocky Mount
834849,Rocky Mount
